number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
35,0.2828282828282828,PRUNED,2025-11-27 03:09:51.139249,2025-11-27 03:09:51.998036,0 days 00:00:00.858787,[896],[],[],tanh,896,96,,0.0001,,minmax,1,RMSprop,increasing,0.7,mean,True,1e-05
36,0.2521625163826999,PRUNED,2025-11-27 03:09:51.998036,2025-11-27 03:09:52.961818,0 days 00:00:00.963782,"[256, 256]",[1],[1],tanh,256,96,0.3,0.0002,,minmax,2,RMSprop,uniform,,mean,False,1e-06
37,0.08888888888888889,PRUNED,2025-11-27 03:09:52.962820,2025-11-27 03:09:56.498477,0 days 00:00:03.535657,[384],[],[],elu,384,48,,2e-05,0.9,minmax,1,SGD,increasing,,max,False,1e-07
38,0.18238993710691823,PRUNED,2025-11-27 03:09:56.498477,2025-11-27 03:10:03.170237,0 days 00:00:06.671760,"[896, 896]",[1],[1],silu,896,96,0.3,0.0005,,minmax,2,Adam,uniform,0.8,mean,True,0.0
39,0.38106293305550015,COMPLETE,2025-11-27 03:10:03.170237,2025-11-27 03:10:11.482394,0 days 00:00:08.312157,[192],[],[],leakyrelu,192,96,,0.0001,,minmax,1,RMSprop,uniform,,max,False,1e-05
40,0.22576832151300233,PRUNED,2025-11-27 03:10:11.482394,2025-11-27 03:10:13.296171,0 days 00:00:01.813777,"[64, 64, 64, 64, 128]","[1, 3]","[1, 2, 3, 4]",tanh,128,128,0.5,5e-05,0.0,minmax,5,SGD,increasing,0.6,mean,True,1e-07
41,0.22168604226072972,PRUNED,2025-11-27 03:10:13.296171,2025-11-27 03:10:26.735093,0 days 00:00:13.438922,"[896, 448, 224]","[1, 2]",[1],tanh,896,16,0.2,0.0001,,L2,3,AdamW,decreasing,,mean,False,1e-06
42,0.24444444444444444,PRUNED,2025-11-27 03:10:26.735093,2025-11-27 03:10:34.330038,0 days 00:00:07.594945,"[896, 896, 896]","[1, 2]",[1],relu,896,16,0.3,0.0001,,minmax,3,AdamW,uniform,,mean,False,0.0001
43,0.3321048450933475,COMPLETE,2025-11-27 03:10:34.331040,2025-11-27 03:10:51.545482,0 days 00:00:17.214442,"[896, 448]",[1],[1],leakyrelu,896,64,0.3,1e-05,,L2,2,AdamW,decreasing,,mean,False,0.0
44,0.4957167534543442,COMPLETE,2025-11-27 03:10:51.545482,2025-11-27 03:11:21.388791,0 days 00:00:29.843309,"[512, 256, 128, 64]",[2],"[1, 3]",gelu,512,32,0.3,0.0001,,minmax,4,RMSprop,decreasing,,mean,False,1e-07
45,0.471526953390865,COMPLETE,2025-11-27 03:11:21.404534,2025-11-27 03:11:48.311475,0 days 00:00:26.906941,"[512, 512, 512, 512]","[1, 2]","[1, 3]",silu,512,32,0.3,0.0001,,minmax,4,RMSprop,uniform,,mean,False,1e-07
46,0.21839080459770113,PRUNED,2025-11-27 03:11:48.311475,2025-11-27 03:11:56.983825,0 days 00:00:08.672350,"[512, 512, 512, 512]","[1, 2]","[1, 3]",silu,512,32,0.3,0.0001,,minmax,4,RMSprop,uniform,,mean,False,1e-07
47,0.21839080459770113,PRUNED,2025-11-27 03:11:56.983825,2025-11-27 03:11:59.499580,0 days 00:00:02.515755,"[512, 512, 512, 512, 512]","[1, 2, 4]","[1, 3]",silu,512,32,0.3,0.0005,,minmax,5,RMSprop,uniform,,mean,False,1e-07
48,0.2222222222222222,PRUNED,2025-11-27 03:11:59.499580,2025-11-27 03:12:01.702261,0 days 00:00:02.202681,"[512, 512, 512, 512]","[1, 2]","[1, 3]",silu,512,32,0.3,0.0001,,minmax,4,RMSprop,uniform,,mean,False,1e-07
49,0.1761006289308176,PRUNED,2025-11-27 03:12:01.702261,2025-11-27 03:12:08.390653,0 days 00:00:06.688392,"[512, 512, 512, 512, 512]","[1, 2, 4]","[1, 3]",elu,512,32,0.3,0.0002,,minmax,5,RMSprop,uniform,,max,False,1e-07
