number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
34,0.18238993710691823,PRUNED,2025-11-27 04:21:20.921629,2025-11-27 04:21:26.967777,0 days 00:00:06.046148,"[128, 64, 64, 64, 64]",[],[1],leakyrelu,128,128,0.5,0.001,,L2,5,Adam,decreasing,0.6,max,True,1e-05
35,0.4506593807629634,COMPLETE,2025-11-27 04:21:26.968785,2025-11-27 04:21:51.360988,0 days 00:00:24.392203,"[384, 384, 384]",[],[],silu,384,32,,0.0002,,minmax,3,AdamW,uniform,,max,False,0.0001
36,0.3042443779261647,PRUNED,2025-11-27 04:21:51.363031,2025-11-27 04:21:55.433064,0 days 00:00:04.070033,"[384, 384, 384]",[2],[],silu,384,32,,0.0002,,L2,3,RMSprop,uniform,,max,False,0.0001
37,0.44398986807884333,COMPLETE,2025-11-27 04:21:55.434068,2025-11-27 04:22:13.714551,0 days 00:00:18.280483,"[384, 384]",[],[],silu,384,32,,0.0002,,minmax,2,AdamW,uniform,,max,False,0.0001
38,0.1882922109337204,PRUNED,2025-11-27 04:22:13.716563,2025-11-27 04:22:19.807003,0 days 00:00:06.090440,"[768, 768]",[1],[],silu,768,32,,0.0002,0.7,minmax,2,SGD,uniform,,max,False,0.0001
39,0.21839080459770113,PRUNED,2025-11-27 04:22:19.808018,2025-11-27 04:22:25.697863,0 days 00:00:05.889845,"[192, 192]",[],[],silu,192,32,,0.0002,,L2,2,Adam,uniform,,max,False,0.0001
40,0.21839080459770113,PRUNED,2025-11-27 04:22:25.698870,2025-11-27 04:22:33.045879,0 days 00:00:07.347009,[384],[],[],silu,384,32,,0.0002,,minmax,1,RMSprop,uniform,,max,False,0.0001
41,0.21839080459770113,PRUNED,2025-11-27 04:22:33.046885,2025-11-27 04:22:36.632270,0 days 00:00:03.585385,"[384, 384, 384]",[],[],silu,384,32,,0.0002,,minmax,3,AdamW,uniform,,max,False,0.0001
42,0.21839080459770113,PRUNED,2025-11-27 04:22:36.633275,2025-11-27 04:22:39.699959,0 days 00:00:03.066684,"[384, 384]",[],[],elu,384,32,,0.0002,,minmax,2,AdamW,uniform,,max,False,0.0001
43,0.21839080459770113,PRUNED,2025-11-27 04:22:39.701472,2025-11-27 04:22:50.884049,0 days 00:00:11.182577,"[384, 384, 384]",[],[2],tanh,384,48,0.1,1e-05,,minmax,3,AdamW,uniform,,max,False,0.0
44,0.21839080459770113,PRUNED,2025-11-27 04:22:50.885056,2025-11-27 04:22:54.496708,0 days 00:00:03.611652,"[384, 384]",[],[],silu,384,64,,2e-05,,minmax,2,AdamW,uniform,,max,False,1e-06
45,0.21839080459770113,PRUNED,2025-11-27 04:22:54.497714,2025-11-27 04:22:58.212488,0 days 00:00:03.714774,"[64, 128, 256]",[1],[],silu,256,32,,0.0002,,minmax,3,AdamW,increasing,,max,False,0.0001
46,0.14235920014676207,PRUNED,2025-11-27 04:22:58.213498,2025-11-27 04:23:31.707165,0 days 00:00:33.493667,"[192, 192, 192]",[2],[2],relu,192,16,0.5,0.0002,0.9,minmax,3,SGD,uniform,,max,False,1e-05
47,0.19487179487179487,PRUNED,2025-11-27 04:23:31.708170,2025-11-27 04:23:34.772658,0 days 00:00:03.064488,"[896, 896]",[],[],silu,896,96,,1e-05,,minmax,2,AdamW,uniform,,max,False,0.0001
48,0.1761006289308176,PRUNED,2025-11-27 04:23:34.773663,2025-11-27 04:23:38.474368,0 days 00:00:03.700705,"[96, 192, 384, 768]","[2, 3]",[3],elu,768,48,0.2,0.001,,minmax,4,AdamW,increasing,,max,False,0.0
49,0.42498175720685855,COMPLETE,2025-11-27 04:23:38.474368,2025-11-27 04:24:01.313544,0 days 00:00:22.839176,"[1024, 1024, 1024, 1024, 1024]",[3],"[2, 3, 4]",relu,1024,96,0.4,2e-05,,minmax,5,AdamW,uniform,,mean,False,1e-05
