number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
19,0.21839080459770113,PRUNED,2025-11-27 02:58:24.373498,2025-11-27 02:58:25.328624,0 days 00:00:00.955126,"[896, 448, 224, 112]","[2, 3]","[1, 2]",tanh,896,128,0.4,2e-05,,L2,4,AdamW,decreasing,,mean,False,1e-05
20,0.21839080459770113,PRUNED,2025-11-27 02:58:25.329626,2025-11-27 02:58:26.685642,0 days 00:00:01.356016,"[64, 64, 128]",[1],[],relu,128,48,,0.0002,0.0,L2,3,SGD,increasing,,mean,False,0.0
21,0.36261461106181603,PRUNED,2025-11-27 02:58:26.685642,2025-11-27 02:58:32.034151,0 days 00:00:05.348509,"[192, 192]",[],[1],leakyrelu,192,64,0.1,0.0002,,minmax,2,RMSprop,uniform,,mean,False,1e-07
22,0.3373528567327017,PRUNED,2025-11-27 02:58:32.036158,2025-11-27 02:58:33.367057,0 days 00:00:01.330899,"[512, 512, 512]",[2],"[1, 2]",leakyrelu,512,64,0.2,0.0002,,minmax,3,Adam,uniform,,mean,False,1e-07
23,0.39206349206349206,PRUNED,2025-11-27 02:58:33.368060,2025-11-27 02:58:35.148942,0 days 00:00:01.780882,[768],[],[],tanh,768,64,,0.0002,,minmax,1,AdamW,uniform,,mean,False,1e-07
24,0.4511634364901397,COMPLETE,2025-11-27 02:58:35.148942,2025-11-27 02:58:46.936096,0 days 00:00:11.787154,"[256, 256]",[],[1],elu,256,64,0.2,0.0002,,minmax,2,AdamW,uniform,,mean,False,1e-06
25,0.21839080459770113,PRUNED,2025-11-27 02:58:46.936096,2025-11-27 02:58:55.312009,0 days 00:00:08.375913,"[384, 384, 384, 384]",[2],"[1, 2]",gelu,384,32,0.1,0.0002,,minmax,4,Adam,uniform,,mean,False,1e-05
26,0.24444444444444444,PRUNED,2025-11-27 02:58:55.312009,2025-11-27 02:58:58.577099,0 days 00:00:03.265090,"[640, 640, 640]",[2],"[1, 2]",silu,640,16,0.2,0.0002,0.9,minmax,3,SGD,uniform,0.8,max,True,1e-07
27,0.21839080459770113,PRUNED,2025-11-27 02:58:58.577099,2025-11-27 02:59:01.295930,0 days 00:00:02.718831,"[640, 640]",[],[1],relu,640,96,0.5,2e-05,,minmax,2,RMSprop,uniform,,mean,False,1e-07
28,0.45497145879758827,COMPLETE,2025-11-27 02:59:01.295930,2025-11-27 02:59:14.170697,0 days 00:00:12.874767,"[384, 192, 96, 64, 64]",[3],"[1, 4]",tanh,384,128,0.3,0.0001,,L2,5,AdamW,decreasing,,mean,False,1e-05
29,0.21839080459770113,PRUNED,2025-11-27 02:59:14.186708,2025-11-27 02:59:15.061768,0 days 00:00:00.875060,[640],[],[],gelu,640,64,,1e-05,,minmax,1,RMSprop,increasing,,max,False,1e-07
30,0.21044018982163312,PRUNED,2025-11-27 02:59:15.061768,2025-11-27 02:59:17.592574,0 days 00:00:02.530806,"[1024, 1024, 1024]","[1, 2]",[2],leakyrelu,1024,64,0.4,0.0005,,minmax,3,Adam,uniform,,mean,False,1e-06
31,0.45892606181459905,COMPLETE,2025-11-27 02:59:17.592574,2025-11-27 02:59:29.124631,0 days 00:00:11.532057,"[96, 192, 384]",[],"[1, 2]",tanh,384,128,0.1,0.0002,,minmax,3,AdamW,increasing,,mean,False,1e-07
32,0.21839080459770113,PRUNED,2025-11-27 02:59:29.124631,2025-11-27 02:59:30.967500,0 days 00:00:01.842869,"[64, 96, 192, 384]",[3],"[1, 2]",tanh,384,128,0.1,0.0002,,minmax,4,AdamW,increasing,,mean,False,1e-07
33,0.3726551226551227,PRUNED,2025-11-27 02:59:30.967500,2025-11-27 02:59:35.076582,0 days 00:00:04.109082,"[256, 512]",[],[1],tanh,512,128,0.1,0.0002,,minmax,2,AdamW,increasing,,mean,False,0.0
34,0.4509406326000917,COMPLETE,2025-11-27 02:59:35.076582,2025-11-27 02:59:45.330269,0 days 00:00:10.253687,"[96, 192, 384]",[],"[1, 2]",leakyrelu,384,128,0.1,0.001,,minmax,3,AdamW,increasing,0.9,mean,True,1e-07
35,0.2182890855457227,PRUNED,2025-11-27 02:59:45.332275,2025-11-27 02:59:48.155865,0 days 00:00:02.823590,"[768, 384]",[],[1],tanh,768,16,0.1,1e-05,,minmax,2,AdamW,decreasing,,mean,False,0.0001
36,0.21839080459770113,PRUNED,2025-11-27 02:59:48.155865,2025-11-27 02:59:50.058141,0 days 00:00:01.902276,"[64, 96, 192, 384]",[],"[1, 2, 3]",leakyrelu,384,32,0.2,5e-05,0.9,L2,4,SGD,increasing,,max,False,0.0
37,0.25750089509488006,PRUNED,2025-11-27 02:59:50.059155,2025-11-27 02:59:50.857913,0 days 00:00:00.798758,[1024],[],[],silu,1024,96,,0.0002,,minmax,1,RMSprop,increasing,0.5,mean,True,1e-07
38,0.21839080459770113,PRUNED,2025-11-27 02:59:50.857913,2025-11-27 02:59:56.280092,0 days 00:00:05.422179,"[896, 448, 224, 112, 64]","[1, 3]","[1, 2]",relu,896,64,0.2,0.0002,,L2,5,Adam,decreasing,,mean,False,0.0001
39,0.4810033918932386,COMPLETE,2025-11-27 02:59:56.280092,2025-11-27 03:00:26.873876,0 days 00:00:30.593784,"[640, 640, 640]",[2],"[1, 2]",tanh,640,48,0.3,2e-05,,minmax,3,AdamW,uniform,,mean,False,1e-07
40,0.31794871794871793,PRUNED,2025-11-27 03:00:26.889561,2025-11-27 03:00:29.341729,0 days 00:00:02.452168,"[640, 640]",[],[],gelu,640,48,,2e-05,,L2,2,AdamW,uniform,0.8,max,True,1e-07
41,0.42959107506237004,COMPLETE,2025-11-27 03:00:29.341729,2025-11-27 03:00:51.204797,0 days 00:00:21.863068,"[640, 640, 640]",[2],"[1, 2]",tanh,640,48,0.3,2e-05,,minmax,3,AdamW,uniform,,mean,False,1e-07
42,0.4210368006293166,COMPLETE,2025-11-27 03:00:51.206804,2025-11-27 03:01:10.873970,0 days 00:00:19.667166,"[640, 640, 640]",[2],"[1, 2]",tanh,640,48,0.3,2e-05,,minmax,3,AdamW,uniform,,mean,False,1e-07
43,0.46441879245234396,COMPLETE,2025-11-27 03:01:10.873970,2025-11-27 03:01:30.451575,0 days 00:00:19.577605,"[256, 256, 256]",[2],"[1, 2]",tanh,256,48,0.3,5e-05,,minmax,3,AdamW,uniform,,mean,False,1e-07
44,0.21637426900584797,PRUNED,2025-11-27 03:01:30.451575,2025-11-27 03:01:46.124173,0 days 00:00:15.672598,"[256, 256, 256, 256]","[2, 3]","[1, 2]",elu,256,48,0.3,5e-05,,minmax,4,AdamW,uniform,,mean,False,1e-07
45,0.44597097607712344,COMPLETE,2025-11-27 03:01:46.124173,2025-11-27 03:02:07.076938,0 days 00:00:20.952765,"[256, 256]",[1],[],tanh,256,48,,5e-05,,minmax,2,Adam,uniform,,mean,False,0.0001
46,0.44149850961565507,COMPLETE,2025-11-27 03:02:07.093032,2025-11-27 03:02:30.373037,0 days 00:00:23.280005,"[256, 256, 256]",[2],"[1, 2]",relu,256,48,0.3,5e-05,,minmax,3,AdamW,uniform,,mean,False,1e-05
47,0.21839080459770113,PRUNED,2025-11-27 03:02:30.373037,2025-11-27 03:02:32.170768,0 days 00:00:01.797731,"[128, 128, 128, 128, 128]","[2, 4]","[1, 2, 3, 4]",leakyrelu,128,48,0.3,5e-05,0.8,L2,5,SGD,uniform,,mean,False,1e-07
48,0.3567447045707916,PRUNED,2025-11-27 03:02:32.186479,2025-11-27 03:02:50.326752,0 days 00:00:18.140273,"[192, 192, 192, 192]","[2, 3]",[1],tanh,192,16,0.5,2e-05,,minmax,4,AdamW,uniform,,mean,False,1e-06
49,0.4430117592209511,COMPLETE,2025-11-27 03:02:50.326752,2025-11-27 03:03:03.561045,0 days 00:00:13.234293,"[640, 640, 640]",[2],[2],relu,640,48,0.3,0.001,,L2,3,Adam,uniform,,mean,False,0.0
