number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,momentum_sgd,norm,num_layers,optimizer,pattern,pca_frac,pooling,use_pca,weight_decay
33,0.2950724637681159,PRUNED,2025-11-27 04:29:05.712399,2025-11-27 04:29:25.319345,0 days 00:00:19.606946,"[128, 64, 64, 64, 64]",[4],[1],tanh,128,16,0.3,5e-05,,L2,5,Adam,decreasing,0.7,mean,True,1e-07
34,0.25042130097741827,PRUNED,2025-11-27 04:29:25.320345,2025-11-27 04:29:30.656292,0 days 00:00:05.335947,"[512, 512, 512, 512, 512, 512]",[],[1],silu,512,32,0.3,0.0005,,L2,6,Adam,uniform,,mean,False,0.0
35,0.08888888888888889,PRUNED,2025-11-27 04:29:30.657299,2025-11-27 04:29:34.454021,0 days 00:00:03.796722,"[192, 96, 64, 64, 64]",[4],"[1, 4]",relu,192,48,0.1,0.0002,,L2,5,Adam,decreasing,0.8,max,True,1e-05
36,0.21637426900584797,PRUNED,2025-11-27 04:29:34.455028,2025-11-27 04:30:09.635691,0 days 00:00:35.180663,"[640, 320, 160, 80]","[2, 3]","[1, 2, 3]",gelu,640,16,0.4,2e-05,,minmax,4,Adam,decreasing,0.7,mean,True,0.0001
37,0.21839080459770113,PRUNED,2025-11-27 04:30:09.637793,2025-11-27 04:30:11.841399,0 days 00:00:02.203606,"[1024, 1024, 1024, 1024, 1024]","[1, 4]","[1, 4]",silu,1024,48,0.5,0.001,,L2,5,RMSprop,uniform,,max,False,1e-07
38,0.21839080459770113,PRUNED,2025-11-27 04:30:11.841399,2025-11-27 04:30:15.912385,0 days 00:00:04.070986,"[192, 384, 768]",[1],[1],tanh,768,32,0.4,0.0001,,L2,3,AdamW,increasing,0.9,mean,True,1e-06
39,0.21839080459770113,PRUNED,2025-11-27 04:30:15.912385,2025-11-27 04:30:17.154705,0 days 00:00:01.242320,[384],[],[],gelu,384,48,,5e-05,,minmax,1,Adam,decreasing,0.6,max,True,1e-07
40,0.28619528619528617,PRUNED,2025-11-27 04:30:17.154705,2025-11-27 04:30:23.997589,0 days 00:00:06.842884,"[128, 64, 64, 64, 64, 64]",[4],[1],elu,128,64,0.3,0.0005,,L2,6,AdamW,decreasing,,mean,False,1e-05
41,0.4692915728595583,COMPLETE,2025-11-27 04:30:23.998594,2025-11-27 04:30:43.884137,0 days 00:00:19.885543,"[384, 192]",[1],[1],tanh,384,48,0.2,0.0002,,L2,2,Adam,decreasing,0.8,max,True,1e-07
42,0.22028985507246376,PRUNED,2025-11-27 04:30:43.886147,2025-11-27 04:30:50.461526,0 days 00:00:06.575379,"[384, 192]",[1],[1],tanh,384,48,0.2,0.0002,,L2,2,Adam,decreasing,0.8,max,True,1e-07
43,0.21839080459770113,PRUNED,2025-11-27 04:30:50.462532,2025-11-27 04:30:54.665441,0 days 00:00:04.202909,"[384, 192, 96]",[1],[1],tanh,384,48,0.2,0.0002,,L2,3,Adam,decreasing,0.8,max,True,1e-07
44,0.21839080459770113,PRUNED,2025-11-27 04:30:54.666446,2025-11-27 04:30:59.922582,0 days 00:00:05.256136,"[384, 192]",[1],[1],tanh,384,48,0.2,0.0002,,L2,2,Adam,decreasing,0.8,max,True,1e-07
45,0.16468253968253968,PRUNED,2025-11-27 04:30:59.923589,2025-11-27 04:31:02.601750,0 days 00:00:02.678161,[192],[],[],relu,192,32,,1e-05,,L2,1,Adam,decreasing,0.6,max,True,0.0001
46,0.2995439272650963,COMPLETE,2025-11-27 04:31:02.602766,2025-11-27 04:31:18.073224,0 days 00:00:15.470458,"[224, 448, 896]",[1],[1],elu,896,48,0.3,0.0002,0.9,L2,3,SGD,increasing,0.7,max,True,1e-06
47,0.17777777777777778,PRUNED,2025-11-27 04:31:18.075236,2025-11-27 04:31:20.118770,0 days 00:00:02.043534,"[256, 256, 256, 256, 256]",[2],[2],tanh,256,128,0.2,0.001,,minmax,5,Adam,uniform,0.8,mean,True,0.0
48,0.20167084377610692,PRUNED,2025-11-27 04:31:20.118770,2025-11-27 04:31:31.037294,0 days 00:00:10.918524,"[640, 320, 160, 80]","[1, 3]","[1, 3]",leakyrelu,640,64,0.1,0.0001,,L2,4,RMSprop,decreasing,0.7,max,True,1e-07
49,0.2916666666666667,PRUNED,2025-11-27 04:31:31.038300,2025-11-27 04:31:36.590471,0 days 00:00:05.552171,"[1024, 512]",[1],[1],gelu,1024,48,0.4,2e-05,,L2,2,Adam,decreasing,0.9,mean,True,1e-07
