number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
33,0.4125127957485612,COMPLETE,2025-10-09 02:05:02.519106,2025-10-09 02:06:55.326396,0 days 00:01:52.807290,gelu,16,4.0,,increasing,3,3.0,linear,,2.0,0.1,True,False,False,False,,,,3,False,False,False,True,,,0.0002,,L2,4,RMSprop,max,False,0.0,True,"[256, 384, 512, 640]","[3, 5, 7, 9]","[True, False, False, False]",0.1,"[False, False, False, True]"
34,0.4203062291872542,COMPLETE,2025-10-09 02:06:55.329670,2025-10-09 02:08:16.698828,0 days 00:01:21.369158,gelu,16,5.0,,increasing,3,3.0,linear,,2.0,0.1,True,False,False,,,,,3,False,False,False,,,,0.0002,,L2,3,RMSprop,max,False,0.0,True,"[384, 512, 640]","[3, 5, 7]","[True, False, False]",0.1,"[False, False, False]"
35,0.3317238885023555,COMPLETE,2025-10-09 02:08:16.700977,2025-10-09 02:09:07.843918,0 days 00:00:51.142941,gelu,16,5.0,,increasing,3,3.0,linear,,3.0,0.2,True,False,,,,,64.0,3,False,False,,,,,0.0002,,L2,2,RMSprop,attention,False,0.0,True,"[384, 512]","[3, 6]","[True, False]",0.2,"[False, False]"
36,0.178030303030303,PRUNED,2025-10-09 02:09:07.845926,2025-10-09 02:09:22.606016,0 days 00:00:14.760090,leakyrelu,16,1.0,,increasing,3,3.0,linear,,2.0,0.1,True,False,False,False,,,,9,False,False,False,True,,,0.0002,,L2,4,RMSprop,max,False,0.0,True,"[96, 128, 192, 256]","[3, 5, 7, 9]","[True, False, False, False]",0.1,"[False, False, False, True]"
37,0.33648078666341896,COMPLETE,2025-10-09 02:09:22.608019,2025-10-09 02:10:18.285111,0 days 00:00:55.677092,hardswish,16,4.0,,increasing,3,3.0,linear,,1.0,0.2,True,True,False,,,,,2,False,False,False,,,,0.0001,,L2,3,AdamW,max,False,1e-06,True,"[256, 384, 512]","[3, 4, 5]","[True, True, False]",0.2,"[False, False, False]"
38,0.178030303030303,PRUNED,2025-10-09 02:10:18.292481,2025-10-09 02:10:24.501692,0 days 00:00:06.209211,gelu,96,6.0,,increasing,1,3.0,linear,,2.0,0.3,True,False,,,,,512.0,7,False,False,,,,,0.0002,,L2,2,RMSprop,max,False,1e-05,True,"[512, 640]","[3, 5]","[True, False]",0.3,"[False, False]"
39,0.37918883895671923,COMPLETE,2025-10-09 02:10:24.501692,2025-10-09 02:11:33.018978,0 days 00:01:08.517286,gelu,16,5.0,,decreasing,3,3.0,linear,,1.0,0.0,True,False,False,,,,64.0,3,False,False,False,,,,0.0002,,L2,3,AdamW,attention,False,2e-07,True,"[384, 256, 192]","[3, 4, 5]","[True, False, False]",0.0,"[False, False, False]"
40,0.178030303030303,PRUNED,2025-10-09 02:11:33.020987,2025-10-09 02:11:38.276622,0 days 00:00:05.255635,mish,128,7.0,,increasing,2,3.0,linear,,3.0,0.1,True,,,,,,,3,False,,,,,,0.0001,,L2,1,RMSprop,max,False,1e-07,True,[640],[3],[True],0.1,[False]
41,0.21640488656195464,PRUNED,2025-10-09 02:11:38.277625,2025-10-09 02:12:12.221320,0 days 00:00:33.943695,gelu,16,5.0,,increasing,3,3.0,linear,,2.0,0.1,True,False,False,,,,,3,False,False,False,,,,0.0002,,L2,3,RMSprop,max,False,0.0,True,"[384, 512, 640]","[3, 5, 7]","[True, False, False]",0.1,"[False, False, False]"
42,0.21875,PRUNED,2025-10-09 02:12:12.223320,2025-10-09 02:12:31.984275,0 days 00:00:19.760955,gelu,16,5.0,,increasing,3,3.0,linear,,2.0,0.1,True,False,False,,,,,3,False,False,False,,,,0.0002,,L2,3,RMSprop,max,False,0.0,True,"[384, 512, 640]","[3, 5, 7]","[True, False, False]",0.1,"[False, False, False]"
43,0.4163890831230393,COMPLETE,2025-10-09 02:12:31.984275,2025-10-09 02:13:31.587542,0 days 00:00:59.603267,gelu,16,6.0,,increasing,3,3.0,linear,,2.0,0.2,True,False,,,,,,3,False,False,,,,,0.0002,,L2,2,RMSprop,max,False,0.0,True,"[512, 640]","[3, 5]","[True, False]",0.2,"[False, False]"
44,0.09701440112399017,PRUNED,2025-10-09 02:13:31.590905,2025-10-09 02:13:53.435465,0 days 00:00:21.844560,leakyrelu,16,6.0,,increasing,3,3.0,linear,,2.0,0.2,True,False,,,,,256.0,7,False,False,,,,,0.0002,,L2,2,RMSprop,max,False,0.0,True,"[512, 640]","[3, 5]","[True, False]",0.2,"[False, False]"
45,0.178030303030303,PRUNED,2025-10-09 02:13:53.436465,2025-10-09 02:14:07.499797,0 days 00:00:14.063332,hardswish,96,7.0,,increasing,3,3.0,linear,,2.0,0.3,True,False,,,,,,3,True,False,,,,,0.0002,,L2,2,Adam,max,False,2e-07,True,"[640, 768]","[3, 5]","[True, False]",0.3,"[True, False]"
46,0.21875,PRUNED,2025-10-09 02:14:07.500799,2025-10-09 02:14:21.148340,0 days 00:00:13.647541,gelu,16,6.0,,increasing,3,,pow2,1.0,,0.2,False,,,,,,,9,False,,,,,,1e-05,,L2,1,RMSprop,attention,False,0.0,True,[512],[1],[False],0.2,[False]
47,0.41107050273716944,COMPLETE,2025-10-09 02:14:21.149341,2025-10-09 02:14:59.747860,0 days 00:00:38.598519,mish,16,8.0,,decreasing,1,3.0,linear,,2.0,0.2,True,False,,,,,,2,False,False,,,,,0.0002,,L2,2,AdamW,max,False,2e-06,True,"[768, 640]","[3, 5]","[True, False]",0.2,"[False, False]"
48,0.21875,PRUNED,2025-10-09 02:14:59.748167,2025-10-09 02:15:09.118344,0 days 00:00:09.370177,silu,16,4.0,,increasing,2,,pow2,1.0,,0.2,True,False,,,,,512.0,3,True,False,,,,,0.002,,L2,2,RMSprop,max,False,0.0,True,"[256, 384]","[1, 2]","[True, False]",0.2,"[True, False]"
49,0.178030303030303,PRUNED,2025-10-09 02:15:09.119362,2025-10-09 02:16:20.747515,0 days 00:01:11.628153,relu,16,,6.0,uniform,3,2.0,linear,,2.0,0.2,False,False,False,False,,,,9,False,False,False,True,,,0.0001,,L2,4,RMSprop,max,False,1e-05,True,"[512, 512, 512, 512]","[2, 4, 6, 8]","[False, False, False, False]",0.2,"[False, False, False, True]"
