number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_block_end,dropout,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
29,0.178030303030303,PRUNED,2025-10-09 04:31:30.132454,2025-10-09 04:31:49.170379,0 days 00:00:19.037925,"[384, 512]","[2, 4]","[False, True]","[0.0, 0.0]",leakyrelu,96,increasing,2,linear,512.0,7,0.0005,0.2,L2,2,SGD,max,False,5e-07,False
30,0.2175904889576118,COMPLETE,2025-10-09 04:31:49.171385,2025-10-09 04:32:33.838653,0 days 00:00:44.667268,"[512, 512, 512]","[1, 3, 5]","[False, False, False]","[0.2, 0.0, 0.0]",mish,64,uniform,1,linear,512.0,5,0.0005,,L2,3,Adam,attention,False,0.0,False
31,0.4276254154464545,COMPLETE,2025-10-09 04:32:33.840684,2025-10-09 04:32:58.067852,0 days 00:00:24.227168,"[192, 192, 192]","[1, 4, 7]","[False, True, True]","[0.0, 0.0, 0.0]",mish,96,uniform,1,linear,256.0,7,0.0005,,L2,3,AdamW,max,False,2e-06,False
32,0.438299969458147,COMPLETE,2025-10-09 04:32:58.070380,2025-10-09 04:33:17.818165,0 days 00:00:19.747785,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, True, False]","[0.0, 0.0, 0.0, 0.0]",mish,96,uniform,1,linear,256.0,7,0.0005,,L2,4,AdamW,max,False,2e-06,False
33,0.21875,PRUNED,2025-10-09 04:33:17.819669,2025-10-09 04:33:24.502445,0 days 00:00:06.682776,"[256, 256, 256]","[1, 4, 7]","[False, True, True]","[0.0, 0.0, 0.0]",elu,96,uniform,1,linear,256.0,2,0.0005,,L2,3,AdamW,max,False,2e-06,False
34,0.178030303030303,PRUNED,2025-10-09 04:33:24.503474,2025-10-09 04:35:35.171714,0 days 00:02:10.668240,"[768, 768, 768, 768]","[2, 5, 8, 11]","[False, True, True, True]","[0.1, 0.1, 0.0, 0.0]",mish,32,uniform,3,linear,256.0,2,0.0005,,L2,4,AdamW,max,True,1e-05,False
35,0.3171697428263891,COMPLETE,2025-10-09 04:35:35.172721,2025-10-09 04:35:51.141980,0 days 00:00:15.969259,"[64, 64, 64, 64, 64]","[1, 4, 7, 10, 13]","[True, True, True, True, False]","[0.0, 0.0, 0.0, 0.0, 0.0]",hardswish,128,uniform,1,linear,256.0,7,0.0005,0.5,minmax,5,SGD,max,False,2e-06,True
36,0.2176165803108808,PRUNED,2025-10-09 04:35:51.144993,2025-10-09 04:36:22.957784,0 days 00:00:31.812791,"[768, 640]","[1, 2]","[False, True]","[0.3, 0.3]",elu,96,decreasing,1,pow2,256.0,9,0.0002,,L2,2,AdamW,last,True,2e-06,False
37,0.178030303030303,PRUNED,2025-10-09 04:36:22.958804,2025-10-09 04:36:33.225670,0 days 00:00:10.266866,[384],[2],[True],[0.0],prelu,96,increasing,2,linear,512.0,7,0.001,,L2,1,Adam,mean,False,1e-05,True
38,0.2299606274044265,COMPLETE,2025-10-09 04:36:33.226675,2025-10-09 04:36:52.456663,0 days 00:00:19.229988,"[128, 128, 128]","[2, 4, 8]","[False, True, True]","[0.1, 0.1, 0.0]",prelu,128,uniform,3,pow2,256.0,3,0.0005,,minmax,3,AdamW,max,True,1e-06,False
