number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_block_end,dropout,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
37,0.1770244821092278,PRUNED,2025-10-09 03:42:19.751935,2025-10-09 03:42:38.150483,0 days 00:00:18.398548,"[768, 640, 512]","[2, 5, 8]","[False, False, True]","[0.0, 0.1, 0.0]",hardswish,64,decreasing,2,linear,,3,0.0002,,minmax,3,Adam,max,False,1e-06,True
38,0.178030303030303,PRUNED,2025-10-09 03:42:38.151489,2025-10-09 03:44:20.995153,0 days 00:01:42.843664,"[384, 384, 384, 384]","[1, 3, 5, 7]","[True, True, False, False]","[0.0, 0.2, 0.0, 0.0]",hardswish,16,uniform,2,linear,,9,0.0001,,L2,4,AdamW,max,False,2e-06,False
39,0.2175904889576118,COMPLETE,2025-10-09 03:44:20.996656,2025-10-09 03:45:55.237973,0 days 00:01:34.241317,"[896, 768, 640]","[2, 5, 8]","[False, False, False]","[0.1, 0.1, 0.1]",silu,96,decreasing,1,linear,,5,0.0002,,minmax,3,RMSprop,attention,False,0.0,False
40,0.178030303030303,PRUNED,2025-10-09 03:45:55.240477,2025-10-09 03:46:26.195916,0 days 00:00:30.955439,"[640, 512, 384]","[1, 3, 5]","[True, True, True]","[0.0, 0.0, 0.0]",leakyrelu,16,decreasing,2,linear,512.0,3,0.002,,L2,3,RMSprop,mean,True,1e-05,True
41,0.4184102470896956,COMPLETE,2025-10-09 03:46:26.197944,2025-10-09 03:48:07.781277,0 days 00:01:41.583333,"[768, 640, 512, 384]","[2, 4, 6, 8]","[True, False, False, False]","[0.0, 0.1, 0.0, 0.0]",elu,16,decreasing,1,linear,,3,0.0002,,L2,4,RMSprop,max,False,0.0,False
42,0.178030303030303,PRUNED,2025-10-09 03:48:07.784278,2025-10-09 03:48:31.185228,0 days 00:00:23.400950,"[640, 512, 384, 256]","[2, 4, 8, 16]","[True, False, False, False]","[0.0, 0.1, 0.0, 0.0]",mish,16,decreasing,1,pow2,,3,0.0002,,L2,4,RMSprop,max,False,0.0,False
43,0.0965844671201814,PRUNED,2025-10-09 03:48:31.186352,2025-10-09 03:48:50.102079,0 days 00:00:18.915727,"[768, 640, 512, 384, 256]","[1, 2, 3, 4, 5]","[True, False, False, False, True]","[0.0, 0.1, 0.0, 0.0, 0.1]",gelu,16,decreasing,1,linear,128.0,3,0.0002,,L2,5,RMSprop,max,False,0.0,False
44,0.4591642547277728,COMPLETE,2025-10-09 03:48:50.103090,2025-10-09 03:51:19.441652,0 days 00:02:29.338562,[896],[2],[True],[0.0],elu,16,decreasing,1,pow2,512.0,9,0.0002,,minmax,1,RMSprop,max,False,1e-06,False
45,0.4356489523819075,COMPLETE,2025-10-09 03:51:19.443696,2025-10-09 03:55:00.701277,0 days 00:03:41.257581,"[896, 768]","[2, 4]","[True, True]","[0.0, 0.0]",prelu,32,decreasing,1,pow2,512.0,9,0.0001,,minmax,2,AdamW,max,False,1e-06,False
46,0.21875,PRUNED,2025-10-09 03:55:00.704464,2025-10-09 03:55:24.889961,0 days 00:00:24.185497,[896],[3],[False],[0.0],relu,128,increasing,1,linear,512.0,9,0.0002,,minmax,1,Adam,attention,False,1e-06,False
47,0.178030303030303,PRUNED,2025-10-09 03:55:24.890965,2025-10-09 03:55:48.131851,0 days 00:00:23.240886,[896],[2],[True],[0.2],silu,64,decreasing,1,pow2,512.0,9,0.0005,,minmax,1,RMSprop,max,False,1e-06,False
48,0.1770244821092278,PRUNED,2025-10-09 03:55:48.132854,2025-10-09 03:55:58.553295,0 days 00:00:10.420441,"[768, 640]","[2, 4]","[True, False]","[0.0, 0.1]",elu,16,decreasing,1,pow2,512.0,2,0.001,0.3,minmax,2,SGD,max,False,1e-06,True
49,0.21875,PRUNED,2025-10-09 03:55:58.554301,2025-10-09 03:56:21.554787,0 days 00:00:23.000486,"[384, 384, 384]","[2, 4, 8]","[True, True, True]","[0.0, 0.1, 0.1]",elu,16,uniform,1,pow2,64.0,9,0.0002,,minmax,3,RMSprop,last,False,2e-06,False
