number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
33,0.31742071412730094,PRUNED,2025-10-01 12:49:06.059597,2025-10-01 12:49:17.361736,0 days 00:00:11.302139,elu,True,96,True,0.0,,increasing,3,2.0,linear,,3.0,0.15000000000000002,True,,,,,,2,True,,,,,0.0002,,L2,1,AdamW,mean,False,0.0,False,[64],[2],[True],0.15000000000000002,[True]
34,0.08558558558558559,PRUNED,2025-10-01 12:49:17.362778,2025-10-01 12:49:48.749872,0 days 00:00:31.387094,leakyrelu,True,96,True,6.0,,increasing,2,3.0,linear,,3.0,0.25,True,,,,,64.0,7,False,,,,,0.0002,,L2,1,AdamW,mean,True,0.0,False,[512],[3],[True],0.25,[False]
35,0.21759048895761182,COMPLETE,2025-10-01 12:49:48.750874,2025-10-01 12:50:31.019445,0 days 00:00:42.268571,tanh,True,128,False,7.0,,decreasing,2,,pow2,1.0,,0.1,True,True,,,,,2,True,False,,,,0.002,,L2,2,RMSprop,mean,False,2e-07,False,"[640, 512]","[1, 2]","[True, True]",0.1,"[True, False]"
36,0.41720400430555515,COMPLETE,2025-10-01 12:50:31.021576,2025-10-01 12:58:16.271791,0 days 00:07:45.250215,leakyrelu,True,96,True,4.0,,increasing,3,2.0,linear,,2.0,0.05,False,False,True,False,,64.0,9,False,True,True,False,,1e-05,,minmax,4,AdamW,max,True,1e-05,False,"[256, 384, 512, 640]","[2, 4, 6, 8]","[False, False, True, False]",0.05,"[False, True, True, False]"
37,0.17702448210922786,PRUNED,2025-10-01 12:58:16.274842,2025-10-01 12:58:33.577784,0 days 00:00:17.302942,elu,True,128,False,7.0,,decreasing,2,,pow2,1.0,,0.1,True,True,False,,,256.0,3,True,False,True,,,0.0002,,L2,3,RMSprop,mean,False,5e-07,False,"[640, 512, 384]","[1, 2, 4]","[True, True, False]",0.1,"[True, False, True]"
38,0.21761658031088082,PRUNED,2025-10-01 12:58:33.578786,2025-10-01 12:58:47.571278,0 days 00:00:13.992492,mish,True,64,True,5.0,,increasing,3,1.0,linear,,3.0,0.15000000000000002,False,,,,,128.0,5,False,,,,,0.002,,L2,1,AdamW,attention,True,0.0,False,[384],[1],[False],0.15000000000000002,[False]
39,0.24536155202821866,PRUNED,2025-10-01 12:58:47.572285,2025-10-01 12:59:09.584888,0 days 00:00:22.012603,silu,False,32,False,,4.0,uniform,1,,pow2,2.0,,0.25,True,False,True,,,,7,True,True,False,,,1e-05,,minmax,3,Adam,max,False,2e-06,False,"[256, 256, 256]","[2, 4, 8]","[True, False, True]",0.25,"[True, True, False]"
40,0.178030303030303,PRUNED,2025-10-01 12:59:09.585898,2025-10-01 12:59:40.647453,0 days 00:00:31.061555,leakyrelu,True,16,True,5.0,,increasing,3,2.0,linear,,3.0,0.2,True,False,,,,512.0,2,False,True,,,,0.001,,L2,2,RMSprop,last,True,2e-07,True,"[384, 512]","[2, 5]","[True, False]",0.2,"[False, True]"
41,0.4292645671576569,COMPLETE,2025-10-01 12:59:40.648956,2025-10-01 13:01:02.463040,0 days 00:01:21.814084,leakyrelu,True,96,True,8.0,,increasing,3,3.0,linear,,3.0,0.2,True,,,,,64.0,2,True,,,,,0.0002,,L2,1,AdamW,mean,False,0.0,False,[768],[3],[True],0.2,[True]
42,0.42494025062143703,COMPLETE,2025-10-01 13:01:02.465071,2025-10-01 13:02:00.406867,0 days 00:00:57.941796,leakyrelu,True,96,True,8.0,,increasing,3,3.0,linear,,3.0,0.2,True,,,,,64.0,2,True,,,,,0.0002,,L2,1,AdamW,mean,False,0.0,False,[768],[3],[True],0.2,[True]
43,0.18946428571428572,PRUNED,2025-10-01 13:02:00.409374,2025-10-01 13:02:28.107932,0 days 00:00:27.698558,leakyrelu,True,96,True,8.0,,increasing,3,3.0,linear,,3.0,0.15000000000000002,True,,,,,64.0,2,True,,,,,0.0002,,L2,1,AdamW,mean,False,0.0,False,[768],[3],[True],0.15000000000000002,[True]
44,0.42776790199500253,COMPLETE,2025-10-01 13:02:28.108933,2025-10-01 13:03:23.020917,0 days 00:00:54.911984,leakyrelu,True,96,True,6.0,,increasing,3,3.0,linear,,3.0,0.25,True,,,,,256.0,3,True,,,,,0.0002,,L2,1,AdamW,mean,False,5e-07,False,[512],[3],[True],0.25,[True]
45,0.3747089343210612,COMPLETE,2025-10-01 13:03:23.024651,2025-10-01 13:03:55.128866,0 days 00:00:32.104215,mish,True,96,True,6.0,,increasing,2,3.0,linear,,2.0,0.3,True,,,,,256.0,3,True,,,,,0.0001,,L2,1,AdamW,mean,False,5e-07,False,[512],[3],[True],0.3,[True]
46,0.2596949891067538,PRUNED,2025-10-01 13:03:55.130376,2025-10-01 13:04:07.677785,0 days 00:00:12.547409,tanh,True,64,True,,1.0,uniform,3,3.0,linear,,1.0,0.25,False,True,,,,256.0,3,True,False,,,,0.0005,0.4,L2,2,SGD,attention,False,5e-07,True,"[96, 96]","[3, 4]","[False, True]",0.25,"[True, False]"
47,0.178030303030303,PRUNED,2025-10-01 13:04:07.678785,2025-10-01 13:04:24.219929,0 days 00:00:16.541144,silu,False,32,False,,8.0,uniform,2,3.0,linear,,3.0,0.25,True,,,,,256.0,3,True,,,,,0.001,,minmax,1,Adam,max,False,5e-07,False,[768],[3],[True],0.25,[True]
48,0.08558558558558559,PRUNED,2025-10-01 13:04:24.220931,2025-10-01 13:05:12.124642,0 days 00:00:47.903711,gelu,True,96,True,6.0,,increasing,2,,pow2,1.0,,0.3,True,False,,,,256.0,3,True,True,,,,0.002,,L2,2,AdamW,attention,False,1e-06,True,"[512, 640]","[1, 2]","[True, False]",0.3,"[True, True]"
49,0.38323011356656234,COMPLETE,2025-10-01 13:05:12.125650,2025-10-01 13:05:38.359368,0 days 00:00:26.233718,relu,False,32,True,,2.0,uniform,3,2.0,linear,,2.0,0.25,True,,,,,256.0,9,False,,,,,0.001,,L2,1,Adam,mean,True,5e-07,False,[128],[2],[True],0.25,[False]
