number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
19,0.3682230264808113,PRUNED,2025-10-01 11:56:33.143685,2025-10-01 11:56:46.845284,0 days 00:00:13.701599,relu,True,16,True,5.0,,increasing,2,,pow2,1.0,,0.2,True,False,False,,,,2,False,True,True,,,0.0002,,L2,3,RMSprop,last,False,2e-07,True,"[384, 512, 640]","[1, 2, 4]","[True, False, False]",0.2,"[False, True, True]"
20,0.178030303030303,PRUNED,2025-10-01 11:56:46.847317,2025-10-01 11:57:05.187977,0 days 00:00:18.340660,leakyrelu,True,16,True,3.0,,increasing,3,,pow2,1.0,,0.1,True,False,,,,,9,False,True,,,,0.0005,,L2,2,AdamW,last,False,1e-07,True,"[192, 256]","[1, 2]","[True, False]",0.1,"[False, True]"
21,0.21640488656195464,PRUNED,2025-10-01 11:57:05.188977,2025-10-01 11:57:51.152116,0 days 00:00:45.963139,mish,True,16,True,,6.0,uniform,2,,pow2,1.0,,0.25,True,True,False,,,128.0,2,False,True,True,,,0.002,0.9,L2,3,SGD,last,False,5e-07,True,"[512, 512, 512]","[1, 2, 4]","[True, True, False]",0.25,"[False, True, True]"
22,0.4231370348503661,COMPLETE,2025-10-01 11:57:51.154184,2025-10-01 11:58:46.622799,0 days 00:00:55.468615,silu,True,16,True,,5.0,uniform,2,,pow2,1.0,,0.2,True,True,False,,,,2,False,True,True,,,0.0002,,L2,3,Adam,last,False,5e-07,True,"[384, 384, 384]","[1, 2, 4]","[True, True, False]",0.2,"[False, True, True]"
23,0.422913220338919,COMPLETE,2025-10-01 11:58:46.624832,2025-10-01 11:59:58.652981,0 days 00:01:12.028149,mish,True,16,True,,4.0,uniform,2,,pow2,1.0,,0.15000000000000002,True,True,False,True,,,2,False,True,True,False,,0.0002,,L2,4,RMSprop,last,False,5e-07,True,"[256, 256, 256, 256]","[1, 2, 4, 8]","[True, True, False, True]",0.15000000000000002,"[False, True, True, False]"
24,0.4041573274673907,COMPLETE,2025-10-01 11:59:58.655061,2025-10-01 12:01:01.601974,0 days 00:01:02.946913,mish,True,16,True,,4.0,uniform,2,,pow2,1.0,,0.15000000000000002,True,True,False,True,,,2,False,True,True,False,,0.0002,,L2,4,RMSprop,last,False,5e-07,True,"[256, 256, 256, 256]","[1, 2, 4, 8]","[True, True, False, True]",0.15000000000000002,"[False, True, True, False]"
25,0.4223767659270341,COMPLETE,2025-10-01 12:01:01.602991,2025-10-01 12:01:24.057595,0 days 00:00:22.454604,mish,True,96,True,,2.0,uniform,2,,pow2,1.0,,0.15000000000000002,True,True,False,True,False,,2,False,True,True,False,True,0.0002,,L2,5,Adam,last,False,5e-07,True,"[128, 128, 128, 128, 128]","[1, 2, 4, 8, 16]","[True, True, False, True, False]",0.15000000000000002,"[False, True, True, False, True]"
26,0.21640488656195464,PRUNED,2025-10-01 12:01:24.059595,2025-10-01 12:01:37.912615,0 days 00:00:13.853020,mish,True,96,True,,2.0,uniform,2,3.0,linear,,2.0,0.15000000000000002,False,True,False,True,False,,2,True,True,True,False,True,0.0002,,L2,5,Adam,max,False,5e-07,True,"[128, 128, 128, 128, 128]","[3, 5, 7, 9, 11]","[False, True, False, True, False]",0.15000000000000002,"[True, True, True, False, True]"
27,0.29252981795354677,PRUNED,2025-10-01 12:01:37.913640,2025-10-01 12:01:42.789305,0 days 00:00:04.875665,silu,True,96,True,,0.0,uniform,3,,pow2,1.0,,0.1,True,True,False,True,False,,2,False,True,True,False,True,0.0002,,L2,5,Adam,attention,False,5e-07,True,"[64, 64, 64, 64, 64]","[1, 2, 4, 8, 16]","[True, True, False, True, False]",0.1,"[False, True, True, False, True]"
28,0.4205638620337409,COMPLETE,2025-10-01 12:01:42.790315,2025-10-01 12:03:12.098316,0 days 00:01:29.308001,mish,True,96,True,,4.0,uniform,2,,pow2,2.0,,0.05,True,True,False,False,False,64.0,9,False,True,True,True,True,0.0002,,L2,5,Adam,mean,False,5e-07,True,"[256, 256, 256, 256, 256]","[2, 4, 8, 16, 32]","[True, True, False, False, False]",0.05,"[False, True, True, True, True]"
29,0.39870090303507877,COMPLETE,2025-10-01 12:03:12.100315,2025-10-01 12:06:48.912159,0 days 00:03:36.811844,tanh,False,96,True,,5.0,uniform,3,2.0,linear,,1.0,0.15000000000000002,True,True,False,True,,,7,True,True,True,False,,0.001,0.0,L2,4,SGD,max,False,1e-05,True,"[384, 384, 384, 384]","[2, 3, 4, 5]","[True, True, False, True]",0.15000000000000002,"[True, True, True, False]"
30,0.32244008714596956,PRUNED,2025-10-01 12:06:48.914160,2025-10-01 12:06:57.643337,0 days 00:00:08.729177,relu,True,64,True,,3.0,uniform,2,,pow2,1.0,,0.1,True,True,False,True,,,7,False,True,True,False,,0.0001,,L2,4,Adam,last,False,5e-07,True,"[192, 192, 192, 192]","[1, 2, 4, 8]","[True, True, False, True]",0.1,"[False, True, True, False]"
31,0.33551551551551556,PRUNED,2025-10-01 12:06:57.645572,2025-10-01 12:07:13.005728,0 days 00:00:15.360156,mish,True,96,True,,4.0,uniform,2,,pow2,2.0,,0.05,True,True,False,False,False,64.0,9,False,True,True,True,True,0.0002,,L2,5,Adam,mean,False,5e-07,True,"[256, 256, 256, 256, 256]","[2, 4, 8, 16, 32]","[True, True, False, False, False]",0.05,"[False, True, True, True, True]"
