number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
14,0.08558558558558559,PRUNED,2025-09-30 23:00:13.472835,2025-09-30 23:00:37.737951,0 days 00:00:24.265116,mish,False,96,True,3.0,,increasing,1,,pow2,1.0,,0.25,True,False,True,True,True,,,7,False,True,False,True,True,,0.001,,minmax,5,RMSprop,last,True,1e-05,False,"[192, 256, 384, 512, 640]","[1, 2, 4, 8, 16]","[True, False, True, True, True]",0.25,"[False, True, False, True, True]"
15,0.21761658031088082,PRUNED,2025-09-30 23:00:37.737951,2025-09-30 23:01:05.946852,0 days 00:00:28.208901,gelu,True,32,True,,7.0,uniform,2,3.0,linear,,2.0,0.1,False,False,,,,,512.0,7,True,True,,,,,0.002,,minmax,2,AdamW,last,False,5e-07,True,"[640, 640]","[3, 5]","[False, False]",0.1,"[True, True]"
16,0.178030303030303,PRUNED,2025-09-30 23:01:05.947889,2025-09-30 23:01:12.042683,0 days 00:00:06.094794,leakyrelu,True,96,True,5.0,,increasing,1,2.0,linear,,1.0,0.25,True,True,,,,,256.0,2,False,False,,,,,0.0005,,minmax,2,RMSprop,mean,False,1e-07,True,"[384, 512]","[2, 3]","[True, True]",0.25,"[False, False]"
17,0.4434047503317275,COMPLETE,2025-09-30 23:01:12.043693,2025-09-30 23:02:40.707332,0 days 00:01:28.663639,relu,False,32,True,4.0,,increasing,2,2.0,linear,,1.0,0.1,False,False,False,False,,,512.0,3,True,True,False,False,,,0.0002,,minmax,4,Adam,max,True,0.0,False,"[256, 384, 512, 640]","[2, 3, 4, 5]","[False, False, False, False]",0.1,"[True, True, False, False]"
18,0.21875,PRUNED,2025-09-30 23:02:40.707332,2025-09-30 23:02:53.598967,0 days 00:00:12.891635,relu,False,32,True,,0.0,uniform,2,,pow2,1.0,,0.05,False,False,False,False,,,256.0,3,True,True,False,False,,,0.0002,,minmax,4,Adam,max,True,0.0,False,"[64, 64, 64, 64]","[1, 2, 4, 8]","[False, False, False, False]",0.05,"[True, True, False, False]"
19,0.4367258562112977,COMPLETE,2025-09-30 23:02:53.599970,2025-09-30 23:03:12.119785,0 days 00:00:18.519815,relu,False,32,True,1.0,,decreasing,2,3.0,linear,,2.0,0.1,False,,,,,,,3,True,,,,,,0.0002,,minmax,1,Adam,max,True,0.0,True,[96],[3],[False],0.1,[True]
20,0.21640488656195464,PRUNED,2025-09-30 23:03:12.123140,2025-09-30 23:03:34.395733,0 days 00:00:22.272593,silu,False,32,True,3.0,,increasing,3,1.0,linear,,1.0,0.05,False,True,,,,,128.0,3,True,False,,,,,0.0002,,minmax,2,Adam,max,True,2e-07,True,"[192, 256]","[1, 2]","[False, True]",0.05,"[True, False]"
21,0.30612678675806365,PRUNED,2025-09-30 23:03:34.397240,2025-09-30 23:03:47.532147,0 days 00:00:13.134907,relu,False,32,True,0.0,,decreasing,2,3.0,linear,,2.0,0.1,False,,,,,,,3,True,,,,,,0.0002,,minmax,1,Adam,max,True,0.0,True,[64],[3],[False],0.1,[True]
22,0.23114930182599358,PRUNED,2025-09-30 23:03:47.534154,2025-09-30 23:03:53.678907,0 days 00:00:06.144753,relu,False,32,True,0.0,,decreasing,2,3.0,linear,,2.0,0.1,False,,,,,,,3,True,,,,,,0.0002,,minmax,1,Adam,max,True,0.0,True,[64],[3],[False],0.1,[True]
23,0.44980768624056466,COMPLETE,2025-09-30 23:03:53.680915,2025-09-30 23:04:19.674393,0 days 00:00:25.993478,relu,False,32,True,4.0,,decreasing,2,2.0,linear,,1.0,0.1,False,False,,,,,,3,True,True,,,,,0.0002,,minmax,2,Adam,max,True,0.0,True,"[256, 192]","[2, 3]","[False, False]",0.1,"[True, True]"
24,0.4397658191478453,COMPLETE,2025-09-30 23:04:19.676395,2025-09-30 23:04:41.964105,0 days 00:00:22.287710,gelu,False,32,True,4.0,,decreasing,2,2.0,linear,,1.0,0.0,False,False,,,,,,3,True,True,,,,,0.0002,,minmax,2,Adam,max,True,1e-06,True,"[256, 192]","[2, 3]","[False, False]",0.0,"[True, True]"
25,0.21640488656195464,PRUNED,2025-09-30 23:04:41.966109,2025-09-30 23:05:12.895046,0 days 00:00:30.928937,relu,False,16,True,4.0,,decreasing,2,2.0,linear,,1.0,0.15000000000000002,False,False,True,,,,512.0,3,True,True,False,,,,0.0002,,minmax,3,RMSprop,attention,True,5e-07,True,"[256, 192, 128]","[2, 3, 4]","[False, False, True]",0.15000000000000002,"[True, True, False]"
26,0.21640488656195464,PRUNED,2025-09-30 23:05:12.895046,2025-09-30 23:05:46.312812,0 days 00:00:33.417766,relu,False,32,True,4.0,,increasing,2,,pow2,2.0,,0.05,False,False,False,False,,,256.0,2,True,True,False,False,,,0.0002,,L2,4,Adam,max,True,0.0,False,"[256, 384, 512, 640]","[2, 4, 8, 16]","[False, False, False, False]",0.05,"[True, True, False, False]"
27,0.21759048895761182,COMPLETE,2025-09-30 23:05:46.314818,2025-09-30 23:06:34.227314,0 days 00:00:47.912496,gelu,False,128,True,6.0,,increasing,3,2.0,linear,,1.0,0.1,False,False,,,,,512.0,3,True,True,,,,,0.002,,minmax,2,Adam,max,True,0.0,True,"[512, 640]","[2, 3]","[False, False]",0.1,"[True, True]"
28,0.21761658031088082,PRUNED,2025-09-30 23:06:34.243081,2025-09-30 23:06:38.934721,0 days 00:00:04.691640,relu,False,64,True,,4.0,uniform,2,2.0,linear,,1.0,0.15000000000000002,False,False,False,,,,,3,True,True,False,,,,0.0005,,minmax,3,RMSprop,mean,True,5e-07,False,"[256, 256, 256]","[2, 3, 4]","[False, False, False]",0.15000000000000002,"[True, True, False]"
29,0.19086363251122976,PRUNED,2025-09-30 23:06:38.934721,2025-09-30 23:06:48.289587,0 days 00:00:09.354866,leakyrelu,False,32,False,7.0,,decreasing,2,,pow2,1.0,,0.05,False,,,,,,256.0,5,True,,,,,,0.001,,L2,1,RMSprop,attention,True,2e-07,True,[640],[1],[False],0.05,[True]
30,0.4278517077642854,COMPLETE,2025-09-30 23:06:48.289587,2025-09-30 23:09:23.756254,0 days 00:02:35.466667,tanh,False,32,True,5.0,,increasing,2,2.0,linear,,1.0,0.15000000000000002,False,False,True,,,,512.0,7,True,True,True,,,,0.0002,0.8,minmax,3,SGD,max,True,0.0,True,"[384, 512, 640]","[2, 3, 4]","[False, False, True]",0.15000000000000002,"[True, True, True]"
31,0.178030303030303,PRUNED,2025-09-30 23:09:23.759615,2025-09-30 23:09:32.037476,0 days 00:00:08.277861,gelu,False,32,True,4.0,,decreasing,2,2.0,linear,,1.0,0.0,False,False,,,,,,3,True,True,,,,,0.0002,,minmax,2,Adam,max,True,1e-06,True,"[256, 192]","[2, 3]","[False, False]",0.0,"[True, True]"
32,0.41433797063409467,COMPLETE,2025-09-30 23:09:32.038481,2025-09-30 23:09:55.540031,0 days 00:00:23.501550,gelu,False,32,True,3.0,,decreasing,2,2.0,linear,,1.0,0.0,False,False,,,,,,3,True,True,,,,,0.0002,,minmax,2,Adam,max,True,1e-06,True,"[192, 128]","[2, 3]","[False, False]",0.0,"[True, True]"
33,0.40065259382640467,COMPLETE,2025-09-30 23:09:55.540031,2025-09-30 23:11:05.936378,0 days 00:01:10.396347,gelu,False,16,True,4.0,,decreasing,2,2.0,linear,,1.0,0.0,False,False,False,,,,,3,True,True,False,,,,1e-05,,minmax,3,Adam,max,True,1e-06,True,"[256, 192, 128]","[2, 3, 4]","[False, False, False]",0.0,"[True, True, False]"
34,0.21875,PRUNED,2025-09-30 23:11:05.943445,2025-09-30 23:11:16.476676,0 days 00:00:10.533231,gelu,False,64,False,5.0,,decreasing,3,2.0,linear,,1.0,0.0,False,False,False,False,,,128.0,2,True,True,False,False,,,0.0002,,L2,4,Adam,max,True,1e-06,True,"[384, 256, 192, 128]","[2, 3, 4, 5]","[False, False, False, False]",0.0,"[True, True, False, False]"
35,0.21875,PRUNED,2025-09-30 23:11:16.476676,2025-09-30 23:11:22.226863,0 days 00:00:05.750187,silu,False,32,True,2.0,,decreasing,2,2.0,linear,,1.0,0.05,False,,,,,,64.0,3,True,,,,,,0.0002,,minmax,1,Adam,max,True,5e-07,False,[128],[2],[False],0.05,[True]
36,0.21640488656195464,PRUNED,2025-09-30 23:11:22.226863,2025-09-30 23:12:09.929941,0 days 00:00:47.703078,elu,False,32,False,6.0,,increasing,2,1.0,linear,,2.0,0.1,False,False,,,,,,5,True,True,,,,,0.0001,,minmax,2,Adam,last,True,1e-07,True,"[512, 640]","[1, 3]","[False, False]",0.1,"[True, True]"
37,0.2869035532938104,COMPLETE,2025-09-30 23:12:09.945611,2025-09-30 23:12:26.182674,0 days 00:00:16.237063,gelu,False,64,True,,4.0,uniform,1,,pow2,2.0,,0.0,False,,,,,,64.0,9,True,,,,,,1e-05,0.4,L2,1,SGD,max,True,2e-07,False,[256],[2],[False],0.0,[True]
38,0.32205916545663005,COMPLETE,2025-09-30 23:12:26.184681,2025-09-30 23:13:08.858439,0 days 00:00:42.673758,relu,False,32,False,2.0,,increasing,3,2.0,linear,,1.0,0.05,False,False,True,,,,,3,True,True,True,,,,0.0002,,minmax,3,Adam,mean,True,1e-06,True,"[128, 192, 256]","[2, 3, 4]","[False, False, True]",0.05,"[True, True, True]"
39,0.21761658031088082,PRUNED,2025-09-30 23:13:08.860445,2025-09-30 23:13:24.937905,0 days 00:00:16.077460,elu,False,16,True,5.0,,decreasing,2,2.0,linear,,1.0,0.1,False,False,False,False,True,,256.0,9,True,True,False,False,True,,0.0001,,minmax,5,RMSprop,last,True,2e-06,False,"[384, 256, 192, 128, 96]","[2, 3, 4, 5, 6]","[False, False, False, False, True]",0.1,"[True, True, False, False, True]"
40,0.21761658031088082,PRUNED,2025-09-30 23:13:24.938919,2025-09-30 23:13:29.180839,0 days 00:00:04.241920,tanh,False,32,True,4.0,,increasing,1,2.0,linear,,2.0,0.05,True,True,,,,,512.0,2,False,False,,,,,0.001,0.5,L2,2,SGD,attention,True,0.0,True,"[256, 384]","[2, 4]","[True, True]",0.05,"[False, False]"
41,0.4110742308075546,COMPLETE,2025-09-30 23:13:29.181841,2025-09-30 23:13:43.651284,0 days 00:00:14.469443,relu,False,32,True,1.0,,decreasing,2,3.0,linear,,3.0,0.1,False,,,,,,,3,True,,,,,,0.0002,,minmax,1,Adam,max,True,0.0,True,[96],[3],[False],0.1,[True]
42,0.18946428571428572,PRUNED,2025-09-30 23:13:43.653291,2025-09-30 23:13:54.585305,0 days 00:00:10.932014,relu,False,32,True,7.0,,decreasing,2,3.0,linear,,2.0,0.15000000000000002,False,,,,,,,3,True,,,,,,0.0002,,minmax,1,Adam,max,True,0.0,True,[640],[3],[False],0.15000000000000002,[True]
43,0.4552845410207649,COMPLETE,2025-09-30 23:13:54.585305,2025-09-30 23:14:13.221365,0 days 00:00:18.636060,relu,False,32,True,1.0,,decreasing,2,2.0,linear,,3.0,0.1,False,,,,,,,3,True,,,,,,0.0002,,minmax,1,Adam,max,True,0.0,True,[96],[2],[False],0.1,[True]
44,0.318277319619007,COMPLETE,2025-09-30 23:14:13.223369,2025-09-30 23:14:53.868045,0 days 00:00:40.644676,gelu,False,128,True,4.0,,decreasing,2,2.0,linear,,3.0,0.05,False,True,True,False,,,,7,True,False,True,False,,,0.0002,,minmax,4,Adam,max,True,5e-07,True,"[256, 192, 128, 96]","[2, 5, 8, 11]","[False, True, True, False]",0.05,"[True, False, True, False]"
45,0.21875,PRUNED,2025-09-30 23:14:53.868045,2025-09-30 23:14:59.907759,0 days 00:00:06.039714,relu,False,32,True,3.0,,decreasing,2,2.0,linear,,3.0,0.2,False,,,,,,128.0,5,True,,,,,,0.0002,,minmax,1,Adam,max,True,0.0,True,[192],[2],[False],0.2,[True]
46,0.3712538226299695,PRUNED,2025-09-30 23:14:59.907759,2025-09-30 23:15:14.064157,0 days 00:00:14.156398,gelu,True,32,False,2.0,,increasing,2,2.0,linear,,3.0,0.0,True,False,,,,,,3,True,True,,,,,0.002,,minmax,2,AdamW,last,True,1e-05,False,"[128, 192]","[2, 5]","[True, False]",0.0,"[True, True]"
47,0.178030303030303,PRUNED,2025-09-30 23:15:14.065160,2025-09-30 23:15:58.968550,0 days 00:00:44.903390,mish,False,96,True,8.0,,decreasing,2,2.0,linear,,1.0,0.15000000000000002,False,True,False,,,,64.0,7,False,True,False,,,,0.0005,,minmax,3,RMSprop,max,False,2e-06,True,"[768, 640, 512]","[2, 3, 4]","[False, True, False]",0.15000000000000002,"[False, True, False]"
48,0.41706419543198775,COMPLETE,2025-09-30 23:15:58.970644,2025-09-30 23:26:25.102300,0 days 00:10:26.131656,elu,True,32,True,,7.0,uniform,3,,pow2,2.0,,0.1,False,False,False,False,True,,256.0,9,True,False,False,False,True,,1e-05,,minmax,5,Adam,last,True,1e-07,False,"[640, 640, 640, 640, 640]","[2, 4, 8, 16, 32]","[False, False, False, False, True]",0.1,"[True, False, False, False, True]"
49,0.21640488656195464,PRUNED,2025-09-30 23:26:25.102300,2025-09-30 23:26:30.900800,0 days 00:00:05.798500,leakyrelu,False,128,True,2.0,,increasing,2,2.0,linear,,2.0,0.05,True,,,,,,512.0,3,True,,,,,,0.0002,,minmax,1,Adam,mean,False,0.0,True,[128],[2],[True],0.05,[True]
