number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
37,0.4767189662103688,COMPLETE,2025-10-01 14:58:19.902972,2025-10-01 14:58:42.625284,0 days 00:00:22.722312,elu,False,64,True,4.0,,decreasing,1,1.0,linear,,3.0,0.1,False,True,True,,,128.0,2,True,True,False,,,0.0001,,L2,3,RMSprop,last,True,1e-05,False,"[256, 192, 128]","[1, 4, 7]","[False, True, True]",0.1,"[True, True, False]"
38,0.32189792449454285,COMPLETE,2025-10-01 14:58:42.628285,2025-10-01 14:58:59.018028,0 days 00:00:16.389743,elu,True,128,True,3.0,,decreasing,1,1.0,linear,,3.0,0.1,False,True,,,,128.0,3,True,True,,,,0.0001,,minmax,2,RMSprop,max,False,1e-05,False,"[192, 128]","[1, 4]","[False, True]",0.1,"[True, True]"
39,0.178030303030303,PRUNED,2025-10-01 14:58:59.019060,2025-10-01 14:59:17.469490,0 days 00:00:18.450430,elu,False,16,True,5.0,,decreasing,1,1.0,linear,,3.0,0.05,False,True,True,,,128.0,9,True,True,False,,,0.0001,,L2,3,RMSprop,mean,True,1e-05,True,"[384, 256, 192]","[1, 4, 7]","[False, True, True]",0.05,"[True, True, False]"
40,0.3629327649176608,COMPLETE,2025-10-01 14:59:17.470503,2025-10-01 14:59:42.225566,0 days 00:00:24.755063,elu,True,64,True,3.0,,decreasing,1,2.0,linear,,2.0,0.1,False,,,,,128.0,7,False,,,,,0.0001,,minmax,1,RMSprop,last,False,1e-05,False,[192],[2],[False],0.1,[False]
41,0.178030303030303,PRUNED,2025-10-01 14:59:42.228567,2025-10-01 14:59:54.931080,0 days 00:00:12.702513,silu,False,64,True,5.0,,decreasing,1,1.0,linear,,3.0,0.15000000000000002,False,True,True,False,,128.0,2,True,True,False,True,,0.0001,,L2,4,RMSprop,last,True,2e-06,False,"[384, 256, 192, 128]","[1, 4, 7, 10]","[False, True, True, False]",0.15000000000000002,"[True, True, False, True]"
42,0.4713641555256671,COMPLETE,2025-10-01 14:59:54.932081,2025-10-01 15:01:02.225032,0 days 00:01:07.292951,elu,False,64,True,7.0,,decreasing,1,2.0,linear,,2.0,0.05,False,True,True,False,True,,2,True,True,False,True,False,0.0001,0.9,L2,5,SGD,last,True,1e-05,False,"[640, 512, 384, 256, 192]","[2, 4, 6, 8, 10]","[False, True, True, False, True]",0.05,"[True, True, False, True, False]"
43,0.486794244082136,COMPLETE,2025-10-01 15:01:02.228169,2025-10-01 15:01:36.116701,0 days 00:00:33.888532,gelu,False,64,False,2.0,,increasing,2,,pow2,1.0,,0.3,True,True,True,,,256.0,2,True,True,False,,,0.0005,,L2,3,AdamW,last,True,5e-07,False,"[128, 192, 256]","[1, 2, 4]","[True, True, True]",0.3,"[True, True, False]"
44,0.27785416809428004,COMPLETE,2025-10-01 15:01:36.119710,2025-10-01 15:02:11.245072,0 days 00:00:35.125362,mish,False,64,True,2.0,,increasing,3,1.0,linear,,1.0,0.1,False,True,True,,,256.0,2,True,True,False,,,1e-05,,L2,3,AdamW,last,True,5e-07,False,"[128, 192, 256]","[1, 2, 3]","[False, True, True]",0.1,"[True, True, False]"
45,0.425654144360746,COMPLETE,2025-10-01 15:02:11.248097,2025-10-01 15:02:30.057025,0 days 00:00:18.808928,tanh,False,96,False,1.0,,increasing,2,,pow2,2.0,,0.15000000000000002,True,True,,,,256.0,3,True,True,,,,0.002,,L2,2,AdamW,last,True,5e-07,True,"[96, 128]","[2, 4]","[True, True]",0.15000000000000002,"[True, True]"
46,0.21875,PRUNED,2025-10-01 15:02:30.059432,2025-10-01 15:02:47.136022,0 days 00:00:17.076590,silu,False,16,False,2.0,,increasing,1,3.0,linear,,3.0,0.1,True,True,False,,,256.0,2,False,True,False,,,0.0001,,L2,3,AdamW,attention,False,5e-07,False,"[128, 192, 256]","[3, 6, 9]","[True, True, False]",0.1,"[False, True, False]"
47,0.21759048895761182,COMPLETE,2025-10-01 15:02:47.137028,2025-10-01 15:03:36.815926,0 days 00:00:49.678898,gelu,True,64,False,4.0,,increasing,2,,pow2,1.0,,0.0,True,True,,,,256.0,9,True,True,,,,0.001,,minmax,2,AdamW,last,True,0.0,True,"[256, 384]","[1, 2]","[True, True]",0.0,"[True, True]"
48,0.47546001455215364,COMPLETE,2025-10-01 15:03:36.817929,2025-10-01 15:04:17.364714,0 days 00:00:40.546785,relu,False,64,True,1.0,,increasing,3,2.0,linear,,2.0,0.05,False,True,True,,,128.0,5,False,True,False,,,0.0001,,L2,3,AdamW,max,False,5e-07,False,"[96, 128, 192]","[2, 4, 6]","[False, True, True]",0.05,"[False, True, False]"
49,0.4564283717723658,COMPLETE,2025-10-01 15:04:17.367745,2025-10-01 15:04:46.361662,0 days 00:00:28.993917,relu,False,64,True,1.0,,increasing,2,2.0,linear,,2.0,0.05,False,True,True,,,128.0,5,True,True,False,,,0.0002,,L2,3,AdamW,max,False,5e-07,False,"[96, 128, 192]","[2, 4, 6]","[False, True, True]",0.05,"[True, True, False]"
