number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
25,0.21640488656195464,PRUNED,2025-10-01 00:58:10.806367,2025-10-01 00:59:15.133833,0 days 00:01:04.327466,gelu,False,128,True,3.0,,increasing,1,3.0,linear,,3.0,0.15000000000000002,False,False,True,True,False,,128.0,9,False,False,False,False,True,,0.0005,,minmax,5,Adam,last,False,5e-07,True,"[192, 256, 384, 512, 640]","[3, 6, 9, 12, 15]","[False, False, True, True, False]",0.15000000000000002,"[False, False, False, False, True]"
26,0.08558558558558559,PRUNED,2025-10-01 00:59:15.134854,2025-10-01 00:59:26.269109,0 days 00:00:11.134255,mish,False,96,False,5.0,,decreasing,2,2.0,linear,,2.0,0.1,True,False,False,,,,512.0,3,True,True,True,,,,1e-05,0.0,minmax,3,SGD,max,False,5e-07,False,"[384, 256, 192]","[2, 4, 6]","[True, False, False]",0.1,"[True, True, True]"
27,0.178030303030303,PRUNED,2025-10-01 00:59:26.270109,2025-10-01 00:59:40.754461,0 days 00:00:14.484352,leakyrelu,False,16,True,8.0,,decreasing,1,3.0,linear,,3.0,0.05,False,,,,,,,3,False,,,,,,0.0001,,minmax,1,RMSprop,attention,False,0.0,True,[768],[3],[False],0.05,[False]
28,0.21640488656195464,PRUNED,2025-10-01 00:59:40.755463,2025-10-01 01:01:20.948877,0 days 00:01:40.193414,elu,False,16,True,,8.0,uniform,1,3.0,linear,,3.0,0.2,False,False,False,False,,,,5,False,True,True,True,,,0.002,,minmax,4,Adam,mean,False,5e-07,True,"[768, 768, 768, 768]","[3, 6, 9, 12]","[False, False, False, False]",0.2,"[False, True, True, True]"
29,0.2838115077486349,PRUNED,2025-10-01 01:01:20.949877,2025-10-01 01:02:30.706111,0 days 00:01:09.756234,tanh,False,16,True,5.0,,increasing,1,2.0,linear,,2.0,0.0,False,False,True,,,,,5,False,False,False,,,,0.0002,,minmax,3,AdamW,last,False,2e-06,True,"[384, 512, 640]","[2, 4, 6]","[False, False, True]",0.0,"[False, False, False]"
30,0.178030303030303,PRUNED,2025-10-01 01:02:30.708111,2025-10-01 01:03:30.738273,0 days 00:01:00.030162,relu,False,16,True,6.0,,decreasing,2,3.0,linear,,3.0,0.0,False,False,,,,,128.0,7,False,True,,,,,0.0002,,minmax,2,AdamW,last,False,1e-05,True,"[512, 384]","[3, 6]","[False, False]",0.0,"[False, True]"
31,0.4206597347398993,COMPLETE,2025-10-01 01:03:30.739273,2025-10-01 01:04:15.316118,0 days 00:00:44.576845,gelu,False,16,True,4.0,,decreasing,1,3.0,linear,,3.0,0.0,False,,,,,,,5,False,,,,,,0.0002,,minmax,1,AdamW,last,False,5e-07,True,[256],[3],[False],0.0,[False]
32,0.36151053013798107,COMPLETE,2025-10-01 01:04:15.319390,2025-10-01 01:04:43.569283,0 days 00:00:28.249893,gelu,False,16,True,2.0,,decreasing,1,3.0,linear,,3.0,0.0,False,,,,,,,5,False,,,,,,0.0002,,minmax,1,AdamW,last,False,5e-07,True,[128],[3],[False],0.0,[False]
33,0.178030303030303,PRUNED,2025-10-01 01:04:43.572347,2025-10-01 01:04:51.755351,0 days 00:00:08.183004,gelu,False,16,True,3.0,,decreasing,1,3.0,linear,,3.0,0.05,False,,,,,,,2,False,,,,,,1e-05,,minmax,1,AdamW,last,False,5e-07,True,[192],[3],[False],0.05,[False]
34,0.21875,PRUNED,2025-10-01 01:04:51.757363,2025-10-01 01:05:04.647350,0 days 00:00:12.889987,gelu,True,16,True,4.0,,decreasing,1,3.0,linear,,3.0,0.0,True,False,,,,,512.0,5,False,True,,,,,0.0002,,L2,2,AdamW,last,True,1e-06,True,"[256, 192]","[3, 6]","[True, False]",0.0,"[False, True]"
35,0.21640488656195464,PRUNED,2025-10-01 01:05:04.648350,2025-10-01 01:05:13.643887,0 days 00:00:08.995537,leakyrelu,True,64,True,1.0,,decreasing,1,3.0,linear,,3.0,0.0,False,,,,,,64.0,2,False,,,,,,0.0002,,L2,1,RMSprop,max,False,5e-07,True,[96],[3],[False],0.0,[False]
36,0.178030303030303,PRUNED,2025-10-01 01:05:13.644906,2025-10-01 01:05:28.942570,0 days 00:00:15.297664,mish,False,128,False,,4.0,uniform,1,2.0,linear,,2.0,0.05,False,True,,,,,256.0,9,False,False,,,,,0.0001,0.0,minmax,2,SGD,mean,True,2e-07,False,"[256, 256]","[2, 4]","[False, True]",0.05,"[False, False]"
37,0.178030303030303,PRUNED,2025-10-01 01:05:28.944070,2025-10-01 01:05:44.009938,0 days 00:00:15.065868,tanh,False,16,True,5.0,,decreasing,1,,pow2,1.0,,0.1,True,False,False,,,,,5,True,True,True,,,,1e-05,0.9,minmax,3,SGD,last,False,1e-07,True,"[384, 256, 192]","[1, 2, 4]","[True, False, False]",0.1,"[True, True, True]"
38,0.21640488656195464,PRUNED,2025-10-01 01:05:44.012342,2025-10-01 01:06:29.669471,0 days 00:00:45.657129,silu,True,32,False,7.0,,increasing,2,3.0,linear,,3.0,0.0,False,,,,,,256.0,5,False,,,,,,0.0002,,L2,1,Adam,attention,True,1e-06,False,[640],[3],[False],0.0,[False]
39,0.21759048895761182,COMPLETE,2025-10-01 01:06:29.671471,2025-10-01 01:16:08.867546,0 days 00:09:39.196075,relu,False,64,True,,9.0,uniform,3,,pow2,1.0,,0.15000000000000002,False,True,False,False,,,64.0,7,False,False,True,True,,,0.002,,minmax,4,AdamW,last,False,0.0,True,"[896, 896, 896, 896]","[1, 2, 4, 8]","[False, True, False, False]",0.15000000000000002,"[False, False, True, True]"
40,0.178030303030303,PRUNED,2025-10-01 01:16:08.869600,2025-10-01 01:16:33.219104,0 days 00:00:24.349504,elu,True,96,False,8.0,,decreasing,1,1.0,linear,,1.0,0.1,True,False,True,True,True,True,,3,True,True,False,False,False,False,0.001,,L2,6,RMSprop,max,True,5e-07,True,"[768, 640, 512, 384, 256, 192]","[1, 2, 3, 4, 5, 6]","[True, False, True, True, True, True]",0.1,"[True, True, False, False, False, False]"
41,0.4504949564139433,COMPLETE,2025-10-01 01:16:33.220109,2025-10-01 01:17:22.607186,0 days 00:00:49.387077,gelu,False,16,True,6.0,,decreasing,1,3.0,linear,,3.0,0.05,False,,,,,,,5,False,,,,,,0.0002,,minmax,1,AdamW,last,False,5e-07,True,[512],[3],[False],0.05,[False]
42,0.178030303030303,PRUNED,2025-10-01 01:17:22.610237,2025-10-01 01:17:31.769214,0 days 00:00:09.158977,gelu,False,16,True,5.0,,decreasing,1,3.0,linear,,3.0,0.05,False,,,,,,,5,False,,,,,,0.0002,,minmax,1,AdamW,last,False,5e-07,True,[384],[3],[False],0.05,[False]
43,0.4171014120828526,COMPLETE,2025-10-01 01:17:31.771247,2025-10-01 01:18:16.245771,0 days 00:00:44.474524,gelu,False,16,True,4.0,,decreasing,1,3.0,linear,,3.0,0.05,False,False,,,,,,5,False,True,,,,,0.0005,,minmax,2,AdamW,last,False,5e-07,True,"[256, 192]","[3, 6]","[False, False]",0.05,"[False, True]"
44,0.21640488656195464,PRUNED,2025-10-01 01:18:16.249272,2025-10-01 01:18:30.966632,0 days 00:00:14.717360,gelu,False,128,True,6.0,,decreasing,1,3.0,linear,,3.0,0.0,False,,,,,,,5,False,,,,,,0.0002,,minmax,1,AdamW,mean,False,1e-07,True,[512],[3],[False],0.0,[False]
45,0.3809995467912825,COMPLETE,2025-10-01 01:18:30.968632,2025-10-01 01:19:01.791535,0 days 00:00:30.822903,silu,False,16,True,3.0,,decreasing,1,,pow2,2.0,,0.1,False,,,,,,,5,False,,,,,,0.0002,,minmax,1,AdamW,last,False,2e-07,False,[192],[2],[False],0.1,[False]
46,0.4126987057548777,COMPLETE,2025-10-01 01:19:01.794060,2025-10-01 01:19:53.795818,0 days 00:00:52.001758,gelu,False,16,True,5.0,,increasing,1,3.0,linear,,1.0,0.05,False,True,,,,,256.0,5,False,False,,,,,0.0002,,minmax,2,AdamW,last,False,5e-07,True,"[384, 512]","[3, 4]","[False, True]",0.05,"[False, False]"
47,0.2538239411088572,COMPLETE,2025-10-01 01:19:53.798818,2025-10-01 01:20:10.403716,0 days 00:00:16.604898,gelu,False,64,True,2.0,,decreasing,2,1.0,linear,,3.0,0.0,False,,,,,,512.0,7,False,,,,,,0.0002,,minmax,1,Adam,last,False,5e-07,True,[128],[1],[False],0.0,[False]
48,0.21759048895761182,COMPLETE,2025-10-01 01:20:10.406771,2025-10-01 01:21:14.950142,0 days 00:01:04.543371,leakyrelu,True,16,True,,6.0,uniform,1,,pow2,1.0,,0.25,True,False,,,,,64.0,9,True,True,,,,,0.002,0.30000000000000004,L2,2,SGD,attention,False,1e-06,True,"[512, 512]","[1, 2]","[True, False]",0.25,"[True, True]"
49,0.35933251089727775,COMPLETE,2025-10-01 01:21:14.953142,2025-10-01 01:22:11.122960,0 days 00:00:56.169818,mish,False,32,False,4.0,,decreasing,3,3.0,linear,,3.0,0.05,False,False,False,,,,128.0,3,False,True,True,,,,0.0001,,minmax,3,AdamW,last,True,1e-05,False,"[256, 192, 128]","[3, 6, 9]","[False, False, False]",0.05,"[False, True, True]"
