number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
33,0.3972178321308822,COMPLETE,2025-10-01 00:20:13.590491,2025-10-01 00:20:39.092022,0 days 00:00:25.501531,silu,False,32,True,3.0,,decreasing,2,,pow2,2.0,,0.25,False,,,,,,64.0,9,True,,,,,,0.0001,,L2,1,Adam,last,False,1e-07,True,[192],[2],[False],0.25,[True]
34,0.21164021164021163,PRUNED,2025-10-01 00:20:39.093502,2025-10-01 00:21:02.194976,0 days 00:00:23.101474,silu,False,32,True,3.0,,decreasing,2,,pow2,2.0,,0.25,False,True,,,,,64.0,7,True,False,,,,,0.0001,,L2,2,Adam,max,False,2e-06,True,"[192, 128]","[2, 4]","[False, True]",0.25,"[True, False]"
35,0.36760217581603016,COMPLETE,2025-10-01 00:21:02.196480,2025-10-01 00:21:15.897970,0 days 00:00:13.701490,silu,False,96,True,1.0,,decreasing,2,,pow2,1.0,,0.25,False,,,,,,64.0,5,True,,,,,,0.0001,,L2,1,AdamW,last,False,2e-07,True,[96],[1],[False],0.25,[True]
36,0.21761658031088082,PRUNED,2025-10-01 00:21:15.900043,2025-10-01 00:21:21.649768,0 days 00:00:05.749725,silu,True,64,True,5.0,,decreasing,2,,pow2,2.0,,0.25,False,True,,,,,128.0,2,True,False,,,,,0.0001,,minmax,2,Adam,last,True,1e-07,True,"[384, 256]","[2, 4]","[False, True]",0.25,"[True, False]"
37,0.22850088183421516,PRUNED,2025-10-01 00:21:21.650768,2025-10-01 00:21:26.699908,0 days 00:00:05.049140,relu,False,96,True,1.0,,decreasing,2,,pow2,2.0,,0.25,False,,,,,,512.0,9,True,,,,,,0.0001,,L2,1,AdamW,last,False,2e-06,True,[96],[2],[False],0.25,[True]
38,0.21875,PRUNED,2025-10-01 00:21:26.700919,2025-10-01 00:21:36.404288,0 days 00:00:09.703369,silu,False,32,True,5.0,,decreasing,1,,pow2,1.0,,0.3,False,True,,,,,64.0,3,True,False,,,,,0.002,,L2,2,Adam,max,True,5e-07,False,"[384, 256]","[1, 2]","[False, True]",0.3,"[True, False]"
39,0.21761658031088082,PRUNED,2025-10-01 00:21:36.405791,2025-10-01 00:21:49.171546,0 days 00:00:12.765755,tanh,True,32,True,7.0,,increasing,2,3.0,linear,,1.0,0.2,True,,,,,,256.0,5,False,,,,,,0.0005,,minmax,1,AdamW,last,False,2e-07,True,[640],[3],[True],0.2,[False]
40,0.178030303030303,PRUNED,2025-10-01 00:21:49.172546,2025-10-01 00:22:07.582720,0 days 00:00:18.410174,leakyrelu,False,16,True,4.0,,decreasing,2,,pow2,2.0,,0.3,False,True,True,,,,,2,True,False,False,,,,1e-05,,L2,3,Adam,attention,True,1e-07,False,"[256, 192, 128]","[2, 4, 8]","[False, True, True]",0.3,"[True, False, False]"
41,0.21875,PRUNED,2025-10-01 00:22:07.583720,2025-10-01 00:22:15.887791,0 days 00:00:08.304071,mish,False,32,True,3.0,,decreasing,2,,pow2,2.0,,0.3,False,,,,,,64.0,9,True,,,,,,0.001,,L2,1,Adam,last,False,1e-07,True,[192],[2],[False],0.3,[True]
42,0.20485036119711042,PRUNED,2025-10-01 00:22:15.888849,2025-10-01 00:22:26.522350,0 days 00:00:10.633501,silu,False,32,True,4.0,,decreasing,2,,pow2,2.0,,0.3,False,,,,,,64.0,9,True,,,,,,0.001,,L2,1,Adam,last,False,1e-07,True,[256],[2],[False],0.3,[True]
43,0.21640488656195464,PRUNED,2025-10-01 00:22:26.523350,2025-10-01 00:23:11.901337,0 days 00:00:45.377987,mish,False,32,True,6.0,,decreasing,2,,pow2,2.0,,0.25,False,,,,,,64.0,9,True,,,,,,0.0002,,L2,1,Adam,last,False,1e-07,True,[512],[2],[False],0.25,[True]
44,0.34618582131026526,COMPLETE,2025-10-01 00:23:11.902344,2025-10-01 00:23:57.847885,0 days 00:00:45.945541,relu,False,64,True,5.0,,decreasing,2,,pow2,2.0,,0.3,False,,,,,,64.0,9,True,,,,,,0.001,,L2,1,RMSprop,last,False,1e-05,True,[384],[2],[False],0.3,[True]
45,0.21761658031088082,PRUNED,2025-10-01 00:23:57.849886,2025-10-01 00:24:05.050396,0 days 00:00:07.200510,leakyrelu,False,96,True,4.0,,decreasing,2,,pow2,2.0,,0.0,True,True,,,,,128.0,9,False,False,,,,,0.0001,,L2,2,Adam,mean,False,1e-07,True,"[256, 192]","[2, 4]","[True, True]",0.0,"[False, False]"
46,0.3102187662232494,COMPLETE,2025-10-01 00:24:05.051396,2025-10-01 00:25:24.255497,0 days 00:01:19.204101,mish,True,32,True,7.0,,decreasing,2,1.0,linear,,3.0,0.3,False,,,,,,512.0,7,True,,,,,,0.001,,L2,1,AdamW,last,False,1e-05,True,[640],[1],[False],0.3,[True]
47,0.21759048895761182,COMPLETE,2025-10-01 00:25:24.257647,2025-10-01 00:32:37.376866,0 days 00:07:13.119219,leakyrelu,False,32,False,3.0,,increasing,3,,pow2,1.0,,0.3,False,True,True,False,True,True,64.0,9,True,False,False,False,False,False,0.0005,,minmax,6,Adam,max,False,1e-07,False,"[192, 256, 384, 512, 640, 768]","[1, 2, 4, 8, 16, 32]","[False, True, True, False, True, True]",0.3,"[True, False, False, False, False, False]"
48,0.21761658031088082,PRUNED,2025-10-01 00:32:37.378867,2025-10-01 00:32:45.859157,0 days 00:00:08.480290,gelu,False,16,True,6.0,,decreasing,1,,pow2,2.0,,0.2,False,False,,,,,256.0,2,False,True,,,,,1e-05,,L2,2,RMSprop,mean,False,2e-06,True,"[512, 384]","[2, 4]","[False, False]",0.2,"[False, True]"
49,0.21640488656195464,PRUNED,2025-10-01 00:32:45.861173,2025-10-01 00:35:12.407968,0 days 00:02:26.546795,silu,True,96,True,9.0,,decreasing,2,1.0,linear,,3.0,0.15000000000000002,True,True,False,True,,,64.0,5,True,False,True,False,,,0.001,,L2,4,AdamW,last,True,5e-07,True,"[896, 768, 640, 512]","[1, 4, 7, 10]","[True, True, False, True]",0.15000000000000002,"[True, False, True, False]"
