number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
30,0.41641877422498047,COMPLETE,2025-10-08 21:37:53.707519,2025-10-08 21:38:20.523603,0 days 00:00:26.816084,hardswish,64,7.0,,decreasing,1,,pow2,1.0,,0.1,True,True,False,False,,,256.0,2,False,False,True,False,,,0.0001,,L2,4,RMSprop,max,False,2e-06,True,"[640, 512, 384, 256]","[1, 2, 4, 8]","[True, True, False, False]",0.1,"[False, False, True, False]"
31,0.41986985861084375,COMPLETE,2025-10-08 21:38:20.525629,2025-10-08 21:39:51.862977,0 days 00:01:31.337348,prelu,16,,8.0,uniform,2,,pow2,1.0,,0.2,True,False,False,True,,,64.0,3,False,True,True,False,,,0.0001,,L2,4,RMSprop,max,False,1e-07,True,"[768, 768, 768, 768]","[1, 2, 4, 8]","[True, False, False, True]",0.2,"[False, True, True, False]"
32,0.17702448210922786,PRUNED,2025-10-08 21:39:51.864980,2025-10-08 21:40:08.253827,0 days 00:00:16.388847,prelu,16,,8.0,uniform,2,,pow2,1.0,,0.2,True,False,False,True,,,64.0,3,False,True,True,False,,,0.0001,,L2,4,RMSprop,max,False,1e-07,True,"[768, 768, 768, 768]","[1, 2, 4, 8]","[True, False, False, True]",0.2,"[False, True, True, False]"
33,0.3132248693183219,COMPLETE,2025-10-08 21:40:08.253827,2025-10-08 21:41:01.818074,0 days 00:00:53.564247,elu,96,,6.0,uniform,2,,pow2,1.0,,0.3,True,False,False,,,,64.0,5,False,True,True,,,,0.0001,,L2,3,RMSprop,max,False,1e-07,True,"[512, 512, 512]","[1, 2, 4]","[True, False, False]",0.3,"[False, True, True]"
34,0.21759048895761182,COMPLETE,2025-10-08 21:41:01.821085,2025-10-08 21:42:39.174617,0 days 00:01:37.353532,prelu,16,,8.0,uniform,2,,pow2,1.0,,0.2,True,False,False,True,False,,64.0,3,False,True,True,False,True,,0.0005,,L2,5,Adam,mean,False,2e-07,False,"[768, 768, 768, 768, 768]","[1, 2, 4, 8, 16]","[True, False, False, True, False]",0.2,"[False, True, True, False, True]"
35,0.2103386809269162,PRUNED,2025-10-08 21:42:39.177345,2025-10-08 21:42:46.984402,0 days 00:00:07.807057,mish,96,0.0,,increasing,1,,pow2,1.0,,0.3,True,False,False,,,,64.0,9,False,True,True,,,,0.0001,,L2,3,AdamW,max,False,1e-07,True,"[64, 96, 128]","[1, 2, 4]","[True, False, False]",0.3,"[False, True, True]"
36,0.21640488656195464,PRUNED,2025-10-08 21:42:46.984402,2025-10-08 21:43:17.661921,0 days 00:00:30.677519,prelu,32,,6.0,uniform,2,,pow2,2.0,,0.2,True,False,True,True,,,512.0,3,True,True,False,False,,,0.002,,minmax,4,RMSprop,last,True,1e-06,True,"[512, 512, 512, 512]","[2, 4, 8, 16]","[True, False, True, True]",0.2,"[True, True, False, False]"
37,0.178030303030303,PRUNED,2025-10-08 21:43:17.668819,2025-10-08 21:44:08.332021,0 days 00:00:50.663202,silu,16,,9.0,uniform,2,1.0,linear,,3.0,0.2,False,True,False,True,,,64.0,5,False,True,True,False,,,0.0005,,L2,4,Adam,mean,False,1e-07,False,"[896, 896, 896, 896]","[1, 4, 7, 10]","[False, True, False, True]",0.2,"[False, True, True, False]"
38,0.21291448516579406,PRUNED,2025-10-08 21:44:08.333028,2025-10-08 21:44:16.235573,0 days 00:00:07.902545,elu,128,3.0,,increasing,2,2.0,linear,,2.0,0.1,True,False,True,False,,,512.0,7,True,True,False,True,,,1e-05,,L2,4,AdamW,max,False,5e-07,True,"[192, 256, 384, 512]","[2, 4, 6, 8]","[True, False, True, False]",0.1,"[True, True, False, True]"
39,0.21759048895761182,COMPLETE,2025-10-08 21:44:16.236576,2025-10-08 21:44:51.671590,0 days 00:00:35.435014,prelu,16,,4.0,uniform,1,,pow2,1.0,,0.3,True,False,False,True,True,False,,3,False,False,True,False,False,True,0.0001,,minmax,6,RMSprop,attention,False,0.0,True,"[256, 256, 256, 256, 256, 256]","[1, 2, 4, 8, 16, 32]","[True, False, False, True, True, False]",0.3,"[False, False, True, False, False, True]"
40,0.4530734455152346,COMPLETE,2025-10-08 21:44:51.673596,2025-10-08 21:46:31.619248,0 days 00:01:39.945652,gelu,32,8.0,,decreasing,2,1.0,linear,,3.0,0.0,False,True,True,True,False,,128.0,3,False,True,False,False,True,,0.002,0.9,L2,5,SGD,mean,False,2e-07,False,"[768, 640, 512, 384, 256]","[1, 4, 7, 10, 13]","[False, True, True, True, False]",0.0,"[False, True, False, False, True]"
41,0.17702448210922786,PRUNED,2025-10-08 21:46:31.621515,2025-10-08 21:46:57.199146,0 days 00:00:25.577631,gelu,32,8.0,,decreasing,2,1.0,linear,,3.0,0.0,False,True,True,True,False,,128.0,3,False,True,False,False,True,,0.002,0.9,L2,5,SGD,mean,False,2e-07,False,"[768, 640, 512, 384, 256]","[1, 4, 7, 10, 13]","[False, True, True, True, False]",0.0,"[False, True, False, False, True]"
42,0.26403364351412045,COMPLETE,2025-10-08 21:46:57.199487,2025-10-08 21:48:11.763193,0 days 00:01:14.563706,gelu,32,8.0,,decreasing,2,1.0,linear,,3.0,0.0,False,True,True,True,False,,128.0,3,False,True,False,False,True,,0.002,0.6000000000000001,L2,5,SGD,mean,False,2e-07,False,"[768, 640, 512, 384, 256]","[1, 4, 7, 10, 13]","[False, True, True, True, False]",0.0,"[False, True, False, False, True]"
43,0.21761658031088082,PRUNED,2025-10-08 21:48:11.765244,2025-10-08 21:48:39.042712,0 days 00:00:27.277468,gelu,32,8.0,,decreasing,2,1.0,linear,,2.0,0.0,False,True,True,True,False,False,128.0,3,False,True,False,False,True,True,0.002,0.4,L2,6,SGD,mean,False,2e-07,False,"[768, 640, 512, 384, 256, 192]","[1, 3, 5, 7, 9, 11]","[False, True, True, True, False, False]",0.0,"[False, True, False, False, True, True]"
44,0.21640488656195464,PRUNED,2025-10-08 21:48:39.043714,2025-10-08 21:49:00.204334,0 days 00:00:21.160620,leakyrelu,32,6.0,,decreasing,2,2.0,linear,,3.0,0.0,False,True,True,True,,,128.0,3,False,True,False,False,,,0.0002,0.8,L2,4,SGD,mean,False,5e-07,False,"[512, 384, 256, 192]","[2, 5, 8, 11]","[False, True, True, True]",0.0,"[False, True, False, False]"
45,0.3873861781365075,COMPLETE,2025-10-08 21:49:00.205337,2025-10-08 21:49:59.488188,0 days 00:00:59.282851,gelu,16,,7.0,uniform,2,1.0,linear,,3.0,0.0,False,True,True,,,,256.0,2,True,False,True,,,,0.002,0.2,L2,3,SGD,last,True,1e-06,False,"[640, 640, 640]","[1, 4, 7]","[False, True, True]",0.0,"[True, False, True]"
46,0.21759048895761182,COMPLETE,2025-10-08 21:49:59.491267,2025-10-08 21:50:57.472612,0 days 00:00:57.981345,hardswish,64,2.0,,increasing,3,,pow2,1.0,,0.1,False,True,True,False,False,,512.0,7,False,True,True,True,True,,0.001,,L2,5,AdamW,mean,False,0.0,True,"[128, 192, 256, 384, 512]","[1, 2, 4, 8, 16]","[False, True, True, False, False]",0.1,"[False, True, True, True, True]"
47,0.178030303030303,PRUNED,2025-10-08 21:50:57.474621,2025-10-08 21:51:50.704887,0 days 00:00:53.230266,relu,16,6.0,,decreasing,2,2.0,linear,,2.0,0.2,False,False,True,True,,,128.0,9,True,True,False,False,,,0.0001,,minmax,4,RMSprop,last,False,2e-07,False,"[512, 384, 256, 192]","[2, 4, 6, 8]","[False, False, True, True]",0.2,"[True, True, False, False]"
48,0.08558558558558559,PRUNED,2025-10-08 21:51:50.711886,2025-10-08 21:51:59.518612,0 days 00:00:08.806726,leakyrelu,32,,8.0,uniform,1,,pow2,2.0,,0.1,True,True,,,,,64.0,3,False,False,,,,,0.0001,0.5,L2,2,SGD,max,False,1e-07,True,"[768, 768]","[2, 4]","[True, True]",0.1,"[False, False]"
49,0.463092534718859,COMPLETE,2025-10-08 21:51:59.519794,2025-10-08 21:52:19.529611,0 days 00:00:20.009817,mish,96,,0.0,uniform,2,1.0,linear,,3.0,0.2,False,False,False,False,False,False,256.0,3,False,True,True,True,True,False,0.0005,,L2,6,Adam,attention,True,1e-05,True,"[64, 64, 64, 64, 64, 64]","[1, 4, 7, 10, 13, 16]","[False, False, False, False, False, False]",0.2,"[False, True, True, True, True, False]"
