number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
25,0.21875,PRUNED,2025-10-01 11:04:39.042555,2025-10-01 11:04:44.743083,0 days 00:00:05.700528,gelu,False,96,False,2.0,,increasing,3,2.0,linear,,2.0,0.2,True,True,True,,,128.0,9,False,False,False,,,0.0005,,minmax,3,Adam,last,True,0.0,True,"[128, 192, 256]","[2, 4, 6]","[True, True, True]",0.2,"[False, False, False]"
26,0.178030303030303,PRUNED,2025-10-01 11:04:44.758911,2025-10-01 11:04:48.551384,0 days 00:00:03.792473,gelu,False,96,True,3.0,,increasing,3,,pow2,1.0,,0.25,False,,,,,256.0,9,False,,,,,0.0005,,L2,1,Adam,mean,False,1e-05,False,[192],[1],[False],0.25,[False]
27,0.21875,PRUNED,2025-10-01 11:04:48.551384,2025-10-01 11:05:02.534616,0 days 00:00:13.983232,relu,False,96,False,3.0,,increasing,3,2.0,linear,,3.0,0.2,True,True,False,False,,64.0,9,False,False,True,False,,0.0005,,minmax,4,Adam,attention,True,0.0,True,"[192, 256, 384, 512]","[2, 5, 8, 11]","[True, True, False, False]",0.2,"[False, False, True, False]"
28,0.4657916955523313,COMPLETE,2025-10-01 11:05:02.534616,2025-10-01 11:05:49.610559,0 days 00:00:47.075943,mish,False,32,True,3.0,,increasing,3,2.0,linear,,2.0,0.3,True,True,,,,,9,False,False,,,,0.0005,,L2,2,Adam,max,True,0.0,True,"[192, 256]","[2, 4]","[True, True]",0.3,"[False, False]"
29,0.372510858023205,COMPLETE,2025-10-01 11:05:49.610559,2025-10-01 11:06:26.051103,0 days 00:00:36.440544,mish,False,32,True,2.0,,increasing,3,,pow2,1.0,,0.3,True,True,True,,,,9,False,False,False,,,0.0002,,L2,3,Adam,max,False,0.0,True,"[128, 192, 256]","[1, 2, 4]","[True, True, True]",0.3,"[False, False, False]"
30,0.21875,PRUNED,2025-10-01 11:06:26.051103,2025-10-01 11:06:33.242420,0 days 00:00:07.191317,elu,False,32,True,0.0,,increasing,3,2.0,linear,,2.0,0.3,True,True,,,,,9,False,False,,,,0.0005,,L2,2,AdamW,max,True,2e-07,True,"[64, 96]","[2, 4]","[True, True]",0.3,"[False, False]"
31,0.4494698916244855,COMPLETE,2025-10-01 11:06:33.242420,2025-10-01 11:07:11.155247,0 days 00:00:37.912827,mish,False,32,True,3.0,,increasing,3,2.0,linear,,2.0,0.25,True,True,,,,,9,False,False,,,,0.0005,,L2,2,Adam,max,True,0.0,True,"[192, 256]","[2, 4]","[True, True]",0.25,"[False, False]"
32,0.21875,PRUNED,2025-10-01 11:07:11.157252,2025-10-01 11:07:17.494877,0 days 00:00:06.337625,mish,False,32,True,4.0,,increasing,3,2.0,linear,,2.0,0.3,True,,,,,,9,False,,,,,0.0005,,L2,1,Adam,max,True,0.0,True,[256],[2],[True],0.3,[False]
33,0.4587337371726217,COMPLETE,2025-10-01 11:07:17.494877,2025-10-01 11:07:55.549651,0 days 00:00:38.054774,tanh,False,32,True,6.0,,increasing,3,2.0,linear,,2.0,0.25,True,,,,,,9,False,,,,,0.0005,,L2,1,Adam,max,True,0.0,True,[512],[2],[True],0.25,[False]
34,0.178030303030303,PRUNED,2025-10-01 11:07:55.552800,2025-10-01 11:08:03.727426,0 days 00:00:08.174626,leakyrelu,False,128,True,2.0,,increasing,3,2.0,linear,,3.0,0.15000000000000002,True,True,,,,64.0,9,False,False,,,,0.0005,,L2,2,Adam,last,True,0.0,True,"[128, 192]","[2, 5]","[True, True]",0.15000000000000002,"[False, False]"
35,0.178030303030303,PRUNED,2025-10-01 11:08:03.727426,2025-10-01 11:08:17.150136,0 days 00:00:13.422710,gelu,False,96,False,3.0,,increasing,3,2.0,linear,,1.0,0.3,False,True,True,,,128.0,9,False,False,False,,,0.0005,0.9,minmax,3,SGD,last,True,1e-06,True,"[192, 256, 384]","[2, 3, 4]","[False, True, True]",0.3,"[False, False, False]"
36,0.45292939437497015,COMPLETE,2025-10-01 11:08:17.150136,2025-10-01 11:08:37.736188,0 days 00:00:20.586052,silu,False,96,False,4.0,,increasing,3,2.0,linear,,2.0,0.25,True,True,,,,,9,False,False,,,,0.0005,,L2,2,Adam,attention,True,1e-07,False,"[256, 384]","[2, 4]","[True, True]",0.25,"[False, False]"
37,0.2966912770030079,PRUNED,2025-10-01 11:08:37.738194,2025-10-01 11:08:52.399211,0 days 00:00:14.661017,elu,False,32,True,5.0,,increasing,3,2.0,linear,,3.0,0.2,False,True,,,,,7,False,False,,,,0.0002,,minmax,2,Adam,max,False,5e-07,True,"[384, 512]","[2, 5]","[False, True]",0.2,"[False, False]"
38,0.08558558558558559,PRUNED,2025-10-01 11:08:52.399211,2025-10-01 11:08:56.964204,0 days 00:00:04.564993,gelu,False,64,True,6.0,,increasing,3,2.0,linear,,3.0,0.3,True,,,,,64.0,2,False,,,,,1e-05,0.5,L2,1,SGD,mean,True,1e-05,True,[512],[2],[True],0.3,[False]
39,0.21759048895761182,COMPLETE,2025-10-01 11:08:56.965494,2025-10-01 11:09:07.665982,0 days 00:00:10.700488,mish,False,128,False,3.0,,decreasing,3,,pow2,2.0,,0.2,True,True,,,,256.0,9,False,False,,,,0.001,,minmax,2,AdamW,last,True,0.0,False,"[192, 128]","[2, 4]","[True, True]",0.2,"[False, False]"
40,0.48297629063991093,COMPLETE,2025-10-01 11:09:07.665982,2025-10-01 11:09:39.206605,0 days 00:00:31.540623,leakyrelu,False,32,True,2.0,,increasing,2,2.0,linear,,2.0,0.3,False,True,False,,,512.0,5,False,False,True,,,0.0005,,L2,3,Adam,last,True,2e-07,True,"[128, 192, 256]","[2, 4, 6]","[False, True, False]",0.3,"[False, False, True]"
41,0.464470168456297,COMPLETE,2025-10-01 11:09:39.206605,2025-10-01 11:10:12.160941,0 days 00:00:32.954336,leakyrelu,False,32,True,2.0,,increasing,2,2.0,linear,,2.0,0.3,False,True,False,,,512.0,5,False,False,True,,,0.0005,,L2,3,Adam,last,True,2e-07,True,"[128, 192, 256]","[2, 4, 6]","[False, True, False]",0.3,"[False, False, True]"
42,0.178030303030303,PRUNED,2025-10-01 11:10:12.160941,2025-10-01 11:10:24.163731,0 days 00:00:12.002790,leakyrelu,False,32,True,1.0,,increasing,1,2.0,linear,,2.0,0.3,False,True,False,,,512.0,5,False,False,True,,,0.0005,,L2,3,Adam,last,True,2e-07,True,"[96, 128, 192]","[2, 4, 6]","[False, True, False]",0.3,"[False, False, True]"
43,0.42407633564113617,COMPLETE,2025-10-01 11:10:24.164857,2025-10-01 11:11:12.106634,0 days 00:00:47.941777,leakyrelu,False,32,True,2.0,,increasing,2,2.0,linear,,2.0,0.25,False,True,False,True,,512.0,5,False,False,True,True,,0.0005,,L2,4,Adam,last,True,2e-07,True,"[128, 192, 256, 384]","[2, 4, 6, 8]","[False, True, False, True]",0.25,"[False, False, True, True]"
44,0.21875,PRUNED,2025-10-01 11:11:12.113620,2025-10-01 11:11:34.621753,0 days 00:00:22.508133,silu,False,32,True,3.0,,increasing,3,2.0,linear,,1.0,0.3,False,True,False,False,True,512.0,5,False,False,True,False,True,0.0005,,L2,5,Adam,last,True,1e-07,True,"[192, 256, 384, 512, 640]","[2, 3, 4, 5, 6]","[False, True, False, False, True]",0.3,"[False, False, True, False, True]"
45,0.21759048895761182,COMPLETE,2025-10-01 11:11:34.621753,2025-10-01 11:11:43.738329,0 days 00:00:09.116576,leakyrelu,True,128,True,1.0,,increasing,1,2.0,linear,,2.0,0.25,False,True,False,,,128.0,9,False,False,True,,,0.001,,L2,3,Adam,mean,True,0.0,True,"[96, 128, 192]","[2, 4, 6]","[False, True, False]",0.25,"[False, False, True]"
46,0.21759048895761182,COMPLETE,2025-10-01 11:11:43.740347,2025-10-01 11:11:54.406529,0 days 00:00:10.666182,gelu,False,64,False,4.0,,decreasing,2,2.0,linear,,2.0,0.3,True,True,,,,512.0,2,False,False,,,,0.0002,0.9,L2,2,SGD,last,False,2e-07,True,"[256, 192]","[2, 4]","[True, True]",0.3,"[False, False]"
47,0.21875,PRUNED,2025-10-01 11:11:54.407534,2025-10-01 11:12:03.636486,0 days 00:00:09.228952,gelu,False,16,True,0.0,,increasing,3,,pow2,1.0,,0.25,True,,,,,,5,False,,,,,0.0005,,minmax,1,Adam,attention,True,1e-05,True,[64],[1],[True],0.25,[False]
48,0.39368015731545536,COMPLETE,2025-10-01 11:12:03.636486,2025-10-01 11:12:26.126006,0 days 00:00:22.489520,tanh,True,96,True,2.0,,increasing,2,2.0,linear,,1.0,0.15000000000000002,False,False,True,False,,64.0,3,True,True,True,False,,1e-05,,L2,4,Adam,last,True,2e-06,False,"[128, 192, 256, 384]","[2, 3, 4, 5]","[False, False, True, False]",0.15000000000000002,"[True, True, True, False]"
49,0.46718583010163184,COMPLETE,2025-10-01 11:12:26.126006,2025-10-01 11:13:37.440723,0 days 00:01:11.314717,relu,False,16,False,9.0,,decreasing,1,1.0,linear,,3.0,0.3,True,True,,,,,7,False,False,,,,0.0005,,minmax,2,AdamW,last,True,0.0,True,"[896, 768]","[1, 4]","[True, True]",0.3,"[False, False]"
