number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
10,0.1761006289308176,PRUNED,2025-11-24 12:06:59.928024,2025-11-24 12:07:40.840583,0 days 00:00:40.912559,"[192, 256, 384, 512]",silu,32,128,0.2,5e-05,,L2,prenorm,8,4,AdamW,cls,learned,0.0
11,0.1761006289308176,PRUNED,2025-11-24 12:07:40.842313,2025-11-24 12:07:48.746168,0 days 00:00:07.903855,[384],hardswish,128,384,0.3,1e-05,,L2,postnorm,4,1,AdamW,max,learned,1e-06
12,0.20140685698196914,COMPLETE,2025-11-24 12:07:48.746680,2025-11-24 12:08:20.155534,0 days 00:00:31.408854,"[384, 256, 192]",silu,128,256,0.3,0.0002,,minmax,postnorm,8,3,AdamW,max,sinusoidal,0.0
13,0.30001262181776356,COMPLETE,2025-11-24 12:08:20.157536,2025-11-24 12:08:52.133456,0 days 00:00:31.975920,[768],elu,128,768,0.4,5e-05,,L2,postnorm,4,1,AdamW,max,learned,1e-06
14,0.18238993710691823,PRUNED,2025-11-24 12:08:52.135460,2025-11-24 12:10:27.519255,0 days 00:01:35.383795,"[768, 640, 512]",elu,16,768,0.4,5e-05,,L2,postnorm,16,3,AdamW,max,learned,1e-06
15,0.21637426900584797,PRUNED,2025-11-24 12:10:27.520254,2025-11-24 12:10:42.982735,0 days 00:00:15.462481,[768],elu,96,768,0.4,5e-05,,L2,postnorm,4,1,AdamW,mean,learned,1e-07
16,0.1761006289308176,PRUNED,2025-11-24 12:10:42.983735,2025-11-24 12:10:50.909509,0 days 00:00:07.925774,"[512, 640]",elu,128,128,0.1,5e-05,,L2,postnorm,8,2,AdamW,max,learned,0.0
17,0.08888888888888889,PRUNED,2025-11-24 12:10:50.910510,2025-11-24 12:11:03.090513,0 days 00:00:12.180003,[768],silu,48,768,0.2,5e-05,0.8,L2,postnorm,2,1,SGD,mean,learned,0.0
18,0.21839080459770113,PRUNED,2025-11-24 12:11:03.091513,2025-11-24 12:11:17.096536,0 days 00:00:14.005023,"[640, 512]",relu,128,128,0.4,0.0002,,L2,prenorm,4,2,Adam,max,learned,1e-06
19,0.08333333333333333,PRUNED,2025-11-24 12:11:17.097537,2025-11-24 12:11:53.772517,0 days 00:00:36.674980,"[256, 384, 512]",mish,48,768,0.2,0.0005,,L2,postnorm,16,3,AdamW,cls,learned,1e-07
20,0.10651340996168583,PRUNED,2025-11-24 12:11:53.774616,2025-11-24 12:12:18.769906,0 days 00:00:24.995290,[512],prelu,32,512,0.4,0.001,,L2,postnorm,16,1,AdamW,max,learned,0.0
21,0.25409849135000023,COMPLETE,2025-11-24 12:12:18.769906,2025-11-24 12:12:39.216443,0 days 00:00:20.446537,[512],hardswish,128,384,0.3,1e-05,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-06
22,0.2666883690512665,COMPLETE,2025-11-24 12:12:39.218443,2025-11-24 12:13:01.295662,0 days 00:00:22.077219,[512],hardswish,128,384,0.3,1e-05,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-06
23,0.338451882737782,COMPLETE,2025-11-24 12:13:01.297388,2025-11-24 12:13:37.467295,0 days 00:00:36.169907,"[640, 512]",hardswish,128,256,0.1,5e-05,,minmax,postnorm,4,2,AdamW,max,sinusoidal,1e-06
24,0.08888888888888889,PRUNED,2025-11-24 12:13:37.468138,2025-11-24 12:13:50.247320,0 days 00:00:12.779182,"[640, 512]",elu,128,256,0.1,5e-05,,L2,postnorm,4,2,AdamW,max,learned,1e-06
25,0.4236902837119646,COMPLETE,2025-11-24 12:13:50.247320,2025-11-24 12:17:44.934955,0 days 00:03:54.687635,"[768, 640]",silu,16,256,0.1,5e-05,,L2,postnorm,4,2,AdamW,mean,learned,1e-06
26,0.40347890367699446,COMPLETE,2025-11-24 12:17:44.939400,2025-11-24 12:20:35.215753,0 days 00:02:50.276353,"[640, 512]",silu,16,256,0.1,5e-05,,minmax,prenorm,8,2,Adam,mean,sinusoidal,1e-06
27,0.23489153668779644,COMPLETE,2025-11-24 12:20:35.217757,2025-11-24 12:23:22.147416,0 days 00:02:46.929659,"[768, 640, 512]",silu,16,256,0.1,5e-05,,L2,prenorm,8,3,Adam,mean,learned,0.0
28,0.21758419036095988,COMPLETE,2025-11-24 12:23:22.149415,2025-11-24 12:25:10.283636,0 days 00:01:48.134221,"[96, 128]",silu,16,256,0.1,5e-05,,minmax,prenorm,8,2,Adam,mean,sinusoidal,1e-07
29,0.21758419036095988,COMPLETE,2025-11-24 12:25:10.286354,2025-11-24 12:27:28.779420,0 days 00:02:18.493066,"[64, 64, 64]",silu,16,256,0.1,5e-05,,minmax,prenorm,8,3,Adam,mean,sinusoidal,1e-06
30,0.21637426900584797,PRUNED,2025-11-24 12:27:28.781923,2025-11-24 12:28:38.084581,0 days 00:01:09.302658,"[256, 192]",silu,16,256,0.1,2e-05,,L2,prenorm,8,2,Adam,mean,learned,1e-06
31,0.1761006289308176,PRUNED,2025-11-24 12:28:38.085605,2025-11-24 12:29:46.980136,0 days 00:01:08.894531,"[640, 512]",hardswish,16,256,0.1,5e-05,,minmax,postnorm,4,2,AdamW,mean,sinusoidal,1e-06
32,0.21758419036095988,COMPLETE,2025-11-24 12:29:46.981638,2025-11-24 12:31:34.722043,0 days 00:01:47.740405,"[640, 512]",silu,16,256,0.1,5e-05,0.7,minmax,prenorm,2,2,SGD,mean,sinusoidal,1e-06
33,0.1761006289308176,PRUNED,2025-11-24 12:31:34.724044,2025-11-24 12:31:45.289190,0 days 00:00:10.565146,"[512, 384]",prelu,48,256,0.1,0.0005,,minmax,postnorm,16,2,RMSprop,mean,sinusoidal,1e-06
34,0.08333333333333333,PRUNED,2025-11-24 12:31:45.289190,2025-11-24 12:32:14.499126,0 days 00:00:29.209936,"[768, 640]",silu,64,256,0.2,0.001,,minmax,postnorm,16,2,Adam,mean,sinusoidal,1e-06
35,0.21758419036095988,COMPLETE,2025-11-24 12:32:14.500629,2025-11-24 12:32:49.877824,0 days 00:00:35.377195,"[640, 512]",mish,96,128,0.1,5e-05,,minmax,postnorm,4,2,AdamW,cls,sinusoidal,0.0
36,0.21758419036095988,COMPLETE,2025-11-24 12:32:49.880841,2025-11-24 12:34:42.204814,0 days 00:01:52.323973,"[768, 768]",hardswish,16,128,0.2,0.0002,0.9,minmax,prenorm,16,2,SGD,mean,learned,1e-06
37,0.1761006289308176,PRUNED,2025-11-24 12:34:42.207317,2025-11-24 12:34:56.683885,0 days 00:00:14.476568,"[768, 640, 512]",gelu,48,256,0.1,0.0001,,minmax,postnorm,8,3,Adam,mean,sinusoidal,1e-05
38,0.24486295248338869,COMPLETE,2025-11-24 12:34:56.684885,2025-11-24 12:35:43.604628,0 days 00:00:46.919743,"[640, 512]",silu,64,512,0.1,5e-05,,minmax,prenorm,4,2,AdamW,mean,learned,1e-07
39,0.08888888888888889,PRUNED,2025-11-24 12:35:43.607626,2025-11-24 12:36:04.536549,0 days 00:00:20.928923,"[512, 512]",leakyrelu,16,256,0.0,0.0005,,minmax,postnorm,2,2,RMSprop,cls,sinusoidal,1e-06
40,0.1761006289308176,PRUNED,2025-11-24 12:36:04.537549,2025-11-24 12:36:38.397357,0 days 00:00:33.859808,"[384, 512, 640]",relu,32,128,0.2,2e-05,0.8,L2,prenorm,16,3,SGD,mean,sinusoidal,1e-05
41,0.3044578080344904,COMPLETE,2025-11-24 12:36:38.397357,2025-11-24 12:37:12.563024,0 days 00:00:34.165667,[768],elu,128,768,0.4,5e-05,,L2,postnorm,4,1,AdamW,max,learned,1e-06
42,0.18238993710691823,PRUNED,2025-11-24 12:37:12.566025,2025-11-24 12:37:29.142099,0 days 00:00:16.576074,[640],silu,128,768,0.4,5e-05,,L2,postnorm,4,1,AdamW,max,learned,1e-06
43,0.3567917989807076,COMPLETE,2025-11-24 12:37:29.143100,2025-11-24 12:38:34.892627,0 days 00:01:05.749527,"[768, 640]",gelu,48,512,0.1,5e-05,,L2,postnorm,4,2,AdamW,max,learned,1e-06
44,0.33897528757969664,COMPLETE,2025-11-24 12:38:34.895627,2025-11-24 12:39:57.607794,0 days 00:01:22.712167,"[640, 512]",gelu,48,512,0.1,5e-05,,L2,postnorm,4,2,AdamW,mean,learned,1e-06
45,0.1761006289308176,PRUNED,2025-11-24 12:39:57.611300,2025-11-24 12:40:11.944032,0 days 00:00:14.332732,"[768, 640]",gelu,48,512,0.1,0.0001,,L2,postnorm,4,2,AdamW,mean,learned,0.0
46,0.08888888888888889,PRUNED,2025-11-24 12:40:11.945032,2025-11-24 12:40:21.634929,0 days 00:00:09.689897,"[512, 384]",gelu,48,512,0.0,0.001,,L2,postnorm,4,2,RMSprop,mean,learned,1e-06
47,0.38067408179065054,COMPLETE,2025-11-24 12:40:21.635929,2025-11-24 12:41:58.966311,0 days 00:01:37.330382,"[640, 512]",gelu,48,512,0.1,5e-05,,L2,postnorm,8,2,AdamW,mean,learned,1e-05
48,0.21758419036095988,COMPLETE,2025-11-24 12:41:58.968311,2025-11-24 12:42:44.076544,0 days 00:00:45.108233,"[128, 128]",gelu,48,512,0.1,5e-05,,L2,postnorm,8,2,AdamW,mean,learned,1e-05
49,0.1761006289308176,PRUNED,2025-11-24 12:42:44.078544,2025-11-24 12:43:01.911206,0 days 00:00:17.832662,"[768, 640, 512, 384]",gelu,48,512,0.2,5e-05,,L2,postnorm,8,4,Adam,mean,learned,1e-05
