number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
37,0.178030303030303,PRUNED,2025-11-05 14:19:41.977964,2025-11-05 14:19:57.428931,0 days 00:00:15.450967,silu,32,256,0.4,0.0005,384,,L2,postnorm,16,2,AdamW,mean,sinusoidal,1e-06
38,0.178030303030303,PRUNED,2025-11-05 14:19:57.429931,2025-11-05 14:21:09.288323,0 days 00:01:11.858392,silu,32,512,0.0,0.0005,768,,minmax,postnorm,16,4,AdamW,cls,sinusoidal,1e-05
39,0.3639105309099418,COMPLETE,2025-11-05 14:21:09.290323,2025-11-05 14:21:49.668217,0 days 00:00:40.377894,relu,96,256,0.0,0.0001,256,,minmax,prenorm,16,2,AdamW,max,sinusoidal,1e-06
40,0.34866683047362573,COMPLETE,2025-11-05 14:21:49.670217,2025-11-05 14:22:33.810573,0 days 00:00:44.140356,relu,96,256,0.0,0.0001,384,,L2,prenorm,16,3,AdamW,max,learned,1e-06
41,0.21761658031088082,PRUNED,2025-11-05 14:22:33.813078,2025-11-05 14:22:49.947217,0 days 00:00:16.134139,relu,96,256,0.0,0.0001,384,,L2,prenorm,16,3,AdamW,max,learned,1e-06
42,0.3719612809846791,COMPLETE,2025-11-05 14:22:49.948218,2025-11-05 14:23:38.273106,0 days 00:00:48.324888,relu,96,256,0.0,0.0001,384,,L2,prenorm,16,3,AdamW,max,learned,1e-06
43,0.36523347471676715,COMPLETE,2025-11-05 14:23:38.275107,2025-11-05 14:24:34.965178,0 days 00:00:56.690071,relu,96,256,0.0,0.0001,384,,L2,prenorm,16,3,AdamW,max,learned,1e-06
44,0.178030303030303,PRUNED,2025-11-05 14:24:34.967178,2025-11-05 14:25:03.968343,0 days 00:00:29.001165,relu,96,256,0.0,0.0001,384,,L2,prenorm,16,3,AdamW,max,learned,1e-06
45,0.3349885292795338,COMPLETE,2025-11-05 14:25:03.969343,2025-11-05 14:25:51.717495,0 days 00:00:47.748152,relu,96,256,0.30000000000000004,0.0001,384,,L2,prenorm,16,3,AdamW,max,learned,1e-06
46,0.21759048895761182,COMPLETE,2025-11-05 14:25:51.719496,2025-11-05 14:26:39.357035,0 days 00:00:47.637539,relu,96,256,0.0,0.0001,384,,L2,prenorm,16,4,AdamW,mean,learned,1e-06
47,0.21761658031088082,PRUNED,2025-11-05 14:26:39.359036,2025-11-05 14:26:55.486557,0 days 00:00:16.127521,mish,96,256,0.0,0.0001,384,,L2,prenorm,16,3,Adam,max,learned,1e-05
48,0.32469283970168,COMPLETE,2025-11-05 14:26:55.486557,2025-11-05 14:27:31.473646,0 days 00:00:35.987089,gelu,96,256,0.0,0.0001,384,,L2,prenorm,16,2,AdamW,max,learned,1e-06
49,0.21640488656195464,PRUNED,2025-11-05 14:27:31.476647,2025-11-05 14:28:15.694920,0 days 00:00:44.218273,relu,96,512,0.0,5e-05,768,,L2,prenorm,16,3,AdamW,cls,learned,1e-06
