number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
16,0.178030303030303,PRUNED,2025-11-05 02:46:24.657585,2025-11-05 02:47:00.047741,0 days 00:00:35.390156,hardswish,32,384,0.1,0.0002,384,,L2,prenorm,8,3,AdamW,max,sinusoidal,0.0
17,0.21759048895761182,COMPLETE,2025-11-05 02:47:00.048741,2025-11-05 02:48:04.033929,0 days 00:01:03.985188,mish,128,256,0.30000000000000004,1e-05,512,,L2,postnorm,16,4,Adam,cls,learned,1e-07
18,0.21759048895761182,COMPLETE,2025-11-05 02:48:04.035443,2025-11-05 02:49:33.753491,0 days 00:01:29.718048,relu,16,512,0.0,0.0001,768,0.0,L2,prenorm,4,3,SGD,cls,learned,1e-06
19,0.08558558558558559,PRUNED,2025-11-05 02:49:33.754994,2025-11-05 02:49:43.403989,0 days 00:00:09.648995,prelu,64,768,0.2,0.001,128,,L2,postnorm,2,2,Adam,max,sinusoidal,1e-05
20,0.21759048895761182,COMPLETE,2025-11-05 02:49:43.405491,2025-11-05 02:50:14.012129,0 days 00:00:30.606638,gelu,96,512,0.1,2e-05,256,,L2,prenorm,4,4,AdamW,max,sinusoidal,1e-06
21,0.178030303030303,PRUNED,2025-11-05 02:50:14.013130,2025-11-05 02:50:59.169021,0 days 00:00:45.155891,gelu,16,512,0.2,1e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-06
22,0.21675074260809798,COMPLETE,2025-11-05 02:50:59.170024,2025-11-05 02:52:08.307062,0 days 00:01:09.137038,gelu,16,512,0.30000000000000004,1e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-06
23,0.21759048895761182,COMPLETE,2025-11-05 02:52:08.308062,2025-11-05 02:52:50.392610,0 days 00:00:42.084548,hardswish,16,512,0.1,1e-05,512,,minmax,prenorm,2,1,RMSprop,mean,learned,1e-06
24,0.2351909765057433,COMPLETE,2025-11-05 02:52:50.395116,2025-11-05 02:53:53.221893,0 days 00:01:02.826777,gelu,16,512,0.0,2e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-06
25,0.08558558558558559,PRUNED,2025-11-05 02:53:53.222893,2025-11-05 02:54:05.029108,0 days 00:00:11.806215,silu,128,768,0.2,1e-05,384,,minmax,prenorm,2,3,AdamW,mean,learned,1e-05
26,0.21759048895761182,COMPLETE,2025-11-05 02:54:05.030108,2025-11-05 02:54:47.747791,0 days 00:00:42.717683,hardswish,32,384,0.30000000000000004,2e-05,512,,minmax,postnorm,8,2,Adam,cls,learned,0.0
27,0.178030303030303,PRUNED,2025-11-05 02:54:47.750797,2025-11-05 02:55:04.605002,0 days 00:00:16.854205,gelu,128,256,0.1,0.0001,512,0.9,L2,prenorm,16,3,SGD,max,learned,1e-07
28,0.21759048895761182,COMPLETE,2025-11-05 02:55:04.606023,2025-11-05 02:55:44.241950,0 days 00:00:39.635927,silu,16,512,0.0,0.001,384,,minmax,postnorm,2,1,RMSprop,mean,sinusoidal,1e-06
29,0.21759048895761182,COMPLETE,2025-11-05 02:55:44.243951,2025-11-05 02:56:33.923715,0 days 00:00:49.679764,prelu,96,768,0.2,0.0005,512,0.5,minmax,prenorm,4,4,SGD,cls,sinusoidal,1e-06
30,0.178030303030303,PRUNED,2025-11-05 02:56:33.926231,2025-11-05 02:57:06.493963,0 days 00:00:32.567732,leakyrelu,32,768,0.2,0.0002,128,,L2,prenorm,4,3,Adam,max,learned,1e-05
31,0.26512519078801194,COMPLETE,2025-11-05 02:57:06.495467,2025-11-05 02:58:12.111925,0 days 00:01:05.616458,gelu,16,512,0.0,2e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-06
32,0.178030303030303,PRUNED,2025-11-05 02:58:12.114453,2025-11-05 02:58:54.510897,0 days 00:00:42.396444,gelu,16,512,0.0,2e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-06
33,0.21759048895761182,COMPLETE,2025-11-05 02:58:54.510897,2025-11-05 02:59:57.358864,0 days 00:01:02.847967,gelu,16,512,0.0,2e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-06
34,0.08558558558558559,PRUNED,2025-11-05 02:59:57.360903,2025-11-05 03:00:07.290317,0 days 00:00:09.929414,mish,32,512,0.1,0.0005,512,,minmax,prenorm,2,1,RMSprop,mean,learned,1e-06
35,0.178030303030303,PRUNED,2025-11-05 03:00:07.290820,2025-11-05 03:00:28.841115,0 days 00:00:21.550295,elu,16,512,0.0,2e-05,512,0.5,minmax,prenorm,8,2,SGD,mean,learned,0.0
36,0.21759048895761182,COMPLETE,2025-11-05 03:00:28.842148,2025-11-05 03:00:54.487404,0 days 00:00:25.645256,gelu,64,384,0.1,5e-05,768,,minmax,prenorm,2,1,RMSprop,mean,learned,1e-05
37,0.17904761904761904,PRUNED,2025-11-05 03:00:54.490405,2025-11-05 03:01:07.982714,0 days 00:00:13.492309,leakyrelu,128,512,0.4,2e-05,256,,minmax,postnorm,16,3,Adam,max,sinusoidal,1e-06
