number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
37,0.178030303030303,PRUNED,2025-11-05 11:05:34.288412,2025-11-05 11:05:43.038382,0 days 00:00:08.749970,leakyrelu,32,512,0.1,0.0002,384,,minmax,prenorm,2,1,RMSprop,mean,learned,1e-05
38,0.3194176148777104,COMPLETE,2025-11-05 11:05:43.039382,2025-11-05 11:07:39.912799,0 days 00:01:56.873417,hardswish,16,768,0.1,0.0001,512,,L2,prenorm,16,3,Adam,cls,sinusoidal,1e-07
39,0.17702448210922786,PRUNED,2025-11-05 11:07:39.914882,2025-11-05 11:07:47.249017,0 days 00:00:07.334135,elu,64,768,0.0,0.001,128,0.0,minmax,postnorm,8,4,SGD,max,learned,0.0
40,0.22172358956627636,COMPLETE,2025-11-05 11:07:47.251022,2025-11-05 11:08:06.944249,0 days 00:00:19.693227,silu,128,384,0.30000000000000004,5e-05,512,,L2,prenorm,4,2,RMSprop,cls,sinusoidal,1e-06
41,0.3901713612344013,COMPLETE,2025-11-05 11:08:06.946452,2025-11-05 11:08:32.754437,0 days 00:00:25.807985,relu,96,768,0.0,0.0001,384,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
42,0.33450579503061667,COMPLETE,2025-11-05 11:08:32.756443,2025-11-05 11:08:54.755619,0 days 00:00:21.999176,relu,96,768,0.0,0.0001,384,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
43,0.3794040316563932,COMPLETE,2025-11-05 11:08:54.755619,2025-11-05 11:09:23.432734,0 days 00:00:28.677115,relu,96,768,0.0,0.0001,384,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
44,0.178030303030303,PRUNED,2025-11-05 11:09:23.434766,2025-11-05 11:09:36.140469,0 days 00:00:12.705703,gelu,96,512,0.0,0.0005,384,,L2,prenorm,2,3,Adam,max,sinusoidal,1e-05
45,0.08558558558558559,PRUNED,2025-11-05 11:09:36.141469,2025-11-05 11:09:41.842239,0 days 00:00:05.700770,relu,96,768,0.1,0.0001,256,0.30000000000000004,L2,postnorm,2,2,SGD,cls,sinusoidal,0.0
46,0.178030303030303,PRUNED,2025-11-05 11:09:41.843241,2025-11-05 11:09:46.417268,0 days 00:00:04.574027,leakyrelu,96,256,0.0,5e-05,384,,L2,prenorm,2,1,Adam,cls,learned,0.0
47,0.26455432463670553,COMPLETE,2025-11-05 11:09:46.418270,2025-11-05 11:10:14.288274,0 days 00:00:27.870004,relu,64,384,0.1,0.001,768,,L2,prenorm,8,2,Adam,cls,sinusoidal,0.0
48,0.4387880603677628,COMPLETE,2025-11-05 11:10:14.290279,2025-11-05 11:10:45.064475,0 days 00:00:30.774196,silu,96,768,0.0,0.0001,128,,minmax,prenorm,2,2,AdamW,max,sinusoidal,0.0
49,0.178030303030303,PRUNED,2025-11-05 11:10:45.067476,2025-11-05 11:11:02.111203,0 days 00:00:17.043727,silu,32,384,0.2,0.0002,128,,minmax,prenorm,16,3,AdamW,max,sinusoidal,1e-07
