number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
10,0.24708071376879762,COMPLETE,2025-11-05 03:15:15.511083,2025-11-05 03:16:05.166056,0 days 00:00:49.654973,relu,64,512,0.4,2e-05,256,,minmax,prenorm,8,4,AdamW,mean,learned,1e-05
11,0.23670736526788436,COMPLETE,2025-11-05 03:16:05.169154,2025-11-05 03:16:58.845468,0 days 00:00:53.676314,relu,64,256,0.4,0.0002,128,,minmax,prenorm,16,3,Adam,max,learned,0.0
12,0.26075922358761405,COMPLETE,2025-11-05 03:16:58.846973,2025-11-05 03:17:40.920456,0 days 00:00:42.073483,mish,64,256,0.1,0.0002,128,,minmax,postnorm,8,3,RMSprop,max,learned,0.0
13,0.0894854586129754,PRUNED,2025-11-05 03:17:40.922457,2025-11-05 03:18:13.287476,0 days 00:00:32.365019,silu,96,256,0.30000000000000004,2e-05,128,,minmax,prenorm,16,4,AdamW,max,learned,1e-05
14,0.178030303030303,PRUNED,2025-11-05 03:18:13.288477,2025-11-05 03:18:35.220046,0 days 00:00:21.931569,relu,64,512,0.1,0.0002,768,,minmax,postnorm,2,3,Adam,max,learned,0.0
15,0.3000459008737573,COMPLETE,2025-11-05 03:18:35.221046,2025-11-05 03:19:24.238076,0 days 00:00:49.017030,prelu,32,256,0.30000000000000004,5e-05,256,,minmax,prenorm,4,2,AdamW,max,learned,1e-05
16,0.21640488656195464,PRUNED,2025-11-05 03:19:24.240484,2025-11-05 03:19:47.078583,0 days 00:00:22.838099,mish,64,256,0.30000000000000004,5e-05,256,,minmax,prenorm,4,2,AdamW,max,learned,1e-05
17,0.22201656185590693,COMPLETE,2025-11-05 03:19:47.079584,2025-11-05 03:20:56.259235,0 days 00:01:09.179651,silu,32,256,0.4,5e-05,256,,minmax,prenorm,4,4,AdamW,mean,learned,1e-05
18,0.17702448210922786,PRUNED,2025-11-05 03:20:56.261253,2025-11-05 03:21:03.810966,0 days 00:00:07.549713,elu,128,512,0.30000000000000004,1e-05,256,,minmax,prenorm,4,3,AdamW,max,sinusoidal,1e-05
19,0.21640488656195464,PRUNED,2025-11-05 03:21:03.811967,2025-11-05 03:21:51.115090,0 days 00:00:47.303123,gelu,16,768,0.4,0.0005,256,,minmax,prenorm,4,2,AdamW,max,learned,1e-05
