number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
25,0.21759048895761182,COMPLETE,2025-11-05 12:51:56.713003,2025-11-05 12:52:51.588113,0 days 00:00:54.875110,gelu,16,384,0.0,0.001,128,0.2,minmax,prenorm,8,2,SGD,cls,learned,1e-05
26,0.178030303030303,PRUNED,2025-11-05 12:52:51.589298,2025-11-05 12:53:08.547579,0 days 00:00:16.958281,leakyrelu,32,768,0.2,0.0001,256,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-07
27,0.29569414807981875,COMPLETE,2025-11-05 12:53:08.548583,2025-11-05 12:53:45.615082,0 days 00:00:37.066499,mish,32,512,0.1,5e-05,256,,minmax,prenorm,16,2,Adam,max,learned,0.0
28,0.21759048895761182,COMPLETE,2025-11-05 12:53:45.617288,2025-11-05 12:54:42.862800,0 days 00:00:57.245512,hardswish,16,512,0.1,5e-05,128,,L2,prenorm,16,2,Adam,mean,learned,0.0
29,0.178030303030303,PRUNED,2025-11-05 12:54:42.863802,2025-11-05 12:54:53.996066,0 days 00:00:11.132264,silu,64,512,0.0,5e-05,768,,minmax,prenorm,16,3,Adam,cls,sinusoidal,0.0
30,0.21759048895761182,COMPLETE,2025-11-05 12:54:53.998067,2025-11-05 12:55:08.945616,0 days 00:00:14.947549,relu,96,512,0.0,5e-05,384,,minmax,prenorm,16,2,Adam,mean,learned,0.0
31,0.21761658031088082,PRUNED,2025-11-05 12:55:08.948008,2025-11-05 12:55:18.346233,0 days 00:00:09.398225,mish,32,512,0.1,5e-05,256,,minmax,prenorm,16,1,Adam,max,learned,0.0
32,0.25819870253207966,COMPLETE,2025-11-05 12:55:18.347233,2025-11-05 12:55:54.523156,0 days 00:00:36.175923,mish,32,768,0.1,1e-05,256,,minmax,prenorm,16,2,RMSprop,max,learned,1e-06
33,0.21761658031088082,PRUNED,2025-11-05 12:55:54.525171,2025-11-05 12:56:02.915525,0 days 00:00:08.390354,mish,64,384,0.0,1e-05,256,,minmax,prenorm,16,2,RMSprop,max,learned,1e-06
34,0.28578673385888465,COMPLETE,2025-11-05 12:56:02.916525,2025-11-05 12:56:39.351392,0 days 00:00:36.434867,silu,32,768,0.1,1e-05,256,,minmax,postnorm,16,2,RMSprop,max,learned,1e-06
