number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
40,0.2413603302274531,COMPLETE,2025-11-05 12:33:57.629997,2025-11-05 12:34:23.879483,0 days 00:00:26.249486,mish,128,256,0.2,0.001,384,,L2,prenorm,8,2,Adam,max,learned,0.0
41,0.3243031413975192,COMPLETE,2025-11-05 12:34:23.879483,2025-11-05 12:35:15.411725,0 days 00:00:51.532242,mish,96,512,0.1,5e-05,512,,L2,postnorm,16,3,RMSprop,max,learned,1e-06
42,0.08558558558558559,PRUNED,2025-11-05 12:35:15.411725,2025-11-05 12:35:29.557187,0 days 00:00:14.145462,mish,96,512,0.1,5e-05,512,0.0,L2,postnorm,16,3,SGD,max,learned,1e-06
43,0.3319298423985777,COMPLETE,2025-11-05 12:35:29.559190,2025-11-05 12:36:15.644612,0 days 00:00:46.085422,mish,96,512,0.2,5e-05,512,,L2,postnorm,16,3,AdamW,max,learned,1e-06
44,0.08558558558558559,PRUNED,2025-11-05 12:36:15.644612,2025-11-05 12:36:31.379515,0 days 00:00:15.734903,mish,96,512,0.2,5e-05,512,,L2,postnorm,16,3,AdamW,max,learned,1e-06
45,0.21759048895761182,COMPLETE,2025-11-05 12:36:31.379515,2025-11-05 12:37:57.089053,0 days 00:01:25.709538,relu,16,384,0.2,0.0001,512,,L2,postnorm,16,3,AdamW,max,learned,1e-06
46,0.21759048895761182,COMPLETE,2025-11-05 12:37:57.091056,2025-11-05 12:38:29.209808,0 days 00:00:32.118752,hardswish,96,512,0.30000000000000004,2e-05,512,,L2,postnorm,16,2,AdamW,cls,learned,1e-06
47,0.178030303030303,PRUNED,2025-11-05 12:38:29.211813,2025-11-05 12:38:42.019032,0 days 00:00:12.807219,prelu,64,512,0.0,0.0002,512,,minmax,postnorm,4,3,AdamW,max,learned,1e-05
48,0.3593641077776177,COMPLETE,2025-11-05 12:38:42.020035,2025-11-05 12:39:12.982585,0 days 00:00:30.962550,silu,96,256,0.30000000000000004,0.0001,512,,L2,prenorm,2,2,RMSprop,max,learned,1e-06
49,0.21759048895761182,COMPLETE,2025-11-05 12:39:12.988593,2025-11-05 12:39:37.587739,0 days 00:00:24.599146,silu,32,256,0.30000000000000004,0.0001,256,,minmax,prenorm,2,1,AdamW,mean,learned,1e-06
