number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
37,0.08888888888888889,PRUNED,2025-11-26 06:54:47.801402,2025-11-26 06:55:15.311452,0 days 00:00:27.510050,leakyrelu,128,True,0.5,128.0,0.0002,0.4,L2,False,3,SGD,max,1e-07,"[1024, 896, 768]","[1, 2, 3]",[3],False
38,0.21758419036095988,COMPLETE,2025-11-26 06:55:15.312465,2025-11-26 06:58:02.078626,0 days 00:02:46.766161,,32,False,0.3,,2e-05,,minmax,False,4,AdamW,attention,1e-06,"[512, 512, 512, 512]",[1],"[1, 2]",True
39,0.38027360947424177,COMPLETE,2025-11-26 06:58:02.081659,2025-11-26 06:59:10.311290,0 days 00:01:08.229631,relu,96,True,0.0,512.0,5e-05,,L2,True,1,Adam,mean,0.0,[192],[],[],True
40,0.17777777777777778,PRUNED,2025-11-26 06:59:10.314310,2025-11-26 06:59:52.025576,0 days 00:00:41.711266,,64,False,0.1,,0.0002,,minmax,False,3,RMSprop,last,1e-05,"[384, 384, 384]","[1, 2, 3]",[3],True
41,0.2182890855457227,PRUNED,2025-11-26 06:59:52.026582,2025-11-26 07:00:00.398220,0 days 00:00:08.371638,relu,128,True,0.0,512.0,5e-05,,L2,True,1,Adam,mean,0.0,[192],[],[],True
42,0.22240844490035686,COMPLETE,2025-11-26 07:00:00.399221,2025-11-26 07:00:41.308406,0 days 00:00:40.909185,relu,96,True,0.0,512.0,5e-05,,L2,True,1,Adam,mean,0.0,[64],[],[],True
43,0.2182890855457227,PRUNED,2025-11-26 07:00:41.311407,2025-11-26 07:00:47.030576,0 days 00:00:05.719169,relu,96,True,0.0,512.0,5e-05,,L2,True,1,Adam,mean,0.0,[384],[],[],True
44,0.21839080459770113,PRUNED,2025-11-26 07:00:47.031577,2025-11-26 07:01:08.724995,0 days 00:00:21.693418,relu,96,True,0.0,512.0,5e-05,,L2,True,1,Adam,mean,0.0,[192],[],[],True
45,0.21758419036095988,COMPLETE,2025-11-26 07:01:08.725995,2025-11-26 07:02:14.792106,0 days 00:01:06.066111,relu,96,True,0.1,768.0,1e-05,,L2,True,2,Adam,attention,0.0,"[128, 192]","[1, 2, 3]","[2, 3]",False
46,0.1761006289308176,PRUNED,2025-11-26 07:02:14.794109,2025-11-26 07:02:28.338730,0 days 00:00:13.544621,,48,False,0.0,,0.0001,,L2,True,1,RMSprop,attention,1e-07,[448],[],[],True
47,0.1761006289308176,PRUNED,2025-11-26 07:02:28.339742,2025-11-26 07:02:43.148837,0 days 00:00:14.809095,,128,False,0.3,,0.0002,0.6000000000000001,L2,True,3,SGD,mean,1e-07,"[640, 640, 640]","[2, 3]","[1, 3]",True
48,0.21758419036095988,COMPLETE,2025-11-26 07:02:43.149857,2025-11-26 07:05:45.163279,0 days 00:03:02.013422,tanh,64,True,0.5,1024.0,2e-05,,L2,False,2,RMSprop,max,1e-07,"[896, 896]","[1, 2, 3]","[2, 3]",True
49,0.300280031065854,COMPLETE,2025-11-26 07:05:45.167353,2025-11-26 07:08:31.095705,0 days 00:02:45.928352,gelu,16,False,0.0,512.0,0.001,,minmax,True,1,AdamW,attention,1e-06,[256],[],[],True
