number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
32,0.28020700137195104,2025-09-12 09:16:37.900776,2025-09-12 09:17:16.569098,0 days 00:00:38.668322,,decreasing,16,False,0.4,,,,,,2.0,1e-05,,minmax,,,,,True,1,RMSprop,max,,5e-07,0.21875,0.21875,0.21640488656195464,,COMPLETE
33,0.178030303030303,2025-09-12 09:17:16.571098,2025-09-12 09:17:57.959933,0 days 00:00:41.388835,relu,decreasing,16,False,0.5,False,,,,128.0,4.0,0.0002,,L2,True,,,,True,2,RMSprop,max,,1e-06,0.178030303030303,,,,PRUNED
34,0.178030303030303,2025-09-12 09:17:57.960932,2025-09-12 09:19:39.713709,0 days 00:01:41.752777,,increasing,16,True,0.4,False,True,,,,5.0,5e-05,,minmax,True,True,,,False,3,Adam,mean,,2e-06,0.178030303030303,,,,PRUNED
35,0.3573306020589919,2025-09-12 09:19:39.714709,2025-09-12 09:20:24.474187,0 days 00:00:44.759478,elu,decreasing,96,False,0.4,,,,,512.0,7.0,2e-05,,L2,,,,,True,1,RMSprop,max,,0.0,0.2552046547607036,0.3620414673046252,0.21875,0.3122006198929276,COMPLETE
36,0.178030303030303,2025-09-12 09:20:24.476187,2025-09-12 09:23:45.901495,0 days 00:03:21.425308,tanh,increasing,16,True,0.0,False,True,,,1024.0,5.0,0.0001,,minmax,True,True,,,True,3,RMSprop,max,,1e-06,0.21875,0.21875,0.178030303030303,,PRUNED
37,0.38326579585609516,2025-09-12 09:23:45.902495,2025-09-12 09:24:29.612399,0 days 00:00:43.709904,tanh,decreasing,16,False,0.30000000000000004,,,,,128.0,2.0,5e-05,,L2,,,,,True,1,AdamW,last,,2e-07,0.3365819967769166,0.35449840015057404,0.21875,0.21640488656195464,COMPLETE
38,0.21761658031088082,2025-09-12 09:24:29.614400,2025-09-12 09:24:36.298133,0 days 00:00:06.683733,silu,uniform,64,False,0.5,False,,,,64.0,,0.002,0.6000000000000001,L2,True,,,,True,2,SGD,mean,3.0,1e-05,0.21761658031088082,,,,PRUNED
39,0.178030303030303,2025-09-12 09:24:36.299133,2025-09-12 09:25:58.174705,0 days 00:01:21.875572,,increasing,32,True,0.5,False,False,True,,,4.0,0.01,,minmax,True,False,False,,False,4,Adam,max,,5e-07,0.178030303030303,,,,PRUNED
40,0.178030303030303,2025-09-12 09:25:58.175706,2025-09-12 09:26:45.589682,0 days 00:00:47.413976,tanh,uniform,16,False,0.1,False,,,,512.0,,1e-05,,L2,True,,,,True,2,AdamW,max,2.0,1e-07,0.21761658031088082,0.37136043189978246,0.178030303030303,,PRUNED
41,0.3173173138897692,2025-09-12 09:26:45.590682,2025-09-12 09:28:03.440328,0 days 00:01:17.849646,gelu,decreasing,16,False,0.5,False,,,,64.0,3.0,5e-05,,L2,True,,,,True,2,Adam,mean,,1e-07,0.21875,0.21640488656195464,,,COMPLETE
42,0.21875,2025-09-12 09:28:03.442329,2025-09-12 09:28:24.310619,0 days 00:00:20.868290,gelu,decreasing,16,False,0.4,False,,,,64.0,3.0,5e-05,,L2,True,,,,True,2,Adam,mean,,1e-07,0.21761658031088082,0.21875,,,PRUNED
43,0.32275646214451464,2025-09-12 09:28:24.311619,2025-09-12 09:29:18.536008,0 days 00:00:54.224389,gelu,decreasing,16,False,0.5,False,True,,,64.0,6.0,5e-05,,L2,True,True,,,True,3,Adam,mean,,1e-07,0.21761658031088082,0.32275646214451464,,,PRUNED
44,0.34099849720187775,2025-09-12 09:29:18.537008,2025-09-12 09:30:07.744409,0 days 00:00:49.207401,gelu,decreasing,16,False,0.5,,,,,64.0,1.0,0.001,,L2,,,,,True,1,Adam,mean,,2e-07,0.21875,0.21875,0.28475998135777536,,COMPLETE
45,0.178030303030303,2025-09-12 09:30:07.745410,2025-09-12 09:30:15.879251,0 days 00:00:08.133841,,uniform,64,False,0.4,False,,,,,,5e-05,0.4,L2,True,,,,True,2,SGD,mean,1.0,1e-07,0.21761658031088082,0.178030303030303,,,PRUNED
46,0.178030303030303,2025-09-12 09:30:15.880251,2025-09-12 09:30:24.040622,0 days 00:00:08.160371,relu,decreasing,128,False,0.5,False,,,,768.0,3.0,0.001,,L2,False,,,,True,2,RMSprop,last,,1e-05,0.21761658031088082,0.178030303030303,,,PRUNED
47,0.21875,2025-09-12 09:30:24.041622,2025-09-12 09:31:38.796846,0 days 00:01:14.755224,gelu,increasing,16,True,0.2,False,False,,,128.0,4.0,0.0002,,L2,True,True,,,False,3,Adam,mean,,2e-06,0.21761658031088082,0.21875,,,PRUNED
48,0.21875,2025-09-12 09:31:38.797846,2025-09-12 09:31:45.234294,0 days 00:00:06.436448,silu,uniform,96,False,0.4,,,,,1024.0,,5e-05,,L2,,,,,True,1,RMSprop,max,3.0,1e-06,0.305468477882271,0.21875,,,PRUNED
49,0.17702448210922786,2025-09-12 09:31:45.235294,2025-09-12 09:32:02.070581,0 days 00:00:16.835287,elu,decreasing,16,False,0.30000000000000004,False,,,,64.0,5.0,2e-05,,L2,False,,,,True,2,RMSprop,last,,1e-07,0.17702448210922786,,,,PRUNED
