number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
10,0.21839080459770113,PRUNED,2025-11-26 09:56:57.299161,2025-11-26 09:57:03.575330,0 days 00:00:06.276169,,128,False,0.1,,0.0002,,L2,True,3,RMSprop,attention,1e-07,"[448, 448, 448]","[2, 3]",[3],True
11,0.21637426900584797,PRUNED,2025-11-26 09:57:03.576331,2025-11-26 09:57:43.501860,0 days 00:00:39.925529,,64,False,0.1,,0.0001,,minmax,True,3,AdamW,attention,1e-07,"[192, 128, 64]","[1, 2, 3]","[2, 3]",False
12,0.2758107009693471,COMPLETE,2025-11-26 09:57:43.502865,2025-11-26 09:58:21.279322,0 days 00:00:37.776457,elu,96,False,0.0,512.0,0.0001,,minmax,True,2,AdamW,attention,1e-07,"[128, 64]","[2, 3]","[1, 2, 3]",False
13,0.21637426900584797,PRUNED,2025-11-26 09:58:21.282323,2025-11-26 09:59:48.278083,0 days 00:01:26.995760,elu,48,False,0.2,128.0,0.0001,,L2,True,3,RMSprop,attention,1e-07,"[512, 448, 384]","[1, 2, 3]",[3],False
14,0.21758419036095988,COMPLETE,2025-11-26 09:59:48.279086,2025-11-26 10:00:47.375626,0 days 00:00:59.096540,gelu,32,False,0.0,768.0,0.0002,,minmax,True,2,AdamW,mean,1e-07,"[512, 512]","[2, 3]","[1, 2, 3]",True
15,0.42480554553704586,COMPLETE,2025-11-26 10:00:47.378126,2025-11-26 10:05:27.604564,0 days 00:04:40.226438,leakyrelu,16,False,0.1,1024.0,5e-05,,L2,True,4,AdamW,attention,1e-05,"[256, 256, 256, 256]","[1, 2]",[],True
16,0.21758419036095988,COMPLETE,2025-11-26 10:05:27.607067,2025-11-26 10:07:54.198134,0 days 00:02:26.591067,leakyrelu,16,False,0.1,1024.0,5e-05,,L2,False,4,RMSprop,attention,1e-05,"[192, 192, 192, 192]","[1, 2]",[],True
17,0.1806853582554517,PRUNED,2025-11-26 10:07:54.201182,2025-11-26 10:08:53.332289,0 days 00:00:59.131107,leakyrelu,16,False,0.1,1024.0,5e-05,0.0,L2,True,4,SGD,attention,1e-05,"[384, 384, 384, 384]","[1, 2]",[],True
18,0.1761006289308176,PRUNED,2025-11-26 10:08:53.334290,2025-11-26 10:09:03.303611,0 days 00:00:09.969321,,128,False,0.1,,0.0002,,L2,True,4,AdamW,mean,1e-05,"[768, 768, 768, 768]","[1, 2, 3]",[3],True
19,0.21758419036095988,COMPLETE,2025-11-26 10:09:03.303611,2025-11-26 10:11:06.347417,0 days 00:02:03.043806,silu,16,False,0.4,1024.0,5e-05,,L2,False,3,RMSprop,attention,1e-05,"[256, 256, 256]","[1, 2, 3]","[2, 3]",True
