number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
37,0.21839080459770113,PRUNED,2025-11-26 09:33:53.505721,2025-11-26 09:34:31.526286,0 days 00:00:38.020565,,16,False,0.3,,1e-05,,minmax,True,2,Adam,mean,1e-06,"[256, 192]","[1, 2, 3]","[1, 2, 3]",False
38,0.22256485481836014,COMPLETE,2025-11-26 09:34:31.527466,2025-11-26 09:35:14.627276,0 days 00:00:43.099810,,48,False,0.0,,0.0002,0.5,L2,True,1,SGD,max,1e-06,[128],[],[],True
39,0.17777777777777778,PRUNED,2025-11-26 09:35:14.629278,2025-11-26 09:36:41.822236,0 days 00:01:27.192958,leakyrelu,32,False,0.4,256.0,2e-05,,L2,True,2,RMSprop,last,0.0,"[512, 448]","[1, 2, 3]","[2, 3]",False
40,0.1806853582554517,PRUNED,2025-11-26 09:36:41.822236,2025-11-26 09:36:54.348328,0 days 00:00:12.526092,gelu,96,False,0.0,512.0,5e-05,,minmax,False,1,Adam,last,1e-05,[64],[],[],True
41,0.2144927536231884,PRUNED,2025-11-26 09:36:54.349333,2025-11-26 09:37:03.008218,0 days 00:00:08.658885,,48,False,0.1,,0.0002,,L2,True,2,RMSprop,last,1e-06,"[192, 128]","[1, 2, 3]","[2, 3]",False
42,0.4017951439708448,COMPLETE,2025-11-26 09:37:03.009218,2025-11-26 09:38:53.739910,0 days 00:01:50.730692,,48,False,0.1,,0.0002,,L2,True,2,RMSprop,last,1e-06,"[192, 128]","[1, 2, 3]","[2, 3]",False
43,0.4016845959009216,COMPLETE,2025-11-26 09:38:53.742910,2025-11-26 09:40:54.765841,0 days 00:02:01.022931,,48,False,0.5,,0.0002,,L2,True,2,RMSprop,last,1e-06,"[384, 256]","[1, 2, 3]","[2, 3]",False
44,0.4154072243497506,COMPLETE,2025-11-26 09:40:54.768360,2025-11-26 09:42:43.770927,0 days 00:01:49.002567,,64,False,0.5,,0.0002,,L2,True,2,RMSprop,last,1e-06,"[384, 256]","[1, 2, 3]","[2, 3]",False
45,0.2594594594594595,PRUNED,2025-11-26 09:42:43.773947,2025-11-26 09:42:57.175788,0 days 00:00:13.401841,,64,False,0.5,,0.0002,,L2,True,2,RMSprop,last,1e-06,"[384, 256]","[1, 2, 3]","[2, 3]",False
46,0.1761006289308176,PRUNED,2025-11-26 09:42:57.176803,2025-11-26 09:43:31.353752,0 days 00:00:34.176949,leakyrelu,64,True,0.5,256.0,0.0001,,L2,True,3,RMSprop,mean,1e-06,"[448, 512, 640]","[1, 3]","[2, 3]",False
47,0.21839080459770113,PRUNED,2025-11-26 09:43:31.354759,2025-11-26 09:43:40.162375,0 days 00:00:08.807616,silu,64,False,0.0,768.0,0.001,,L2,False,1,AdamW,last,0.0,[384],[],[],True
48,0.21839080459770113,PRUNED,2025-11-26 09:43:40.163878,2025-11-26 09:44:14.615891,0 days 00:00:34.452013,,128,False,0.0,,1e-05,,L2,True,3,RMSprop,max,1e-06,"[448, 384, 256]",[3],"[2, 3]",False
49,0.21839080459770113,PRUNED,2025-11-26 09:44:14.616395,2025-11-26 09:45:00.879328,0 days 00:00:46.262933,,64,True,0.5,,0.0002,0.30000000000000004,minmax,True,2,SGD,last,1e-05,"[640, 512]","[1, 2, 3]","[1, 2, 3]",False
