number,value,datetime_start,datetime_complete,duration,params_activation,params_architecture_pattern,params_batch_size,params_bidirectional,params_dropout,params_dropout_layer_1,params_dropout_layer_2,params_dropout_layer_3,params_dropout_layer_4,params_fc_hidden,params_first_size_idx,params_lr,params_momentum,params_norm,params_norm_layer_1,params_norm_layer_2,params_norm_layer_3,params_norm_layer_4,params_norm_post_lstm,params_num_layers,params_optimizer,params_pooling,params_size_idx,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
40,0.17702448210922786,2025-09-12 16:38:07.981279,2025-09-12 16:38:19.475932,0 days 00:00:11.494653,relu,increasing,128,True,0.2,False,False,,,512.0,1.0,0.001,,L2,False,True,,,False,3,AdamW,max,,5e-07,0.17702448210922786,,,,PRUNED
41,0.4462327617145874,2025-09-12 16:38:19.475932,2025-09-12 16:42:11.753172,0 days 00:03:52.277240,relu,decreasing,16,True,0.1,True,,,,64.0,5.0,2e-05,,L2,True,,,,False,2,AdamW,max,,5e-07,0.21875,0.4295652985945744,,,COMPLETE
42,0.43716589529151834,2025-09-12 16:42:11.760110,2025-09-12 16:45:46.284971,0 days 00:03:34.524861,relu,decreasing,16,True,0.1,True,False,,,64.0,4.0,2e-05,,L2,True,True,,,False,3,AdamW,max,,5e-07,0.21875,0.38772303325223034,,,COMPLETE
43,0.21761658031088082,2025-09-12 16:45:46.286996,2025-09-12 16:46:26.709971,0 days 00:00:40.422975,relu,decreasing,16,True,0.1,True,,,,64.0,6.0,0.002,,L2,True,,,,False,2,AdamW,max,,5e-07,0.21761658031088082,,,,PRUNED
44,0.178030303030303,2025-09-12 16:46:26.710971,2025-09-12 16:47:57.864722,0 days 00:01:31.153751,relu,decreasing,16,False,0.2,True,False,True,,64.0,5.0,2e-05,,L2,False,True,True,,False,4,AdamW,max,,5e-07,0.21761658031088082,0.2876012265115182,0.178030303030303,,PRUNED
45,0.43631814747028547,2025-09-12 16:47:57.866741,2025-09-12 16:54:44.434144,0 days 00:06:46.567403,,uniform,16,True,0.0,False,,,,,,0.0001,,L2,True,,,,False,2,AdamW,max,7.0,5e-07,0.2974921967495426,0.2974921967495426,0.43113474912998956,,COMPLETE
46,0.21759048895761182,2025-09-12 16:54:44.436144,2025-09-12 16:55:33.280491,0 days 00:00:48.844347,relu,decreasing,64,True,0.1,True,,,,768.0,3.0,2e-05,,minmax,True,,,,False,2,AdamW,max,,5e-07,0.21761658031088082,0.21875,0.21875,0.21640488656195464,COMPLETE
47,0.4243879447499239,2025-09-12 16:55:33.287128,2025-09-12 17:05:08.469714,0 days 00:09:35.182586,relu,uniform,16,False,0.2,False,False,,,1024.0,,1e-05,,L2,False,True,,,False,3,AdamW,max,8.0,1e-05,0.30945054945054945,0.21875,0.3958273381294964,,COMPLETE
48,0.21759048895761182,2025-09-12 17:05:08.471715,2025-09-12 17:08:14.933304,0 days 00:03:06.461589,gelu,increasing,16,True,0.2,,,,,64.0,8.0,5e-05,,L2,,,,,False,1,AdamW,mean,,2e-07,0.21761658031088082,0.21875,0.21875,0.21640488656195464,COMPLETE
49,0.21761658031088082,2025-09-12 17:08:14.935303,2025-09-12 17:08:55.022423,0 days 00:00:40.087120,leakyrelu,uniform,32,True,0.1,True,,,,256.0,,0.01,0.0,L2,True,,,,False,2,SGD,max,4.0,5e-07,0.21761658031088082,,,,PRUNED
