number,value,state,datetime_start,datetime_complete,duration,activation,batch_size,bidirectional,dropout,fc_hidden,lr,momentum_sgd,norm,norm_post_lstm,num_layers,optimizer,pooling,weight_decay,layer_sizes,dropout_layers,norm_layers,native_mode
34,0.17777777777777778,PRUNED,2025-11-26 11:08:13.793440,2025-11-26 11:09:44.661043,0 days 00:01:30.867603,tanh,16,True,0.0,512.0,5e-05,,L2,True,1,AdamW,max,1e-05,[512],[],[],True
35,0.17777777777777778,PRUNED,2025-11-26 11:09:44.663044,2025-11-26 11:10:11.276284,0 days 00:00:26.613240,leakyrelu,32,False,0.0,128.0,1e-05,,L2,True,1,AdamW,mean,0.0,[256],[],[],True
36,0.1761006289308176,PRUNED,2025-11-26 11:10:11.277287,2025-11-26 11:10:20.983197,0 days 00:00:09.705910,relu,64,True,0.0,512.0,0.0001,0.7000000000000001,L2,True,2,SGD,last,1e-06,"[128, 192]","[2, 3]","[1, 2, 3]",False
37,0.21839080459770113,PRUNED,2025-11-26 11:10:20.983197,2025-11-26 11:11:02.494788,0 days 00:00:41.511591,elu,48,False,0.0,1024.0,5e-05,,minmax,False,3,Adam,max,1e-05,"[64, 128, 192]",[3],"[1, 2, 3]",False
38,0.4242366246247177,COMPLETE,2025-11-26 11:11:02.494788,2025-11-26 11:12:27.031645,0 days 00:01:24.536857,gelu,32,False,0.0,768.0,0.001,,L2,False,2,AdamW,mean,0.0,"[384, 256]","[2, 3]","[1, 2, 3]",False
39,0.1761006289308176,PRUNED,2025-11-26 11:12:27.035652,2025-11-26 11:12:47.437165,0 days 00:00:20.401513,relu,16,True,0.0,512.0,1e-05,,L2,True,1,Adam,mean,1e-05,[128],[],[],True
40,0.21839080459770113,PRUNED,2025-11-26 11:12:47.437165,2025-11-26 11:13:15.276423,0 days 00:00:27.839258,silu,32,False,0.0,256.0,5e-05,,minmax,False,2,AdamW,last,1e-06,"[1024, 1024]","[2, 3]","[1, 2, 3]",True
41,0.40826330979852476,COMPLETE,2025-11-26 11:13:15.276423,2025-11-26 11:14:39.882133,0 days 00:01:24.605710,gelu,32,False,0.0,768.0,0.001,,L2,False,2,AdamW,mean,0.0,"[384, 256]","[2, 3]","[1, 2, 3]",False
42,0.27395940832473337,PRUNED,2025-11-26 11:14:39.882133,2025-11-26 11:14:53.248860,0 days 00:00:13.366727,gelu,32,False,0.0,768.0,0.001,,L2,False,2,AdamW,mean,0.0,"[448, 384]","[2, 3]","[1, 2, 3]",False
43,0.3911365014186219,COMPLETE,2025-11-26 11:14:53.264672,2025-11-26 11:16:21.184453,0 days 00:01:27.919781,gelu,32,False,0.4,768.0,0.001,,L2,False,2,AdamW,mean,0.0,"[384, 256]","[1, 2, 3]","[1, 2, 3]",False
44,0.1061046511627907,PRUNED,2025-11-26 11:16:21.186193,2025-11-26 11:16:35.231696,0 days 00:00:14.045503,gelu,64,False,0.0,768.0,2e-05,0.4,L2,False,2,SGD,mean,0.0,"[256, 192]","[2, 3]","[1, 2, 3]",False
45,0.21839080459770113,PRUNED,2025-11-26 11:16:35.232701,2025-11-26 11:16:43.688503,0 days 00:00:08.455802,tanh,96,False,0.3,128.0,0.001,,L2,False,3,AdamW,attention,0.0,"[448, 384, 256]","[1, 3]","[1, 2, 3]",False
46,0.21758419036095988,COMPLETE,2025-11-26 11:16:43.688503,2025-11-26 11:17:33.365963,0 days 00:00:49.677460,elu,32,False,0.0,256.0,5e-05,,L2,False,2,Adam,max,1e-05,"[256, 256]","[2, 3]","[1, 2, 3]",True
47,0.41824133243981515,COMPLETE,2025-11-26 11:17:33.369969,2025-11-26 11:19:01.201341,0 days 00:01:27.831372,leakyrelu,48,True,0.0,512.0,0.0001,,L2,True,2,AdamW,attention,0.0,"[640, 512]","[2, 3]","[1, 2, 3]",False
48,0.1761006289308176,PRUNED,2025-11-26 11:19:01.217293,2025-11-26 11:19:13.888986,0 days 00:00:12.671693,tanh,32,False,0.2,768.0,1e-05,,L2,False,3,AdamW,mean,1e-05,"[64, 64, 64]","[1, 2, 3]","[1, 2, 3]",True
49,0.1761006289308176,PRUNED,2025-11-26 11:19:13.888986,2025-11-26 11:19:25.058714,0 days 00:00:11.169728,silu,32,False,0.0,512.0,5e-05,,minmax,True,1,AdamW,attention,1e-05,[1024],[],[],True
