run_id,arch,preset_rank,source_params,target_embedding,embedding_relpath,split_seed,best_val_f1,best_epoch,best_f1_per_class,model_path,cfg_json
21,TCN,3,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,8,0.5941,49,"[0.8293, 0.3529, 0.6]",,"{""norm"": ""L2"", ""channels"": [384, 384, 384, 512], ""dilations"": [1, 2, 3, 4], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 128, ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
22,TCN,3,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,24,0.4967,26,"[0.5854, 0.3333, 0.5714]",,"{""norm"": ""L2"", ""channels"": [384, 384, 384, 512], ""dilations"": [1, 2, 3, 4], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 128, ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
23,TCN,3,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,33,0.5565,64,"[0.717, 0.5714, 0.381]",,"{""norm"": ""L2"", ""channels"": [384, 384, 384, 512], ""dilations"": [1, 2, 3, 4], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 128, ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
24,TCN,3,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,888,0.4396,64,"[0.5143, 0.2, 0.6047]",,"{""norm"": ""L2"", ""channels"": [384, 384, 384, 512], ""dilations"": [1, 2, 3, 4], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 128, ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
25,TCN,3,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,800,0.657,68,"[0.7805, 0.3333, 0.8571]",,"{""norm"": ""L2"", ""channels"": [384, 384, 384, 512], ""dilations"": [1, 2, 3, 4], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 128, ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
26,TCN,3,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,123,0.473,23,"[0.5714, 0.3333, 0.5143]",,"{""norm"": ""L2"", ""channels"": [384, 384, 384, 512], ""dilations"": [1, 2, 3, 4], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 128, ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
27,TCN,3,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,111,0.5192,65,"[0.6939, 0.3636, 0.5]",,"{""norm"": ""L2"", ""channels"": [384, 384, 384, 512], ""dilations"": [1, 2, 3, 4], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 128, ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
28,TCN,3,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,425,0.449,56,"[0.6154, 0.0, 0.7317]",,"{""norm"": ""L2"", ""channels"": [384, 384, 384, 512], ""dilations"": [1, 2, 3, 4], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 128, ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
29,TCN,3,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,672,0.5631,51,"[0.7273, 0.4286, 0.5333]",,"{""norm"": ""L2"", ""channels"": [384, 384, 384, 512], ""dilations"": [1, 2, 3, 4], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 128, ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
30,TCN,3,Best_configs_v3,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,69,0.5715,37,"[0.6939, 0.4, 0.6207]",,"{""norm"": ""L2"", ""channels"": [384, 384, 384, 512], ""dilations"": [1, 2, 3, 4], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 128, ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
31,TCN,4,Preset_v2_1,gln_phase1.csv,Gait_Embeddings_good/gln_phase1.csv,8,0.5798,109,"[0.8205, 0.3077, 0.6111]",,"{""norm"": ""minmax"", ""channels"": [896, 768, 640], ""dilations"": [3, 6, 9], ""kernel_size"": 2, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [null, null, null], ""use_weight_norm"": false, ""wn_on_skip"": false, ""ln_block_end"": [false, true, true], ""pooling"": ""attention"", ""fc_hidden"": 64, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 1e-05, ""weight_decay"": 2e-06, ""momentum_sgd"": null, ""epochs"": 5000}"
32,TCN,4,Preset_v2_1,gln_phase1.csv,Gait_Embeddings_good/gln_phase1.csv,24,0.5303,789,"[0.6818, 0.3636, 0.5455]",,"{""norm"": ""minmax"", ""channels"": [896, 768, 640], ""dilations"": [3, 6, 9], ""kernel_size"": 2, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [null, null, null], ""use_weight_norm"": false, ""wn_on_skip"": false, ""ln_block_end"": [false, true, true], ""pooling"": ""attention"", ""fc_hidden"": 64, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 1e-05, ""weight_decay"": 2e-06, ""momentum_sgd"": null, ""epochs"": 5000}"
33,TCN,4,Preset_v2_1,gln_phase1.csv,Gait_Embeddings_good/gln_phase1.csv,33,0.6012,233,"[0.6977, 0.5, 0.6061]",,"{""norm"": ""minmax"", ""channels"": [896, 768, 640], ""dilations"": [3, 6, 9], ""kernel_size"": 2, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [null, null, null], ""use_weight_norm"": false, ""wn_on_skip"": false, ""ln_block_end"": [false, true, true], ""pooling"": ""attention"", ""fc_hidden"": 64, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 1e-05, ""weight_decay"": 2e-06, ""momentum_sgd"": null, ""epochs"": 5000}"
34,TCN,4,Preset_v2_1,gln_phase1.csv,Gait_Embeddings_good/gln_phase1.csv,888,0.4284,121,"[0.5366, 0.2222, 0.5263]",,"{""norm"": ""minmax"", ""channels"": [896, 768, 640], ""dilations"": [3, 6, 9], ""kernel_size"": 2, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [null, null, null], ""use_weight_norm"": false, ""wn_on_skip"": false, ""ln_block_end"": [false, true, true], ""pooling"": ""attention"", ""fc_hidden"": 64, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 1e-05, ""weight_decay"": 2e-06, ""momentum_sgd"": null, ""epochs"": 5000}"
35,TCN,4,Preset_v2_1,gln_phase1.csv,Gait_Embeddings_good/gln_phase1.csv,800,0.6,253,"[0.6, 0.5333, 0.6667]",,"{""norm"": ""minmax"", ""channels"": [896, 768, 640], ""dilations"": [3, 6, 9], ""kernel_size"": 2, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [null, null, null], ""use_weight_norm"": false, ""wn_on_skip"": false, ""ln_block_end"": [false, true, true], ""pooling"": ""attention"", ""fc_hidden"": 64, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 1e-05, ""weight_decay"": 2e-06, ""momentum_sgd"": null, ""epochs"": 5000}"
