number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
18,0.43064455437885807,COMPLETE,2025-11-21 22:16:53.797657,2025-11-21 22:17:10.178769,0 days 00:00:16.381112,"[768, 384, 192]",[1],[2],relu,768,48,0.4,0.0005,L2,3,decreasing,max,1e-05
19,0.21839080459770113,PRUNED,2025-11-21 22:17:10.179781,2025-11-21 22:17:12.127127,0 days 00:00:01.947346,"[768, 384, 192, 96]",[1],[3],relu,768,48,0.4,0.0005,L2,4,decreasing,max,1e-05
20,0.21637426900584797,PRUNED,2025-11-21 22:17:12.128144,2025-11-21 22:17:22.843397,0 days 00:00:10.715253,"[768, 384]",[1],[1],relu,768,48,0.4,0.0005,L2,2,decreasing,max,1e-05
21,0.18238993710691823,PRUNED,2025-11-21 22:17:22.843397,2025-11-21 22:17:32.665626,0 days 00:00:09.822229,"[768, 384, 192]",[1],[2],relu,768,48,0.4,0.0005,L2,3,decreasing,max,1e-05
22,0.1761006289308176,PRUNED,2025-11-21 22:17:32.666629,2025-11-21 22:17:45.082593,0 days 00:00:12.415964,"[256, 128, 64]",[],[2],tanh,256,16,0.2,1e-05,L2,3,decreasing,max,1e-05
23,0.21839080459770113,PRUNED,2025-11-21 22:17:45.082593,2025-11-21 22:17:47.187753,0 days 00:00:02.105160,"[512, 256, 128, 64]",[2],[3],relu,512,48,0.4,5e-05,L2,4,decreasing,max,1e-05
24,0.21637426900584797,PRUNED,2025-11-21 22:17:47.203554,2025-11-21 22:17:55.611570,0 days 00:00:08.408016,"[768, 384, 192]",[1],[2],relu,768,48,0.3,0.0002,L2,3,decreasing,max,0.0
25,0.1761006289308176,PRUNED,2025-11-21 22:17:55.611570,2025-11-21 22:18:02.450891,0 days 00:00:06.839321,"[768, 384, 192]",[1],[2],tanh,768,16,0.0,0.0005,L2,3,decreasing,max,1e-06
26,0.2878787878787879,PRUNED,2025-11-21 22:18:02.450891,2025-11-21 22:18:09.832255,0 days 00:00:07.381364,"[128, 256]",[],[],relu,256,48,0.1,0.0005,L2,2,increasing,mean,1e-05
27,0.21839080459770113,PRUNED,2025-11-21 22:18:09.832255,2025-11-21 22:18:11.571185,0 days 00:00:01.738930,"[768, 384, 192, 96]",[3],[3],gelu,768,96,0.5,0.0002,L2,4,decreasing,max,1e-05
28,0.4186516286035366,COMPLETE,2025-11-21 22:18:11.572185,2025-11-21 22:18:26.900975,0 days 00:00:15.328790,"[1024, 512, 256, 128]",[2],[3],silu,1024,64,0.2,0.0005,L2,4,decreasing,max,0.0
29,0.21238938053097345,PRUNED,2025-11-21 22:18:26.907619,2025-11-21 22:18:30.549567,0 days 00:00:03.641948,[384],[],[],elu,384,128,0.1,2e-05,L2,1,increasing,mean,1e-06
30,0.1761006289308176,PRUNED,2025-11-21 22:18:30.550569,2025-11-21 22:18:32.592617,0 days 00:00:02.042048,"[512, 256]",[],[],tanh,512,64,0.4,1e-05,L2,2,decreasing,max,1e-05
31,0.1761006289308176,PRUNED,2025-11-21 22:18:32.593623,2025-11-21 22:18:38.094220,0 days 00:00:05.500597,"[896, 896, 896, 896, 896]",[4],[4],leakyrelu,896,32,0.4,0.0001,minmax,5,uniform,max,0.0001
32,0.359002218649871,COMPLETE,2025-11-21 22:18:38.095222,2025-11-21 22:19:33.501006,0 days 00:00:55.405784,"[896, 896, 896, 896, 896]",[3],[4],leakyrelu,896,16,0.4,0.0001,minmax,5,uniform,max,0.0001
33,0.23981481481481481,PRUNED,2025-11-21 22:19:33.501006,2025-11-21 22:19:41.021298,0 days 00:00:07.520292,"[64, 112, 224, 448, 896]",[4],[1],leakyrelu,896,96,0.4,0.0001,minmax,5,increasing,max,0.0001
34,0.21758419036095988,COMPLETE,2025-11-21 22:19:41.022302,2025-11-21 22:20:04.117935,0 days 00:00:23.095633,"[128, 64, 64, 64, 64]",[3],[4],relu,128,32,0.4,5e-05,L2,5,decreasing,max,0.0001
35,0.404651730628175,COMPLETE,2025-11-21 22:20:04.118939,2025-11-21 22:20:19.840466,0 days 00:00:15.721527,"[256, 256, 256]",[2],[1],leakyrelu,256,48,0.4,0.0001,minmax,3,uniform,mean,0.0001
36,0.2961113788195671,COMPLETE,2025-11-21 22:20:19.847073,2025-11-21 22:20:46.089286,0 days 00:00:26.242213,"[256, 256, 256, 256, 256]",[3],[1],silu,256,32,0.2,0.001,L2,5,uniform,max,1e-05
37,0.4053073850926676,COMPLETE,2025-11-21 22:20:46.091291,2025-11-21 22:20:59.314168,0 days 00:00:13.222877,"[128, 64, 64, 64]",[2],[2],elu,128,96,0.3,0.0005,minmax,4,decreasing,max,0.0001
38,0.1761006289308176,PRUNED,2025-11-21 22:20:59.316185,2025-11-21 22:21:04.225409,0 days 00:00:04.909224,"[224, 448, 896]",[1],[1],tanh,896,32,0.2,0.0002,L2,3,increasing,mean,0.0
39,0.43124617919970776,COMPLETE,2025-11-21 22:21:04.225409,2025-11-21 22:21:16.166443,0 days 00:00:11.941034,"[768, 768, 768, 768]",[2],[2],relu,768,128,0.4,0.0005,L2,4,uniform,max,0.0001
40,0.21839080459770113,PRUNED,2025-11-21 22:21:16.168442,2025-11-21 22:21:17.469395,0 days 00:00:01.300953,"[768, 384, 192, 96]",[2],[2],relu,768,128,0.4,0.0005,L2,4,decreasing,max,1e-05
41,0.1761006289308176,PRUNED,2025-11-21 22:21:17.470395,2025-11-21 22:21:20.733397,0 days 00:00:03.263002,"[768, 768, 768]",[2],[1],relu,768,128,0.4,0.0005,L2,3,uniform,max,0.0001
42,0.21839080459770113,PRUNED,2025-11-21 22:21:20.734401,2025-11-21 22:21:22.160855,0 days 00:00:01.426454,"[768, 768, 768, 768, 768]",[4],[2],relu,768,128,0.4,0.0005,L2,5,uniform,max,0.0001
43,0.18238993710691823,PRUNED,2025-11-21 22:21:22.161863,2025-11-21 22:21:30.104679,0 days 00:00:07.942816,"[256, 256, 256, 256]",[3],[2],relu,256,128,0.4,0.001,L2,4,uniform,max,0.0001
44,0.393903985871048,COMPLETE,2025-11-21 22:21:30.106689,2025-11-21 22:22:15.075532,0 days 00:00:44.968843,"[1024, 1024, 1024]",[1],[1],leakyrelu,1024,16,0.2,0.0001,minmax,3,uniform,max,0.0001
45,0.4218042160752818,COMPLETE,2025-11-21 22:22:15.077569,2025-11-21 22:22:45.454367,0 days 00:00:30.376798,"[768, 768, 768, 768, 768]",[3],[3],silu,768,32,0.0,0.0002,L2,5,uniform,max,1e-06
46,0.4115607247280309,COMPLETE,2025-11-21 22:22:45.457396,2025-11-21 22:23:12.969950,0 days 00:00:27.512554,"[384, 384, 384, 384]",[2],[2],gelu,384,48,0.5,2e-05,minmax,4,uniform,mean,0.0001
47,0.21758419036095988,COMPLETE,2025-11-21 22:23:12.973137,2025-11-21 22:23:44.165794,0 days 00:00:31.192657,"[896, 448, 224]",[],[],tanh,896,16,0.4,1e-05,L2,3,decreasing,max,0.0001
48,0.21839080459770113,PRUNED,2025-11-21 22:23:44.167790,2025-11-21 22:23:46.349047,0 days 00:00:02.181257,"[768, 768, 768, 768]",[3],[2],elu,768,48,0.4,0.0005,L2,4,uniform,max,0.0001
49,0.1761006289308176,PRUNED,2025-11-21 22:23:46.349047,2025-11-21 22:23:50.083008,0 days 00:00:03.733961,"[128, 64]",[],[],relu,128,64,0.3,5e-05,minmax,2,decreasing,max,1e-05
