number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
37,0.4784989933565978,COMPLETE,2025-11-21 22:55:48.137953,2025-11-21 22:56:14.327810,0 days 00:00:26.189857,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
38,0.459210027978168,COMPLETE,2025-11-21 22:56:14.329802,2025-11-21 22:56:36.994612,0 days 00:00:22.664810,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
39,0.21839080459770113,PRUNED,2025-11-21 22:56:36.994612,2025-11-21 22:56:42.803783,0 days 00:00:05.809171,"[64, 128]",[],[],tanh,128,16,0.3,0.0002,minmax,2,increasing,max,0.0
40,0.21839080459770113,PRUNED,2025-11-21 22:56:42.803783,2025-11-21 22:56:51.999885,0 days 00:00:09.196102,[256],[],[],tanh,256,16,0.3,0.0002,minmax,1,decreasing,max,0.0
41,0.21839080459770113,PRUNED,2025-11-21 22:56:51.999885,2025-11-21 22:57:01.272770,0 days 00:00:09.272885,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
42,0.4679782704415449,COMPLETE,2025-11-21 22:57:01.272770,2025-11-21 22:57:26.971489,0 days 00:00:25.698719,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
43,0.4665351173378851,COMPLETE,2025-11-21 22:57:26.971489,2025-11-21 22:57:50.373353,0 days 00:00:23.401864,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
44,0.4168340391207905,PRUNED,2025-11-21 22:57:50.373353,2025-11-21 22:57:53.435337,0 days 00:00:03.061984,"[192, 384]",[],[],tanh,384,32,0.3,0.0005,minmax,2,increasing,max,0.0
45,0.3694685990338164,PRUNED,2025-11-21 22:57:53.435337,2025-11-21 22:57:57.786790,0 days 00:00:04.351453,[128],[],[],tanh,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
46,0.48107595492440114,COMPLETE,2025-11-21 22:57:57.786790,2025-11-21 22:58:23.055902,0 days 00:00:25.269112,[128],[],[],elu,128,16,0.3,0.0002,minmax,1,increasing,max,0.0
47,0.1524119241192412,PRUNED,2025-11-21 22:58:23.057905,2025-11-21 22:58:35.266163,0 days 00:00:12.208258,"[64, 128]",[],[],elu,128,16,0.5,1e-05,minmax,2,increasing,max,0.0
48,0.3055555555555556,PRUNED,2025-11-21 22:58:35.273101,2025-11-21 22:58:36.606523,0 days 00:00:01.333422,[256],[],[],elu,256,32,0.3,0.0002,minmax,1,increasing,max,0.0
49,0.21839080459770113,PRUNED,2025-11-21 22:58:36.607829,2025-11-21 22:58:46.803534,0 days 00:00:10.195705,"[128, 64]",[],[],elu,128,16,0.3,0.0002,minmax,2,decreasing,max,1e-06
