number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
40,0.39014403743511,PRUNED,2025-11-21 21:53:41.861110,2025-11-21 21:53:46.156360,0 days 00:00:04.295250,[896],[],[],leakyrelu,896,48,0.3,0.0001,L2,1,uniform,mean,1e-05
41,0.21839080459770113,PRUNED,2025-11-21 21:53:46.157363,2025-11-21 21:53:56.923990,0 days 00:00:10.766627,"[896, 896]",[],[],tanh,896,16,0.3,0.0001,L2,2,uniform,mean,1e-05
42,0.21839080459770113,PRUNED,2025-11-21 21:53:56.930485,2025-11-21 21:54:06.857616,0 days 00:00:09.927131,"[896, 896]",[],[],tanh,896,16,0.3,0.0001,L2,2,uniform,mean,1e-05
43,0.21839080459770113,PRUNED,2025-11-21 21:54:06.858731,2025-11-21 21:54:17.154767,0 days 00:00:10.296036,"[896, 896]",[],[],tanh,896,16,0.4,0.0001,L2,2,uniform,mean,1e-05
44,0.48612251526006406,COMPLETE,2025-11-21 21:54:17.155855,2025-11-21 21:54:53.064732,0 days 00:00:35.908877,"[896, 896]",[],[],gelu,896,16,0.3,0.0001,L2,2,uniform,mean,0.0001
45,0.38855484138503,PRUNED,2025-11-21 21:54:53.066739,2025-11-21 21:55:04.223132,0 days 00:00:11.156393,[896],[],[],gelu,896,16,0.3,0.0001,L2,1,uniform,mean,0.0001
46,0.21839080459770113,PRUNED,2025-11-21 21:55:04.224135,2025-11-21 21:55:08.498989,0 days 00:00:04.274854,"[896, 896]",[],[],gelu,896,96,0.3,0.0001,L2,2,uniform,mean,0.0001
47,0.21839080459770113,PRUNED,2025-11-21 21:55:08.500019,2025-11-21 21:55:10.335857,0 days 00:00:01.835838,"[256, 256, 256]",[],[],gelu,256,32,0.3,0.0001,L2,3,uniform,mean,0.0001
48,0.21637426900584797,PRUNED,2025-11-21 21:55:10.336575,2025-11-21 21:55:25.246549,0 days 00:00:14.909974,"[896, 896]",[],[],gelu,896,16,0.2,0.0005,L2,2,uniform,mean,0.0001
49,0.21238938053097345,PRUNED,2025-11-21 21:55:25.247552,2025-11-21 21:55:28.206448,0 days 00:00:02.958896,[768],[],[],gelu,768,128,0.4,0.0001,L2,1,uniform,mean,1e-05
