number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
10,0.4195,2025-08-21 20:26:58.422489,2025-08-21 20:27:29.795944,0 days 00:00:31.373455,leakyrelu,512,16,3,0.1,0.001,3,L2,3,,mean,False,1e-06,9.956541690163889e-05,COMPLETE,9.956541690163889e-05
11,0.4305,2025-08-21 20:27:29.802510,2025-08-21 20:27:53.002121,0 days 00:00:23.199611,gelu,512,32,0,0.1,0.001,1,minmax,0,,mean,False,1e-06,0.006309528352986195,COMPLETE,0.006309528352986195
12,0.423,2025-08-21 20:27:53.003121,2025-08-21 20:28:06.481572,0 days 00:00:13.478451,gelu,512,64,0,0.4,0.001,1,minmax,0,,mean,False,1e-06,0.051387372064341304,COMPLETE,0.051387372064341304
13,0.4178,2025-08-21 20:28:06.481572,2025-08-21 20:28:30.422980,0 days 00:00:23.941408,leakyrelu,512,32,1,0.1,0.001,1,minmax,0,,mean,False,1e-06,0.013955363024541229,COMPLETE,0.013955363024541229
14,0.4084,2025-08-21 20:28:30.423827,2025-08-21 20:28:40.223105,0 days 00:00:09.799278,gelu,512,128,0,0.1,0.001,1,minmax,0,,mean,False,1e-06,0.17484925926881587,COMPLETE,0.17484925926881587
15,0.4315,2025-08-21 20:28:40.225106,2025-08-21 20:29:05.743588,0 days 00:00:25.518482,relu,512,32,1,0.1,0.001,1,minmax,0,,mean,False,0.0001,0.016462520031420173,COMPLETE,0.016462520031420173
16,0.4424,2025-08-21 20:29:05.743588,2025-08-21 20:29:49.827728,0 days 00:00:44.084140,relu,512,16,1,0.4,0.001,1,minmax,0,,mean,False,0.0001,0.0504836192132959,COMPLETE,0.0504836192132959
17,0.4317,2025-08-21 20:29:49.828765,2025-08-21 20:30:33.710909,0 days 00:00:43.882144,relu,512,16,1,0.4,0.001,1,minmax,0,,mean,False,0.0001,0.03920331240371109,COMPLETE,0.03920331240371109
18,0.335,2025-08-21 20:30:33.711910,2025-08-21 20:31:32.657411,0 days 00:00:58.945501,silu,512,16,2,0.4,0.001,3,L2,2,,max,False,0.0001,0.8085802389111166,COMPLETE,0.8085802389111166
19,0.4382,2025-08-21 20:31:32.657411,2025-08-21 20:32:10.510059,0 days 00:00:37.852648,leakyrelu,512,16,2,0.4,0.001,2,minmax,1,,mean,False,0.0001,8.372785066914841e-05,COMPLETE,8.372785066914841e-05
20,0.4434,2025-08-21 20:32:10.512059,2025-08-21 20:33:11.904468,0 days 00:01:01.392409,relu,512,16,3,0.4,0.001,3,minmax,2,,mean,False,0.0001,0.0005492643330899081,COMPLETE,0.0005492643330899081
21,0.4296,2025-08-21 20:33:11.905480,2025-08-21 20:34:20.401927,0 days 00:01:08.496447,relu,512,16,3,0.4,0.001,3,minmax,2,,mean,False,0.0001,0.0012463462985213547,COMPLETE,0.0012463462985213547
22,0.3789,2025-08-21 20:34:20.403927,2025-08-21 20:35:21.578715,0 days 00:01:01.174788,relu,512,16,3,0.4,0.001,3,minmax,2,,mean,False,0.0001,0.04189196599863015,COMPLETE,0.04189196599863015
23,0.4328,2025-08-21 20:35:21.583155,2025-08-21 20:36:09.556868,0 days 00:00:47.973713,relu,512,16,2,0.4,0.001,2,minmax,1,,mean,False,0.0001,9.950496651233015e-05,COMPLETE,9.950496651233015e-05
24,0.4367,2025-08-21 20:36:09.557868,2025-08-21 20:37:10.750925,0 days 00:01:01.193057,relu,512,16,3,0.4,0.001,3,minmax,2,,mean,False,0.0,0.03520170947794362,COMPLETE,0.03520170947794362
25,0.4461,2025-08-21 20:37:10.752924,2025-08-21 20:37:46.215205,0 days 00:00:35.462281,leakyrelu,512,16,2,0.5,0.001,2,minmax,1,,mean,False,0.0001,9.916437962876672e-05,COMPLETE,9.916437962876672e-05
26,0.4138,2025-08-21 20:37:46.217205,2025-08-21 20:38:24.580736,0 days 00:00:38.363531,relu,512,16,2,0.5,0.001,2,L2,1,0.8,max,True,0.0001,8.874247903401074e-05,COMPLETE,8.874247903401074e-05
27,0.4355,2025-08-21 20:38:24.580736,2025-08-21 20:38:42.814303,0 days 00:00:18.233567,silu,512,64,3,0.5,0.001,3,minmax,3,,mean,False,0.0001,0.511672196280918,COMPLETE,0.511672196280918
28,0.3818,2025-08-21 20:38:42.816302,2025-08-21 20:39:37.910408,0 days 00:00:55.094106,tanh,128,16,1,0.5,1e-05,2,minmax,1,,mean,False,0.0001,0.8148411295804947,COMPLETE,0.8148411295804947
29,0.4144,2025-08-21 20:39:37.910408,2025-08-21 20:40:38.811646,0 days 00:01:00.901238,tanh,256,16,2,0.5,0.0001,3,minmax,2,,mean,False,0.0001,0.020799235729770167,COMPLETE,0.020799235729770167
