number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
12,0.4247,2025-08-21 20:16:48.491728,2025-08-21 20:17:06.334463,0 days 00:00:17.842735,leakyrelu,512,64,2,0.5,0.0001,2,L2,2,,mean,False,1e-06,0.0032257893694702454,COMPLETE,0.0032257893694702454
13,0.4248,2025-08-21 20:17:06.334463,2025-08-21 20:17:23.321858,0 days 00:00:16.987395,leakyrelu,512,64,0,0.3,0.0001,2,L2,2,,mean,False,1e-06,0.0013556537705764079,COMPLETE,0.0013556537705764079
14,0.4381,2025-08-21 20:17:23.322978,2025-08-21 20:18:23.139943,0 days 00:00:59.816965,leakyrelu,512,16,3,0.2,0.0001,3,minmax,3,,mean,False,1e-06,0.00017440785419748394,COMPLETE,0.00017440785419748394
15,0.4651,2025-08-21 20:18:23.140943,2025-08-21 20:18:39.260390,0 days 00:00:16.119447,silu,512,64,0,0.4,0.001,1,L2,0,,mean,False,1e-05,0.12145773975412179,COMPLETE,0.12145773975412179
16,0.4608,2025-08-21 20:18:39.261246,2025-08-21 20:18:55.232597,0 days 00:00:15.971351,gelu,512,64,0,0.4,0.001,1,L2,0,,mean,False,1e-05,0.11896251695428248,COMPLETE,0.11896251695428248
17,0.4627,2025-08-21 20:18:55.232597,2025-08-21 20:19:10.296098,0 days 00:00:15.063501,elu,512,64,0,0.4,0.001,1,L2,0,,mean,False,1e-06,0.049920751255041536,COMPLETE,0.049920751255041536
18,0.4432,2025-08-21 20:19:10.296098,2025-08-21 20:19:26.390508,0 days 00:00:16.094410,silu,128,64,0,0.4,0.001,1,L2,0,,mean,False,0.0,0.2567060133172768,COMPLETE,0.2567060133172768
19,0.439,2025-08-21 20:19:26.392105,2025-08-21 20:19:44.405008,0 days 00:00:18.012903,leakyrelu,512,64,0,0.4,0.001,1,L2,1,,mean,False,1e-06,0.00018602420291054838,COMPLETE,0.00018602420291054838
20,0.4631,2025-08-21 20:19:44.405008,2025-08-21 20:20:06.873610,0 days 00:00:22.468602,silu,512,64,3,0.4,0.001,3,L2,3,,mean,False,1e-05,0.003163533574239713,COMPLETE,0.003163533574239713
21,0.4352,2025-08-21 20:20:06.875610,2025-08-21 20:20:28.730404,0 days 00:00:21.854794,silu,512,64,3,0.4,0.001,3,L2,3,,mean,False,1e-05,0.0015200768354860915,COMPLETE,0.0015200768354860915
22,0.4423,2025-08-21 20:20:28.730404,2025-08-21 20:20:51.011275,0 days 00:00:22.280871,silu,512,64,3,0.4,0.001,3,L2,3,,mean,False,1e-05,0.002102244057665636,COMPLETE,0.002102244057665636
23,0.4396,2025-08-21 20:20:51.011275,2025-08-21 20:21:13.098860,0 days 00:00:22.087585,silu,512,64,3,0.4,0.001,3,L2,3,,mean,False,1e-05,0.0018666622983561259,COMPLETE,0.0018666622983561259
24,0.4383,2025-08-21 20:21:13.098860,2025-08-21 20:21:22.728076,0 days 00:00:09.629216,leakyrelu,512,128,2,0.4,0.001,2,L2,1,,mean,False,1e-05,8.822212364806096e-05,COMPLETE,8.822212364806096e-05
25,0.2485,2025-08-21 20:21:22.728076,2025-08-21 20:21:43.282644,0 days 00:00:20.554568,silu,128,64,2,0.1,1e-05,2,L2,2,,mean,False,1e-05,0.9655093452938117,COMPLETE,0.9655093452938117
26,0.3747,2025-08-21 20:21:43.282644,2025-08-21 20:21:58.605002,0 days 00:00:15.322358,elu,512,64,0,0.5,0.001,1,L2,0,0.8,max,True,1e-06,0.79971181349739,COMPLETE,0.79971181349739
27,0.4159,2025-08-21 20:21:58.605002,2025-08-21 20:22:21.069007,0 days 00:00:22.464005,gelu,512,64,3,0.3,0.001,3,L2,3,,mean,False,0.0,0.0004406431515796943,COMPLETE,0.0004406431515796943
28,0.4078,2025-08-21 20:22:21.069007,2025-08-21 20:22:41.608248,0 days 00:00:20.539241,tanh,512,64,1,0.4,1e-05,2,L2,1,,mean,False,1e-05,0.6959371639601287,COMPLETE,0.6959371639601287
29,0.4553,2025-08-21 20:22:41.609248,2025-08-21 20:22:55.169286,0 days 00:00:13.560038,leakyrelu,128,128,2,0.4,0.001,2,L2,2,,mean,False,0.0001,0.002098136493139616,COMPLETE,0.002098136493139616
