number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pooling,weight_decay
14,0.21839080459770113,PRUNED,2025-11-21 23:01:13.140190,2025-11-21 23:01:17.601475,0 days 00:00:04.461285,"[128, 256]",[],[],leakyrelu,256,48,0.0,0.0001,minmax,2,increasing,mean,0.0
15,0.4534125701332403,COMPLETE,2025-11-21 23:01:17.601475,2025-11-21 23:01:26.089520,0 days 00:00:08.488045,"[896, 896, 896, 896]",[1],[3],tanh,896,128,0.2,5e-05,minmax,4,uniform,mean,1e-05
16,0.21839080459770113,PRUNED,2025-11-21 23:01:26.089520,2025-11-21 23:01:27.273448,0 days 00:00:01.183928,"[1024, 512, 256, 128, 64]",[4],[3],silu,1024,96,0.3,1e-05,minmax,5,decreasing,mean,1e-06
17,0.4606204470928411,COMPLETE,2025-11-21 23:01:27.289211,2025-11-21 23:01:41.932292,0 days 00:00:14.643081,"[128, 128, 128]",[1],[1],relu,128,32,0.0,0.001,minmax,3,uniform,mean,0.0001
18,0.3822784175591892,COMPLETE,2025-11-21 23:01:41.932292,2025-11-21 23:01:52.520590,0 days 00:00:10.588298,"[512, 256, 128, 64]",[2],[2],leakyrelu,512,64,0.1,0.0002,minmax,4,decreasing,max,1e-05
19,0.42490260995836626,COMPLETE,2025-11-21 23:01:52.520590,2025-11-21 23:02:19.067650,0 days 00:00:26.547060,"[448, 896]",[],[],relu,896,32,0.0,2e-05,minmax,2,increasing,mean,0.0
20,0.37985815602836875,PRUNED,2025-11-21 23:02:19.069657,2025-11-21 23:02:23.604072,0 days 00:00:04.534415,"[256, 128, 64]",[1],[1],leakyrelu,256,64,0.1,2e-05,minmax,3,decreasing,mean,0.0
21,0.45485352639559123,COMPLETE,2025-11-21 23:02:23.604072,2025-11-21 23:02:43.510412,0 days 00:00:19.906340,"[128, 128, 128]",[1],[1],relu,128,32,0.0,0.001,minmax,3,uniform,mean,0.0001
22,0.4626379817467815,COMPLETE,2025-11-21 23:02:43.512426,2025-11-21 23:03:03.484417,0 days 00:00:19.971991,"[128, 128, 128]",[1],[1],relu,128,32,0.0,0.001,minmax,3,uniform,mean,0.0001
23,0.21839080459770113,PRUNED,2025-11-21 23:03:03.486426,2025-11-21 23:03:12.259524,0 days 00:00:08.773098,"[128, 128, 128]",[1],[1],relu,128,32,0.0,0.001,minmax,3,uniform,mean,0.0001
24,0.21839080459770113,PRUNED,2025-11-21 23:03:12.260527,2025-11-21 23:03:16.049685,0 days 00:00:03.789158,"[128, 128]",[],[],relu,128,32,0.0,0.0002,minmax,2,uniform,mean,0.0001
25,0.21839080459770113,PRUNED,2025-11-21 23:03:16.050689,2025-11-21 23:03:18.363209,0 days 00:00:02.312520,"[896, 896, 896, 896]",[2],[2],silu,896,96,0.5,0.001,minmax,4,uniform,mean,0.0001
26,0.2144927536231884,PRUNED,2025-11-21 23:03:18.368312,2025-11-21 23:03:21.862271,0 days 00:00:03.493959,"[256, 256, 256]",[1],[1],tanh,256,128,0.3,0.0005,L2,3,uniform,max,1e-05
27,0.36945304437564497,PRUNED,2025-11-21 23:03:21.862271,2025-11-21 23:03:29.696618,0 days 00:00:07.834347,"[1024, 1024, 1024, 1024, 1024]",[3],[4],elu,1024,48,0.2,0.0001,minmax,5,uniform,mean,1e-06
28,0.1761006289308176,PRUNED,2025-11-21 23:03:29.696618,2025-11-21 23:03:34.858508,0 days 00:00:05.161890,"[64, 128, 256, 512]",[2],[2],leakyrelu,512,64,0.1,5e-05,minmax,4,increasing,mean,0.0001
29,0.21839080459770113,PRUNED,2025-11-21 23:03:34.859511,2025-11-21 23:03:41.802479,0 days 00:00:06.942968,"[768, 384, 192]",[],[1],elu,768,16,0.4,0.0002,L2,3,decreasing,mean,1e-05
30,0.21839080459770113,PRUNED,2025-11-21 23:03:41.803527,2025-11-21 23:03:43.642477,0 days 00:00:01.838950,"[384, 384]",[],[],relu,384,32,0.0,1e-05,minmax,2,uniform,mean,0.0
31,0.21839080459770113,PRUNED,2025-11-21 23:03:43.643483,2025-11-21 23:03:51.935859,0 days 00:00:08.292376,"[128, 128, 128]",[1],[1],relu,128,32,0.0,0.001,minmax,3,uniform,mean,0.0001
32,0.21839080459770113,PRUNED,2025-11-21 23:03:51.936862,2025-11-21 23:04:01.327802,0 days 00:00:09.390940,"[128, 128, 128]",[1],[1],relu,128,32,0.0,0.001,minmax,3,uniform,mean,0.0001
33,0.21839080459770113,PRUNED,2025-11-21 23:04:01.328805,2025-11-21 23:04:05.597124,0 days 00:00:04.268319,"[128, 128, 128]",[1],[1],relu,128,32,0.0,0.001,minmax,3,uniform,mean,0.0001
34,0.21839080459770113,PRUNED,2025-11-21 23:04:05.597537,2025-11-21 23:04:08.081090,0 days 00:00:02.483553,"[256, 256, 256]",[1],[1],gelu,256,32,0.5,2e-05,minmax,3,uniform,max,0.0001
35,0.46190605106129173,COMPLETE,2025-11-21 23:04:08.082102,2025-11-21 23:04:35.067185,0 days 00:00:26.985083,"[128, 128, 128, 128]",[2],[2],relu,128,32,0.0,0.001,minmax,4,uniform,mean,0.0
36,0.21839080459770113,PRUNED,2025-11-21 23:04:35.069192,2025-11-21 23:04:40.345392,0 days 00:00:05.276200,"[384, 384, 384, 384, 384]",[3],[3],elu,384,16,0.0,0.0002,L2,5,uniform,max,0.0
37,0.4651282127970857,COMPLETE,2025-11-21 23:04:40.345392,2025-11-21 23:04:53.979369,0 days 00:00:13.633977,"[64, 112, 224, 448, 896]",[4],[2],gelu,896,96,0.4,0.001,minmax,5,increasing,mean,0.0
38,0.18238993710691823,PRUNED,2025-11-21 23:04:53.979369,2025-11-21 23:05:03.341313,0 days 00:00:09.361944,"[64, 112, 224, 448, 896]",[4],[3],gelu,896,96,0.4,0.0005,L2,5,increasing,mean,0.0
39,0.21839080459770113,PRUNED,2025-11-21 23:05:03.342401,2025-11-21 23:05:04.859093,0 days 00:00:01.516692,"[64, 112, 224, 448, 896]",[3],[4],gelu,896,96,0.4,2e-05,minmax,5,increasing,max,0.0
40,0.45660280971691974,COMPLETE,2025-11-21 23:05:04.859093,2025-11-21 23:05:18.864860,0 days 00:00:14.005767,"[64, 112, 224, 448, 896]",[4],[2],gelu,896,96,0.4,0.0002,minmax,5,increasing,mean,0.0
41,0.46726406784768776,COMPLETE,2025-11-21 23:05:18.864860,2025-11-21 23:05:30.422755,0 days 00:00:11.557895,"[64, 64, 64, 128]",[2],[2],gelu,128,96,0.4,0.001,minmax,4,increasing,mean,0.0
42,0.21839080459770113,PRUNED,2025-11-21 23:05:30.424761,2025-11-21 23:05:32.879442,0 days 00:00:02.454681,"[64, 96, 192, 384, 768]",[3],[2],gelu,768,96,0.4,0.001,minmax,5,increasing,mean,0.0
43,0.46955642261765174,COMPLETE,2025-11-21 23:05:32.880314,2025-11-21 23:05:43.229386,0 days 00:00:10.349072,"[64, 64, 128, 256]",[2],[2],gelu,256,96,0.4,0.001,minmax,4,increasing,mean,0.0
44,0.47607680494353116,COMPLETE,2025-11-21 23:05:43.231394,2025-11-21 23:05:55.226657,0 days 00:00:11.995263,"[64, 64, 128, 256]",[2],[2],gelu,256,96,0.4,0.001,minmax,4,increasing,mean,0.0
45,0.4810564878582707,COMPLETE,2025-11-21 23:05:55.228663,2025-11-21 23:06:06.621317,0 days 00:00:11.392654,"[64, 64, 128, 256]",[2],[2],gelu,256,96,0.4,0.001,minmax,4,increasing,mean,0.0
46,0.4717667339074426,COMPLETE,2025-11-21 23:06:06.622321,2025-11-21 23:06:20.345571,0 days 00:00:13.723250,"[64, 64, 128, 256]",[2],[2],gelu,256,96,0.4,0.001,minmax,4,increasing,mean,0.0
47,0.4746932383246234,COMPLETE,2025-11-21 23:06:20.345571,2025-11-21 23:06:33.930033,0 days 00:00:13.584462,"[64, 64, 128, 256]",[2],[2],gelu,256,96,0.4,0.001,minmax,4,increasing,mean,0.0
48,0.4919500053970885,COMPLETE,2025-11-21 23:06:33.931037,2025-11-21 23:06:47.919671,0 days 00:00:13.988634,"[64, 64, 128, 256]",[2],[2],gelu,256,96,0.4,0.001,minmax,4,increasing,mean,0.0
49,0.21839080459770113,PRUNED,2025-11-21 23:06:47.921687,2025-11-21 23:06:49.300641,0 days 00:00:01.378954,"[64, 64, 128, 256]",[2],[2],gelu,256,96,0.4,0.001,L2,4,increasing,mean,0.0
