id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,norm,dropout,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
30,20251219_172111,gln_93steps_concat.csv,Preset_6,TCN,42,512,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,minmax,"[0.05, 0.1]",64,AdamW,,0.0001,5e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13781,1.90658,0.45455,0.34291,"[0.55814, 0.0, 0.47059]",311,0.16985,2.00967,0.5,0.3684,"[0.59091, 0.0, 0.51429]",264,COMPLETED,39.894

31,20251219_172111,baseline_31steps_concat.csv,Preset_7,TCN,42,512,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,minmax,"[0.0, 0.1, 0.1]",96,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1486,3.10652,0.34091,0.29286,"[0.45, 0.0, 0.42857]",266,0.50515,2.23975,0.52273,0.44162,"[0.5641, 0.18182, 0.57895]",142,COMPLETED,20.775
32,20251219_172111,gaitgl_64steps_concat.csv,Preset_7,TCN,42,768,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,minmax,"[0.0, 0.1, 0.1]",96,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12195,2.69216,0.45455,0.3902,"[0.47059, 0.2, 0.5]",182,0.37912,1.97723,0.52273,0.4762,"[0.52632, 0.30769, 0.59459]",129,COMPLETED,24.246
33,20251219_172111,gaitpart_16steps_concat.csv,Preset_7,TCN,42,512,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,minmax,"[0.0, 0.1, 0.1]",96,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12958,2.12663,0.45455,0.41095,"[0.53333, 0.28571, 0.41379]",399,0.27924,1.75667,0.59091,0.53743,"[0.6, 0.36364, 0.64865]",261,COMPLETED,25.511
34,20251219_172111,gaitset_62steps_concat.csv,Preset_7,TCN,42,768,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,minmax,"[0.0, 0.1, 0.1]",96,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1216,1.77948,0.5,0.43894,"[0.63636, 0.26667, 0.41379]",287,0.12492,1.92193,0.52273,0.46825,"[0.61905, 0.28571, 0.5]",286,COMPLETED,37.608
35,20251219_172111,gln_93steps_concat.csv,Preset_7,TCN,42,512,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,minmax,"[0.0, 0.1, 0.1]",96,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13559,2.53638,0.38636,0.29128,"[0.56, 0.15385, 0.16]",335,0.22525,3.23669,0.47727,0.47032,"[0.54545, 0.42105, 0.44444]",284,COMPLETED,49.823

36,20251219_172111,baseline_31steps_concat.csv,Preset_8,TCN,42,512,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12113,3.3427,0.40909,0.3487,"[0.34286, 0.16667, 0.53659]",143,0.30442,2.27815,0.5,0.42646,"[0.52381, 0.2, 0.55556]",106,COMPLETED,19.06
37,20251219_172111,gaitgl_64steps_concat.csv,Preset_8,TCN,42,768,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1244,1.69524,0.38636,0.38031,"[0.48485, 0.28571, 0.37037]",116,0.24464,1.83044,0.56818,0.51468,"[0.60606, 0.33333, 0.60465]",103,COMPLETED,25.481
