id,timestamp,target_embedding,source_params,model,seed,channels,dilations,ln_block_end,dropout,num_blocks,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,input_dim,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
20,20251203_234140,gaitpart_GREW.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.04158,2.94832,0.47727,0.43607,"[0.54054, 0.22222, 0.54545]",0.61364,0.50271,"[0.7234, 0.22222, 0.5625]",42,0.27749,1.64032,60,COMPLETED,17.909
21,20251203_234140,gaitpart_OUMVLP.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.05442,1.71234,0.61364,0.44757,"[0.69565, 0.0, 0.64706]",0.68182,0.60888,"[0.73913, 0.4, 0.6875]",94,0.33388,1.14029,129,COMPLETED,38.994
22,20251203_234140,gaitset.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.01327,3.6285,0.36364,0.29894,"[0.57143, 0.11111, 0.21429]",0.5,0.41849,"[0.59574, 0.22222, 0.4375]",39,0.39855,1.45645,64,COMPLETED,19.592
23,20251203_234140,gaitset_GREW.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.04275,2.87978,0.38636,0.36052,"[0.22222, 0.23077, 0.62857]",0.59091,0.57864,"[0.57143, 0.54545, 0.61905]",45,0.37582,1.31047,63,COMPLETED,19.255
24,20251203_234140,gaitset_OUMVLP.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.03217,2.5282,0.47727,0.47222,"[0.5, 0.41667, 0.5]",0.65909,0.58927,"[0.73077, 0.44444, 0.59259]",126,0.40131,1.22911,176,COMPLETED,53.617
25,20251203_234140,gln_phase1.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.03082,3.94066,0.36364,0.33264,"[0.47619, 0.17391, 0.34783]",0.5,0.44815,"[0.57778, 0.26667, 0.5]",55,0.1693,1.92704,68,COMPLETED,21.447
26,20251203_234140,gln_phase2.csv,baseline_OUMVLP,TCN,42,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.2, 0.0]",4,3,2,prelu,False,True,mean,256,16,AdamW,,0.0001,0.0,L2,256,0.09187,2.67935,0.40909,0.40544,"[0.52941, 0.2069, 0.48]",0.5,0.45489,"[0.5, 0.28571, 0.57895]",51,0.15028,1.95594,59,COMPLETED,18.406

27,20251203_234646,baseline_CASIAB.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,0.09732,2.50342,0.40909,0.35366,"[0.45, 0.15385, 0.45714]",0.5,0.48841,"[0.56522, 0.5, 0.4]",368,0.14817,2.32746,382,COMPLETED,52.165
28,20251203_234646,baseline_OUMVLP.csv,gaitgl,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[0.0, 0.0, 0.0]",3,2,2,leakyrelu,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,256,0.07552,1.82548,0.45455,0.35609,"[0.47368, 0.0, 0.59459]",0.59091,0.53695,"[0.62222, 0.36364, 0.625]",343,0.21834,1.3776,463,COMPLETED,62.947
