id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,norm,dropout,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
33,20251219_172111,gaitpart_16steps_mean.csv,Preset_7,TCN,42,256,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,minmax,"[0.0, 0.1, 0.1]",96,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13624,2.3747,0.45455,0.39132,"[0.48485, 0.125, 0.5641]",550,0.20008,2.31732,0.59091,0.49346,"[0.66667, 0.16667, 0.64706]",525,COMPLETED,39.154
34,20251219_172111,gaitset_62steps_mean.csv,Preset_7,TCN,42,256,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,minmax,"[0.0, 0.1, 0.1]",96,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14168,1.72521,0.5,0.4521,"[0.6, 0.28571, 0.47059]",390,0.74356,1.21721,0.54545,0.54596,"[0.6087, 0.61538, 0.41379]",171,COMPLETED,47.397
35,20251219_172111,gln_93steps_mean.csv,Preset_7,TCN,42,256,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,minmax,"[0.0, 0.1, 0.1]",96,AdamW,,0.0002,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14346,2.41169,0.47727,0.40918,"[0.66667, 0.3, 0.26087]",284,0.33163,2.01229,0.52273,0.50771,"[0.51613, 0.46154, 0.54545]",188,COMPLETED,43.836

36,20251219_172111,baseline_31steps_mean.csv,Preset_8,TCN,42,256,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11465,2.73076,0.5,0.46316,"[0.46154, 0.33333, 0.59459]",157,0.63128,1.33665,0.56818,0.47646,"[0.63415, 0.16667, 0.62857]",65,COMPLETED,25.717
37,20251219_172111,gaitgl_64steps_mean.csv,Preset_8,TCN,42,256,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12109,1.87877,0.43182,0.42047,"[0.41379, 0.33333, 0.51429]",92,0.12631,1.4249,0.52273,0.49245,"[0.57895, 0.35294, 0.54545]",89,COMPLETED,21.827
38,20251219_172111,gaitpart_16steps_mean.csv,Preset_8,TCN,42,256,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10935,1.87515,0.47727,0.40476,"[0.5, 0.14286, 0.57143]",353,0.51996,1.26138,0.59091,0.56209,"[0.7027, 0.42105, 0.5625]",178,COMPLETED,45.149
39,20251219_172111,gaitset_62steps_mean.csv,Preset_8,TCN,42,256,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12263,3.04362,0.31818,0.3154,"[0.3871, 0.21429, 0.34483]",332,0.23027,2.1755,0.54545,0.50594,"[0.65116, 0.4, 0.46667]",276,COMPLETED,77.326
40,20251219_172111,gln_93steps_mean.csv,Preset_8,TCN,42,256,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12238,1.46174,0.5,0.37407,"[0.62222, 0.0, 0.5]",152,0.18866,1.46927,0.61364,0.43685,"[0.73913, 0.0, 0.57143]",134,COMPLETED,46.405

41,20251219_172111,baseline_31steps_mean.csv,Preset_9,TCN,42,256,"[320, 448, 576, 448, 320]","[1, 2, 3, 4, 5]",9,2,mish,True,True,False,max,256,minmax,"[0.0, 0.1, 0.1, 0.15, 0.2]",48,Adam,,3e-05,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12519,2.17456,0.45455,0.33721,"[0.51163, 0.0, 0.5]",184,0.16756,2.33181,0.52273,0.44246,"[0.57895, 0.15385, 0.59459]",170,COMPLETED,60.37
