id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
64,20251206_154652,gln_phase1.csv,Best_configs_v3,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,0.0,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14556,1.38952,0.61364,0.55366,"[0.65217, 0.36364, 0.64516]",0.63636,0.62328,"[0.62857, 0.55556, 0.68571]",24.0,0.57946,0.96217,462.0,STOPPED,88.79
65,20251206_154811,gln_phase2.csv,Best_configs_v3,TCN,42,256,1,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,0.0,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14373,1.61558,0.45455,0.33623,"[0.6087, 0.0, 0.4]",0.61364,0.57463,"[0.68421, 0.42857, 0.61111]",69.0,0.19087,2.14169,401.0,STOPPED,77.675

105,20251206_100752,baseline_CASIAB.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14193,1.42401,0.54545,0.48406,"[0.65217, 0.33333, 0.46667]",0.59091,0.53822,"[0.65217, 0.4, 0.5625]",220.0,0.14328,1.33899,470.0,STOPPED,146.70776
106,20251206_100934,baseline_OUMVLP.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14279,2.02133,0.45455,0.38194,"[0.3125, 0.25, 0.58333]",0.59091,0.54467,"[0.58537, 0.4, 0.64865]",56.0,0.47812,1.41465,328.0,STOPPED,101.58463
107,20251206_101202,gaitgl.csv,Best_configs_v3,TCN,42,128,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14121,1.81599,0.38636,0.25862,"[0.5, 0.0, 0.27586]",0.45455,0.39276,"[0.51163, 0.22222, 0.44444]",28.0,0.60846,1.38026,486.0,STOPPED,146.59394
108,20251206_101341,gaitgl_GREW.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14363,1.4012,0.5,0.48504,"[0.55556, 0.34783, 0.55172]",0.59091,0.52778,"[0.65, 0.26667, 0.66667]",217.0,0.14265,1.18827,315.0,STOPPED,97.64287
109,20251206_101558,gaitgl_GREW_BNNeck.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14205,1.88439,0.40909,0.34121,"[0.54545, 0.13333, 0.34483]",0.54545,0.46275,"[0.57778, 0.22222, 0.58824]",44.0,0.53647,1.33792,438.0,STOPPED,135.93001
110,20251206_101820,gaitgl_OUMVLP.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14282,1.15621,0.56818,0.50029,"[0.68182, 0.28571, 0.53333]",0.59091,0.52628,"[0.68293, 0.30769, 0.58824]",400.0,0.14206,1.13528,450.0,STOPPED,141.00762
111,20251206_102038,gaitpart_GREW.csv,Best_configs_v3,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256.0,16,AdamW,0.0,0.0001,0.0,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.143,1.60374,0.45455,0.39908,"[0.60465, 0.22222, 0.37037]",0.56818,0.54824,"[0.65, 0.47619, 0.51852]",341.0,0.14197,1.62721,463.0,STOPPED,137.26061
