channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,dropout,ln_block_end,source_params
"[384, 384, 384, 384]","[1, 2, 4, 8]",7,2,gelu,True,True,attention,384.0,64,AdamW,,0.00016,0.0001,L2,"[0.05, 0.1, 0.1, 0.15]","[True, True, True, True]",tcn_results_v2.csv
"[384, 512, 640]","[1, 2, 3]",11,1,silu,True,True,mean,,128,AdamW,,0.0002,5e-05,L2,"[0.1, 0.1, 0.1]","[True, True, False]",tcn_results_v2.csv
"[224, 224, 224]","[1, 3, 9]",9,2,silu,True,True,attention,256.0,96,AdamW,,0.0003,5e-05,L2,"[0.1, 0.1, 0.2]","[True, True, True]",tcn_results_v2.csv
"[160, 224, 288]","[1, 2, 4]",7,2,gelu,False,True,attention,256.0,96,AdamW,,0.0002,1e-05,L2,"[None, 0.1, 0.2]","[False, True, True]",tcn_results_v2.csv
"[256, 256, 256, 256]","[1, 2, 4, 8]",9,3,gelu,True,True,max,128.0,128,AdamW,,0.0002,0.0001,L2,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",tcn_results_v2.csv
"[256, 384, 512]","[1, 2, 4]",7,2,gelu,True,True,mean,256.0,48,AdamW,,0.0005,0.0,,"[0.1, 0.1, 0.1]","[False, False, False]",tcn_results_v2.csv
[512],[1],7,1,relu,False,False,attention,256.0,16,Adam,,0.0005,1e-06,L2,[0.1],[False],tcn_results_v1_Optuna.csv
[256],[1],7,2,hardswish,False,False,last,128.0,16,AdamW,,0.001,1e-06,L2,[0.3],[False],tcn_results_v1_Optuna.csv
"[256, 256, 256, 256]","[1, 2, 4, 8]",7,2,gelu,True,True,mean,128.0,128,AdamW,,0.0002,5e-05,L2,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",tcn_results_v2.csv
"[160, 192, 224, 256, 320, 384]","[1, 2, 4, 8, 16, 32]",5,2,gelu,True,True,attention,256.0,96,AdamW,,0.0001,1e-05,L2,"[None, 0.1, 0.1, 0.2, 0.2, 0.2]","[True, True, True, True, True, True]",tcn_results_v2.csv
"[384, 512, 640]","[1, 2, 4]",7,2,silu,True,False,attention,384.0,32,AdamW,,0.0004,0.0,,"[0.15, 0.1, 0.1]","[True, False, True]",tcn_results_v2.csv
"[384, 512, 512]","[1, 2, 4]",5,2,gelu,True,True,attention,512.0,32,AdamW,,0.0002,0.0,,"[0.1, 0.1, 0.05]","[True, True, False]",tcn_results_v2.csv
"[384, 512, 640]","[1, 2, 4]",5,3,gelu,True,True,attention,384.0,64,AdamW,,0.00015,0.0,,"[0.05, 0.1, 0.1]","[True, True, True]",tcn_results_v2.csv
"[192, 256, 320, 384]","[1, 2, 4, 8]",5,3,gelu,True,True,mean,192.0,128,AdamW,,0.0001,1e-05,L2,"[None, 0.1, 0.1, 0.2]","[True, True, True, False]",tcn_results_v2.csv
"[448, 576]","[1, 4]",11,3,leakyrelu,True,True,max,256.0,96,AdamW,,0.0002,5e-05,L2,"[0.2, 0.2]","[True, True]",tcn_results_v2.csv
"[320, 384]","[1, 2]",11,2,silu,True,True,attention,256.0,96,AdamW,,0.0002,5e-05,L2,"[0.1, 0.2]","[True, True]",tcn_results_v2.csv
"[128, 128, 128, 128]","[1, 2, 4, 8]",5,3,silu,True,True,attention,192.0,128,AdamW,,0.00025,0.0,,"[None, 0.1, 0.1, 0.15]","[True, True, True, True]",tcn_results_v2.csv
"[192, 256, 320]","[1, 2, 4]",9,2,gelu,True,True,attention,256.0,96,AdamW,,0.0002,5e-05,L2,"[0.1, 0.1, 0.2]","[True, True, True]",tcn_results_v2.csv
"[160, 192, 224, 256, 320]","[1, 2, 3, 5, 9]",3,2,gelu,True,True,attention,256.0,96,AdamW,,0.0001,5e-05,L2,"[None, 0.1, 0.1, 0.1, 0.2]","[True, True, True, True, True]",tcn_results_v2.csv
"[224, 256, 320]","[1, 2, 4]",5,2,gelu,True,True,attention,256.0,96,AdamW,,0.0002,5e-05,L2,"[None, 0.1, 0.2]","[True, True, True]",tcn_results_v2.csv
"[256, 320]","[1, 2]",11,1,silu,False,True,max,,96,AdamW,,0.0001,5e-05,L2,"[0.1, 0.2]","[False, True]",tcn_results_v2.csv
"[320, 480, 640]","[1, 2, 8]",7,2,silu,True,True,mean,256.0,48,SGD,0.0,0.006,0.0,,"[0.15, 0.1, 0.1]","[False, True, False]",tcn_results_v2.csv
"[256, 384, 512, 768]","[1, 2, 4, 8]",9,2,gelu,True,False,attention,384.0,32,AdamW,,0.0003,0.0,,"[0.1, 0.1, 0.1, 0.15]","[False, False, True, True]",tcn_results_v2.csv
"[256, 256, 384, 512]","[1, 2, 4, 8]",5,2,gelu,True,False,attention,256.0,32,AdamW,,0.0003,0.0,,"[0.05, 0.05, 0.1, 0.1]","[False, False, False, False]",tcn_results_v2.csv
"[192, 224, 256, 320]","[1, 2, 4, 4]",9,2,gelu,True,True,last,256.0,96,AdamW,,0.0002,5e-05,L2,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",tcn_results_v2.csv
"[192, 256, 320]","[1, 2, 8]",7,3,leakyrelu,True,True,attention,384.0,96,AdamW,,0.0002,5e-05,L2,"[0.1, 0.2, 0.2]","[True, True, True]",tcn_results_v2.csv
"[256, 256]","[2, 3]",9,1,relu,False,True,max,64.0,96,RMSprop,,0.0001,1e-05,L2,"[None, 0.2]","[True, True]",tcn_results_v1_Optuna.csv
"[160, 192, 224, 256, 320, 384]","[1, 2, 3, 4, 6, 9]",3,2,gelu,True,True,attention,256.0,96,AdamW,,0.0001,1e-05,L2,"[None, 0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, True, True, True]",tcn_results_v2.csv
"[256, 384]","[1, 4]",9,3,gelu,True,True,attention,,96,AdamW,,0.0002,5e-05,L2,"[0.2, 0.2]","[True, True]",tcn_results_v2.csv
