id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
262,baseline_OUMVLP.csv,0.50977,0.53333,0.02356,0.651 / 0.235 / 0.643,0.500 / 0.500 / 0.600,-0.151 / 0.265 / -0.043
263,gaitgl.csv,0.38911,0.41431,0.0252,0.533 / 0.222 / 0.412,0.412 / 0.286 / 0.545,-0.122 / 0.063 / 0.134
264,gaitgl_GREW.csv,0.4579,0.58687,0.12897,0.679 / 0.250 / 0.444,0.595 / 0.571 / 0.595,-0.085 / 0.321 / 0.150
265,gaitgl_GREW_BNNeck.csv,0.48841,0.46232,-0.02609,0.565 / 0.400 / 0.500,0.667 / 0.182 / 0.538,0.101 / -0.218 / 0.038
266,gaitgl_OUMVLP.csv,0.54848,0.3988,-0.14968,0.562 / 0.400 / 0.683,0.462 / 0.250 / 0.485,-0.101 / -0.150 / -0.198
267,gaitpart_GREW.csv,0.55059,0.6126,0.06201,0.717 / 0.500 / 0.435,0.711 / 0.588 / 0.538,-0.006 / 0.088 / 0.104
268,gaitpart_OUMVLP.csv,0.5,0.54529,0.04529,0.667 / 0.333 / 0.500,0.683 / 0.353 / 0.600,0.016 / 0.020 / 0.100
269,gaitset.csv,0.35006,0.44033,0.09027,0.615 / 0.000 / 0.435,0.605 / 0.154 / 0.562,-0.011 / 0.154 / 0.128
270,gaitset_GREW.csv,0.44463,0.5482,0.10357,0.585 / 0.222 / 0.526,0.667 / 0.353 / 0.625,0.081 / 0.131 / 0.099
271,gaitset_OUMVLP.csv,0.58481,0.58104,-0.00377,0.638 / 0.600 / 0.516,0.698 / 0.500 / 0.545,0.059 / -0.100 / 0.029
272,gln_phase1.csv,0.54241,0.51099,-0.03142,0.667 / 0.444 / 0.516,0.606 / 0.316 / 0.611,-0.061 / -0.129 / 0.095
273,gln_phase2.csv,0.60471,0.58811,-0.0166,0.611 / 0.571 / 0.632,0.698 / 0.400 / 0.667,0.087 / -0.171 / 0.035
300,baseline_CASIAB.csv,0.4579,0.42679,-0.03111,0.679 / 0.250 / 0.444,0.558 / 0.222 / 0.500,-0.121 / -0.028 / 0.056
301,baseline_OUMVLP.csv,0.55758,0.53732,-0.02026,0.667 / 0.400 / 0.606,0.564 / 0.364 / 0.684,-0.103 / -0.036 / 0.078
302,gaitgl.csv,0.42857,0.34815,-0.08042,0.667 / 0.333 / 0.286,0.578 / 0.000 / 0.467,-0.089 / -0.333 / 0.181
303,gaitgl_GREW.csv,0.51508,0.43333,-0.08175,0.629 / 0.250 / 0.667,0.600 / 0.200 / 0.500,-0.029 / -0.050 / -0.167
304,gaitgl_GREW_BNNeck.csv,0.47844,0.42088,-0.05756,0.634 / 0.222 / 0.579,0.578 / 0.200 / 0.485,-0.056 / -0.022 / -0.094
