id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
206,20251011_211257,gaitset_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.00739,0.47727,174,0.21538,0.21538,174,,STOPPED,58.31
207,20251011_211257,gln_phase1.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.00627,0.47727,117,0.21538,0.21538,117,,STOPPED,54.905
208,20251011_211257,gln_phase2.csv,Personalizado_v2,TCN,42,256,4,"[224, 320, 448, 576]","[1, 3, 5, 9]",5,2,gelu,True,True,"[0.1, 0.1, 0.2, 0.2]","[True, True, True, True]",attention,192,96,AdamW,,0.0003,5e-05,minmax,1.00585,0.47727,138,0.21538,0.21538,138,,STOPPED,64.918

209,20251011_211257,baseline_CASIAB.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,0.06233,0.40909,109,0.3046,0.47294,100,0.05849,COMPLETED,30.971
210,20251011_211257,baseline_OUMVLP.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,0.03962,0.5,302,0.36179,0.48231,301,0.04767,COMPLETED,85.627
211,20251011_211257,gaitgl.csv,Personalizado_v2,TCN,42,128,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,0.00621,0.45455,98,0.37718,0.45507,88,0.24868,COMPLETED,45.825
212,20251011_211257,gaitgl_GREW.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,0.02067,0.52273,66,0.42608,0.48914,64,0.05432,COMPLETED,31.615
213,20251011_211257,gaitgl_GREW_BNNeck.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,0.05292,0.36364,167,0.31123,0.48175,152,0.16082,COMPLETED,79.746
214,20251011_211257,gaitgl_OUMVLP.csv,Personalizado_v2,TCN,42,256,5,"[256, 320, 384, 448, 512]","[1, 2, 3, 4, 6]",7,2,leakyrelu,True,True,"[0.1, 0.1, 0.1, 0.2, 0.2]","[True, True, True, False, False]",max,128,128,AdamW,,0.0002,0.0001,L2,1.00701,0.47727,196,0.21538,0.21538,196,,STOPPED,93.488
