id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,time_sec
26,20251009_124637,gln_phase2.csv,baseline_OUMVLP.csv,TCN,42,256,4,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[None, None, 0.2, None]","[False, True, False, False]",mean,256,16,AdamW,,0.0001,0.0,L2,0.0084,0.38636,67,0.35974,0.50899,49,0.2682,COMPLETED,13.931

27,20251009_125024,baseline_CASIAB.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.03926,0.34091,497,0.29464,0.44821,311,0.29882,COMPLETED,130.522
28,20251009_125024,baseline_OUMVLP.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.04583,0.43182,569,0.35185,0.49697,375,0.28347,COMPLETED,151.596
29,20251009_125024,gaitgl.csv,gaitgl.csv,TCN,42,128,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.04588,0.36364,283,0.27273,0.3801,187,0.34254,COMPLETED,106.54
30,20251009_125024,gaitgl_GREW.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.0404,0.5,283,0.37066,0.48305,251,0.06896,COMPLETED,109.93
31,20251009_125024,gaitgl_GREW_BNNeck.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.27048,0.54545,703,0.49046,0.59591,656,0.21924,STOPPED,272.612
32,20251009_125024,gaitgl_OUMVLP.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.63003,0.38636,422,0.27368,0.27368,422,,STOPPED,163.898
33,20251009_125024,gaitpart_GREW.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.04253,0.40909,462,0.37742,0.47677,388,0.14174,COMPLETED,70.914
34,20251009_125024,gaitpart_OUMVLP.csv,gaitgl.csv,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,,1e-05,2e-06,minmax,0.04145,0.65909,935,0.62077,0.68608,796,0.11475,COMPLETED,143.255
