id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,norm,dropout,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
33,20251231_162905,gaitpart_GREW_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12046,3.03723,0.40909,0.40744,"[0.42105, 0.41667, 0.38462]",152,0.36047,1.66558,0.5,0.46637,"[0.60465, 0.52174, 0.27273]",107,COMPLETED,18.352
34,20251231_162905,gaitpart_OUMVLP_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11019,2.03849,0.52273,0.47049,"[0.61538, 0.26667, 0.52941]",623,0.33598,1.81375,0.59091,0.55093,"[0.66667, 0.375, 0.61111]",583,COMPLETED,76.296
35,20251231_162905,gaitset_GREW_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13956,2.29014,0.47727,0.4741,"[0.47059, 0.4, 0.55172]",201,0.27157,2.31471,0.54545,0.545,"[0.48485, 0.55556, 0.59459]",165,COMPLETED,38.012
36,20251231_162905,gaitset_OUMVLP_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11926,2.40753,0.40909,0.34758,"[0.4, 0.15385, 0.48889]",631,0.19753,1.72006,0.52273,0.48056,"[0.66667, 0.375, 0.4]",613,COMPLETED,119.176
37,20251231_162905,gaitset_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11863,2.2947,0.40909,0.38066,"[0.45714, 0.2, 0.48485]",133,0.21201,2.5317,0.45455,0.42728,"[0.57895, 0.31579, 0.3871]",106,COMPLETED,25.433
38,20251231_162905,gln_phase1_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12428,1.30951,0.56818,0.47041,"[0.68182, 0.2, 0.52941]",163,0.14367,1.24919,0.63636,0.59766,"[0.73684, 0.46154, 0.59459]",133,COMPLETED,38.055
39,20251231_162905,gln_phase2_TOP70.csv,70%,Preset_3,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,minmax,"[None, 0.05, 0.1, 0.1]",96,AdamW,,0.00015,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12567,1.84839,0.54545,0.51183,"[0.57143, 0.35294, 0.61111]",137,0.15045,1.60242,0.56818,0.5379,"[0.65217, 0.5, 0.46154]",124,COMPLETED,32.21

40,20251231_162905,baseline_CASIAB_TOP70.csv,70%,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1155,2.27707,0.45455,0.38393,"[0.57143, 0.14286, 0.4375]",267,0.22128,2.07058,0.5,0.44537,"[0.63415, 0.23529, 0.46667]",226,COMPLETED,26.297
41,20251231_162905,baseline_OUMVLP_TOP70.csv,70%,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1029,2.13909,0.45455,0.32883,"[0.5, 0.0, 0.48649]",421,0.68004,1.21238,0.61364,0.60489,"[0.59459, 0.57143, 0.64865]",234,COMPLETED,41.027
42,20251231_162905,gaitgl_GREW_BNNeck_TOP70.csv,70%,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10638,2.11254,0.43182,0.30605,"[0.56522, 0.0, 0.35294]",305,0.2822,1.65967,0.47727,0.45808,"[0.42424, 0.4, 0.55]",258,COMPLETED,40.862
43,20251231_162905,gaitgl_GREW_TOP70.csv,70%,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11996,1.79226,0.40909,0.29181,"[0.53061, 0.0, 0.34483]",251,0.66147,1.98136,0.43182,0.38896,"[0.63158, 0.34483, 0.19048]",215,COMPLETED,33.644
44,20251231_162905,gaitgl_OUMVLP_TOP70.csv,70%,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10544,1.08436,0.47727,0.21538,"[0.64615, 0.0, 0.0]",157,1.10544,1.08436,0.47727,0.21538,"[0.64615, 0.0, 0.0]",157,STOPPED,20.936
45,20251231_162905,gaitgl_TOP70.csv,70%,Preset_4,TCN,42,128,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11564,1.89531,0.40909,0.29548,"[0.47619, 0.0, 0.41026]",185,0.42535,2.03213,0.43182,0.37037,"[0.51282, 0.15385, 0.44444]",160,COMPLETED,23.519
46,20251231_162905,gaitpart_GREW_TOP70.csv,70%,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11664,3.23716,0.29545,0.28194,"[0.3125, 0.2, 0.33333]",479,0.73519,1.65587,0.54545,0.44017,"[0.65385, 0.16667, 0.5]",223,COMPLETED,39.417
47,20251231_162905,gaitpart_OUMVLP_TOP70.csv,70%,Preset_4,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,L2,"[0.1, 0.1, 0.1, 0.1]",128,AdamW,,0.0001,1e-05,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13372,1.72271,0.54545,0.43619,"[0.68, 0.2, 0.42857]",658,0.55556,1.35313,0.59091,0.58386,"[0.61538, 0.55556, 0.58065]",443,COMPLETED,53.867
