id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
1343,20251206_070330,gaitgl_GREW.csv,Best_configs_v3,TCN,42,256,4,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",mean,320,40,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1409324143350739,1.1084830977699973,0.5681818181818182,0.479328165374677,"[0.6046511627906976, 0.2222222222222222, 0.6111111111111112]",0.6363636363636364,0.6325757575757575,"[0.6060606060606061, 0.625, 0.6666666666666666]",189,0.15529408113858134,1.3807757767764004,743,STOPPED,173.60431609999796
1344,20251206_070623,gaitgl_GREW_BNNeck.csv,Best_configs_v3,TCN,42,256,4,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",mean,320,40,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14123249361195514,1.7103603102944114,0.38636363636363635,0.33665026833631484,"[0.4186046511627907, 0.15384615384615385, 0.4375]",0.5227272727272727,0.4444444444444445,"[0.5454545454545454, 0.18181818181818182, 0.6060606060606061]",81,0.7171076634495529,1.1326904730363325,740,STOPPED,171.3308953000087
1345,20251206_071102,gaitgl_OUMVLP.csv,Best_configs_v3,TCN,42,256,4,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",mean,320,40,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14039920623769464,1.5358342040668835,0.5227272727272727,0.4393223010244287,"[0.5957446808510638, 0.2222222222222222, 0.5]",0.6136363636363636,0.5539526592878166,"[0.6511627906976745, 0.36363636363636365, 0.6470588235294118]",375,0.2136032618198198,1.2047245502471924,1192,STOPPED,277.4460634999996
1346,20251206_071401,gaitpart_GREW.csv,Best_configs_v3,TCN,42,256,4,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",mean,320,40,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14039376424145453,1.6362110484730115,0.5227272727272727,0.48485135989879824,"[0.65, 0.35294117647058826, 0.45161290322580644]",0.5909090909090909,0.5661616161616162,"[0.6818181818181818, 0.6, 0.4166666666666667]",371,0.1501901649015466,1.7039980238134211,1073,STOPPED,178.45873710000888
1347,20251206_071848,gaitpart_OUMVLP.csv,Best_configs_v3,TCN,42,256,4,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",mean,320,40,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14024641065253424,1.6662465875799006,0.4772727272727273,0.43349113524552124,"[0.5714285714285714, 0.21052631578947367, 0.5185185185185185]",0.6136363636363636,0.5499999999999999,"[0.65, 0.3333333333333333, 0.6666666666666666]",513,0.23238234390917512,1.3280061808499424,1724,STOPPED,286.4584401000029
1348,20251206_072224,gaitset.csv,Best_configs_v3,TCN,42,256,4,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",mean,320,40,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14109554210888972,1.9292331825603137,0.38636363636363635,0.272108843537415,"[0.5306122448979592, 0.0, 0.2857142857142857]",0.38636363636363635,0.36061469394802725,"[0.5128205128205128, 0.2962962962962963, 0.2727272727272727]",294,0.152761393293892,2.5581554499539463,939,STOPPED,215.28248289998737
1349,20251206_072609,gaitset_GREW.csv,Best_configs_v3,TCN,42,256,4,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",mean,320,40,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14116811567975074,1.311577926982533,0.5227272727272727,0.3838779956427015,"[0.6222222222222222, 0.0, 0.5294117647058824]",0.5681818181818182,0.41445035460992913,"[0.6808510638297872, 0.0, 0.5625]",782,0.1405702307052219,1.2936304265802556,968,STOPPED,223.27154300000984
1350,20251206_073029,gaitset_OUMVLP.csv,Best_configs_v3,TCN,42,256,4,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",mean,320,40,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.17533499263611035,1.6602349064566873,0.5,0.36621534493874924,"[0.5531914893617021, 0.0, 0.5454545454545454]",0.5454545454545454,0.4919604205318491,"[0.6122448979591837, 0.36363636363636365, 0.5]",900,0.18982889065422962,1.711700981313532,1130,STOPPED,259.22269270000106
1351,20251206_073423,gln_phase1.csv,Best_configs_v3,TCN,42,256,4,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",mean,320,40,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1411643217212146,1.2411404956470837,0.5909090909090909,0.49603174603174605,"[0.6666666666666666, 0.25, 0.5714285714285714]",0.6363636363636364,0.5820524081393647,"[0.6956521739130435, 0.4444444444444444, 0.6060606060606061]",693,0.14112939939056476,1.2665346319025212,829,STOPPED,232.65881629999785
1352,20251206_073813,gln_phase2.csv,Best_configs_v3,TCN,42,256,4,"[448, 448, 448, 448]","[1, 2, 4, 8]",3,2,gelu,True,True,"[0.1, 0.1, 0.1, 0.1]","[True, True, True, True]",mean,320,40,AdamW,0.0,2e-05,1e-05,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14072986239010526,1.2024591402574019,0.4772727272727273,0.40404040404040403,"[0.5454545454545454, 0.18181818181818182, 0.48484848484848486]",0.5909090909090909,0.5273423894113549,"[0.6666666666666666, 0.36363636363636365, 0.5517241379310345]",477,0.14378733763989715,1.2369395169344815,813,STOPPED,227.9307703000086
