id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
35,20251012_183155,gaitset.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14043,0.43182,1016,0.38457,0.49304,295,0.26215,STOPPED,510.907
36,20251012_183155,gaitset_GREW.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14106,0.47727,944,0.40162,0.45346,172,0.32693,STOPPED,475.231
37,20251012_183155,gaitset_OUMVLP.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.18935,0.36364,1310,0.27863,0.44115,1295,0.17084,STOPPED,659.419
38,20251012_183155,gln_phase1.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14111,0.43182,1160,0.36825,0.55556,278,0.30257,STOPPED,833.555
39,20251012_183155,gln_phase2.csv,Best_configs,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14119,0.40909,1403,0.38941,0.46667,530,0.18929,STOPPED,1009.0

40,20251012_183155,baseline_CASIAB.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.16757,0.56818,422,0.54194,0.57977,421,0.17439,STOPPED,67.072
41,20251012_183155,baseline_OUMVLP.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15066,0.47727,555,0.40656,0.50199,204,0.17399,STOPPED,88.352
42,20251012_183155,gaitgl.csv,Best_configs,TCN,42,128,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14279,0.38636,259,0.38398,0.43127,224,0.14499,STOPPED,45.1
43,20251012_183155,gaitgl_GREW.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14192,0.47727,246,0.40863,0.44271,195,0.14301,STOPPED,44.977
44,20251012_183155,gaitgl_GREW_BNNeck.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15236,0.45455,545,0.43018,0.54265,377,0.17833,STOPPED,100.02
45,20251012_183155,gaitgl_OUMVLP.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1418,0.40909,318,0.30319,0.40794,120,0.15494,STOPPED,58.249
46,20251012_183155,gaitpart_GREW.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15987,0.40909,381,0.36772,0.55583,113,0.15298,STOPPED,57.826
47,20251012_183155,gaitpart_OUMVLP.csv,Best_configs,TCN,42,256,[256],[1],7,2,hardswish,False,False,[0.3],[False],last,128.0,16,AdamW,,0.001,1e-06,L2,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.17366,0.52273,360,0.50563,0.63471,321,0.19401,STOPPED,55.196
