number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
36,0.4952630390791608,COMPLETE,2025-11-26 23:36:55.327310,2025-11-26 23:37:10.635658,0 days 00:00:15.308348,"[160, 320, 640]",[2],[],leakyrelu,640,128,,0.0002,L2,3,increasing,,max,False,1e-07
37,0.4657253756989877,COMPLETE,2025-11-26 23:37:10.637708,2025-11-26 23:37:20.712861,0 days 00:00:10.075153,"[640, 640]",[],[1],leakyrelu,640,128,0.3,0.0002,L2,2,uniform,0.8,mean,True,1e-07
38,0.25133689839572193,PRUNED,2025-11-26 23:37:20.714868,2025-11-26 23:37:21.644292,0 days 00:00:00.929424,[640],[],[],leakyrelu,640,128,,0.0002,L2,1,uniform,,mean,False,1e-07
39,0.4891554528856713,COMPLETE,2025-11-26 23:37:21.644292,2025-11-26 23:37:32.243827,0 days 00:00:10.599535,"[640, 640]",[],[1],leakyrelu,640,128,0.3,0.0002,L2,2,uniform,0.9,max,True,1e-07
40,0.4833781480575087,COMPLETE,2025-11-26 23:37:32.246848,2025-11-26 23:37:41.800708,0 days 00:00:09.553860,"[640, 640]",[],[],leakyrelu,640,128,,0.0002,L2,2,uniform,0.9,max,True,1e-07
41,0.4744590442032356,COMPLETE,2025-11-26 23:37:41.800708,2025-11-26 23:37:52.155924,0 days 00:00:10.355216,"[640, 640]",[],[],leakyrelu,640,128,,0.0002,L2,2,uniform,0.9,max,True,1e-07
42,0.48899310349871694,COMPLETE,2025-11-26 23:37:52.155924,2025-11-26 23:38:03.372029,0 days 00:00:11.216105,"[640, 640]",[],[],leakyrelu,640,128,,0.0002,L2,2,uniform,0.9,max,True,1e-07
43,0.33900709219858155,PRUNED,2025-11-26 23:38:03.372029,2025-11-26 23:38:04.955938,0 days 00:00:01.583909,[640],[],[],leakyrelu,640,128,,0.0002,L2,1,uniform,0.9,max,True,1e-07
44,0.24051130776794494,PRUNED,2025-11-26 23:38:04.955938,2025-11-26 23:38:10.790105,0 days 00:00:05.834167,"[640, 640]",[],[],leakyrelu,640,128,,0.0002,L2,2,uniform,0.9,max,True,1e-07
45,0.3407179937120713,PRUNED,2025-11-26 23:38:10.790105,2025-11-26 23:38:16.011938,0 days 00:00:05.221833,"[640, 640, 640]",[2],[2],leakyrelu,640,128,0.3,0.0002,L2,3,uniform,,max,False,1e-07
46,0.4384920634920635,PRUNED,2025-11-26 23:38:16.011938,2025-11-26 23:38:19.631481,0 days 00:00:03.619543,"[640, 640]",[],[],leakyrelu,640,128,,0.0002,L2,2,uniform,0.9,max,True,1e-07
47,0.21839080459770113,PRUNED,2025-11-26 23:38:19.631481,2025-11-26 23:38:21.673630,0 days 00:00:02.042149,[384],[],[],leakyrelu,384,32,,5e-05,L2,1,uniform,0.9,max,True,1e-07
48,0.21839080459770113,PRUNED,2025-11-26 23:38:21.673630,2025-11-26 23:38:23.590849,0 days 00:00:01.917219,"[640, 640]",[],[],leakyrelu,640,128,,0.0002,L2,2,uniform,,max,False,1e-07
49,0.3,PRUNED,2025-11-26 23:38:23.590849,2025-11-26 23:38:32.279894,0 days 00:00:08.689045,"[256, 256, 256, 256, 256, 256]",[2],"[2, 4, 5]",leakyrelu,256,128,0.3,0.0002,L2,6,uniform,0.5,max,True,1e-07
