number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
34,0.21839080459770113,PRUNED,2025-11-26 23:04:46.905421,2025-11-26 23:04:48.407868,0 days 00:00:01.502447,"[512, 512, 512, 512, 512, 512]","[2, 4, 5]","[1, 4, 5]",elu,512,96,0.2,0.001,minmax,6,uniform,0.6,max,True,1e-07
35,0.21839080459770113,PRUNED,2025-11-26 23:04:48.408872,2025-11-26 23:04:50.307358,0 days 00:00:01.898486,"[512, 512, 512, 512, 512]",[4],[4],gelu,512,128,0.5,5e-05,minmax,5,uniform,0.9,max,True,0.0001
36,0.18238993710691823,PRUNED,2025-11-26 23:04:50.307862,2025-11-26 23:05:00.099728,0 days 00:00:09.791866,"[64, 64, 64, 128, 256, 512]","[1, 2]",[1],relu,512,64,0.2,0.0001,L2,6,increasing,,mean,False,1e-05
37,0.08888888888888889,PRUNED,2025-11-26 23:05:00.100734,2025-11-26 23:05:03.203793,0 days 00:00:03.103059,"[128, 128]",[],[],elu,128,32,,1e-05,minmax,2,uniform,0.9,max,True,0.0
38,0.3610521576950286,PRUNED,2025-11-26 23:05:03.203793,2025-11-26 23:05:12.257282,0 days 00:00:09.053489,[512],[],[],gelu,512,16,,0.0002,L2,1,decreasing,0.6,mean,True,1e-07
39,0.1406423034330011,PRUNED,2025-11-26 23:05:12.257785,2025-11-26 23:05:14.216065,0 days 00:00:01.958280,"[64, 64, 96, 192, 384]","[1, 4]","[1, 2, 4]",relu,384,128,0.5,5e-05,minmax,5,increasing,,max,False,1e-06
40,0.3665768194070081,PRUNED,2025-11-26 23:05:14.217568,2025-11-26 23:05:21.241664,0 days 00:00:07.024096,"[640, 640, 640, 640]","[2, 3]",[3],tanh,640,48,0.4,0.0001,L2,4,uniform,0.6,mean,True,0.0001
41,0.3038474633980252,PRUNED,2025-11-26 23:05:21.242670,2025-11-26 23:05:22.862538,0 days 00:00:01.619868,"[256, 256, 256, 256, 256, 256]","[2, 4, 5]","[1, 4, 5]",gelu,256,96,0.5,0.001,minmax,6,uniform,0.6,max,True,1e-07
42,0.21839080459770113,PRUNED,2025-11-26 23:05:22.863542,2025-11-26 23:05:27.115292,0 days 00:00:04.251750,"[256, 256, 256, 256, 256, 256]","[2, 4, 5]","[1, 4, 5]",gelu,256,96,0.5,0.001,minmax,6,uniform,0.6,max,True,1e-07
43,0.30468071671007974,PRUNED,2025-11-26 23:05:27.116297,2025-11-26 23:05:36.858550,0 days 00:00:09.742253,"[256, 256, 256, 256, 256, 256]","[2, 4, 5]","[1, 4, 5]",gelu,256,96,0.5,0.001,minmax,6,uniform,0.5,max,True,1e-07
44,0.18238993710691823,PRUNED,2025-11-26 23:05:36.859555,2025-11-26 23:05:46.489535,0 days 00:00:09.629980,"[512, 512, 512, 512, 512]","[2, 4]","[1, 3, 4]",gelu,512,96,0.3,0.001,minmax,5,uniform,0.6,max,True,1e-07
45,0.1761006289308176,PRUNED,2025-11-26 23:05:46.490541,2025-11-26 23:05:52.673732,0 days 00:00:06.183191,"[896, 896, 896, 896, 896, 896]","[4, 5]","[1, 4, 5]",leakyrelu,896,32,0.5,0.001,minmax,6,uniform,0.9,max,True,1e-06
46,0.4330109135967321,COMPLETE,2025-11-26 23:05:52.674737,2025-11-26 23:06:04.963174,0 days 00:00:12.288437,"[256, 256, 256, 256, 256]","[2, 3, 4]","[1, 2]",gelu,256,96,0.1,0.001,minmax,5,uniform,0.7,max,True,1e-07
47,0.1761006289308176,PRUNED,2025-11-26 23:06:04.965189,2025-11-26 23:06:08.679863,0 days 00:00:03.714674,"[384, 384, 384, 384, 384]","[1, 2, 3]","[1, 2]",relu,384,48,0.1,1e-05,L2,5,uniform,,max,False,1e-05
48,0.3771144962778094,COMPLETE,2025-11-26 23:06:08.680867,2025-11-26 23:06:22.987576,0 days 00:00:14.306709,"[640, 320, 160, 80]",[3],"[2, 3]",silu,640,128,0.1,2e-05,minmax,4,decreasing,0.7,mean,True,0.0
49,0.37079280872384324,PRUNED,2025-11-26 23:06:22.989670,2025-11-26 23:06:35.192440,0 days 00:00:12.202770,"[1024, 1024, 1024]",[2],"[1, 2]",gelu,1024,32,0.1,0.0002,minmax,3,uniform,0.7,max,True,0.0001
