number,value,state,datetime_start,datetime_complete,duration,hidden_layers,norm_layers,dropout_layers,activation,base_dim,batch_size,dropout,lr,norm,num_layers,pattern,pca_frac,pooling,use_pca,weight_decay
36,0.450438807050998,COMPLETE,2025-11-26 22:25:46.457432,2025-11-26 22:26:19.681781,0 days 00:00:33.224349,"[896, 896, 896, 896, 896]","[2, 3, 4]","[1, 2]",relu,896,32,0.3,0.0002,minmax,5,uniform,0.8,max,True,1e-07
37,0.21839080459770113,PRUNED,2025-11-26 22:26:19.683796,2025-11-26 22:26:30.312354,0 days 00:00:10.628558,"[896, 448, 224, 112, 64]","[1, 2, 3, 4]","[1, 2]",relu,896,32,0.3,0.0002,minmax,5,decreasing,0.8,max,True,1e-07
38,0.21839080459770113,PRUNED,2025-11-26 22:26:30.313359,2025-11-26 22:26:35.304978,0 days 00:00:04.991619,"[112, 224, 448, 896]","[2, 3]","[1, 2]",relu,896,32,0.3,0.0002,minmax,4,increasing,0.8,mean,True,1e-07
39,0.21839080459770113,PRUNED,2025-11-26 22:26:35.306481,2025-11-26 22:26:40.884847,0 days 00:00:05.578366,"[896, 896, 896, 896, 896]","[2, 3, 4]","[1, 2]",relu,896,32,0.3,0.0002,minmax,5,uniform,0.7,max,True,1e-07
40,0.26715506715506715,PRUNED,2025-11-26 22:26:40.886352,2025-11-26 22:26:42.477393,0 days 00:00:01.591041,"[896, 448, 224, 112, 64, 64]","[1, 2, 3, 4, 5]","[1, 2, 5]",relu,896,96,0.2,5e-05,minmax,6,decreasing,0.5,mean,True,1e-05
41,0.21839080459770113,PRUNED,2025-11-26 22:26:42.478398,2025-11-26 22:26:43.992337,0 days 00:00:01.513939,"[128, 128, 128, 128]","[2, 3]","[1, 2]",silu,128,64,0.4,1e-05,minmax,4,uniform,0.9,max,True,1e-07
42,0.2593277829170521,PRUNED,2025-11-26 22:26:43.993347,2025-11-26 22:26:54.854089,0 days 00:00:10.860742,"[640, 640, 640, 640, 640]","[2, 3, 4]","[1, 2]",relu,640,32,0.1,0.0001,minmax,5,uniform,0.8,max,True,0.0
43,0.1761006289308176,PRUNED,2025-11-26 22:26:54.855095,2025-11-26 22:27:06.799359,0 days 00:00:11.944264,"[512, 512, 512]",[2],"[1, 2]",leakyrelu,512,16,0.3,0.0005,minmax,3,uniform,,max,False,0.0001
44,0.4129204884729399,COMPLETE,2025-11-26 22:27:06.799359,2025-11-26 22:27:19.538208,0 days 00:00:12.738849,"[256, 256, 256, 256, 256, 256]","[3, 4]","[1, 2, 3]",tanh,256,128,0.4,0.0002,minmax,6,uniform,,max,False,0.0
45,0.21839080459770113,PRUNED,2025-11-26 22:27:19.540221,2025-11-26 22:27:20.920221,0 days 00:00:01.380000,"[384, 384, 384, 384, 384]",[3],"[1, 2, 4]",gelu,384,96,0.5,5e-05,minmax,5,uniform,0.8,max,True,1e-07
46,0.39100416846798075,COMPLETE,2025-11-26 22:27:20.921228,2025-11-26 22:27:43.458558,0 days 00:00:22.537330,[640],[],[],relu,640,32,,0.0001,minmax,1,increasing,,max,False,1e-05
47,0.24524900164435048,PRUNED,2025-11-26 22:27:43.459566,2025-11-26 22:27:51.428819,0 days 00:00:07.969253,"[128, 128, 128, 128]","[2, 3]","[1, 2]",elu,128,16,0.3,1e-05,minmax,4,uniform,,mean,False,0.0
48,0.45036454642513063,COMPLETE,2025-11-26 22:27:51.429843,2025-11-26 22:28:05.828677,0 days 00:00:14.398834,"[640, 320]",[],[1],relu,640,48,0.5,0.0005,minmax,2,decreasing,,mean,False,0.0001
49,0.21839080459770113,PRUNED,2025-11-26 22:28:05.830690,2025-11-26 22:28:08.862163,0 days 00:00:03.031473,[768],[],[],relu,768,32,,0.0005,minmax,1,decreasing,0.9,mean,True,1e-06
