number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
14,0.3839,2025-07-07 20:25:01.290834,2025-07-07 20:25:17.737644,0 days 00:00:16.446810,selu,512,64,3,3,0.5,0.001,3,minmax,0.95,mean,0.0,COMPLETE
15,0.3623,2025-07-07 20:25:17.737644,2025-07-07 20:25:25.617825,0 days 00:00:07.880181,leakyrelu,512,128,1,0,0.1,0.0001,1,L2,0.85,mean,1e-06,COMPLETE
16,0.3422,2025-07-07 20:25:25.617825,2025-07-07 20:25:39.531310,0 days 00:00:13.913485,selu,512,64,0,1,0.1,1e-05,2,minmax,0.7,mean,0.0,COMPLETE
17,0.3702,2025-07-07 20:25:39.531310,2025-07-07 20:26:37.183015,0 days 00:00:57.651705,gelu,512,16,2,3,0.2,0.0001,3,L2,0.95,mean,0.0001,COMPLETE
18,0.3577,2025-07-07 20:26:37.183015,2025-07-07 20:26:45.222820,0 days 00:00:08.039805,gelu,256,128,1,0,0.5,1e-05,1,L2,0.95,mean,0.0,COMPLETE
19,0.3831,2025-07-07 20:26:45.223820,2025-07-07 20:26:59.349992,0 days 00:00:14.126172,selu,128,64,0,1,0.4,0.001,2,minmax,0.95,mean,1e-06,COMPLETE
20,0.4077,2025-07-07 20:26:59.351993,2025-07-07 20:27:15.553631,0 days 00:00:16.201638,tanh,512,64,1,1,0.3,1e-05,2,minmax,0.85,mean,1e-06,COMPLETE
21,0.3975,2025-07-07 20:27:15.554631,2025-07-07 20:27:31.610236,0 days 00:00:16.055605,tanh,512,64,1,1,0.3,1e-05,2,minmax,0.85,mean,1e-06,COMPLETE
22,0.3785,2025-07-07 20:27:31.611237,2025-07-07 20:27:47.698849,0 days 00:00:16.087612,tanh,512,64,1,1,0.3,1e-05,2,minmax,0.85,mean,1e-06,COMPLETE
23,0.4044,2025-07-07 20:27:47.699849,2025-07-07 20:28:03.477923,0 days 00:00:15.778074,tanh,512,64,1,1,0.3,1e-05,2,minmax,0.85,mean,1e-06,COMPLETE
24,0.3843,2025-07-07 20:28:03.478927,2025-07-07 20:28:19.081118,0 days 00:00:15.602191,tanh,512,64,1,1,0.3,1e-05,2,minmax,0.85,mean,1e-06,COMPLETE
25,0.3765,2025-07-07 20:28:19.081118,2025-07-07 20:28:32.695960,0 days 00:00:13.614842,tanh,512,64,1,1,0.3,0.0001,1,minmax,0.85,mean,0.0,COMPLETE
26,0.3611,2025-07-07 20:28:32.695960,2025-07-07 20:28:49.728632,0 days 00:00:17.032672,tanh,512,64,2,2,0.3,1e-05,3,L2,0.85,max,0.0001,COMPLETE
27,0.3453,2025-07-07 20:28:49.728632,2025-07-07 20:29:03.835834,0 days 00:00:14.107202,tanh,512,64,0,1,0.3,1e-05,2,minmax,0.85,mean,1e-05,COMPLETE
28,0.3526,2025-07-07 20:29:03.835834,2025-07-07 20:29:18.972491,0 days 00:00:15.136657,elu,256,64,1,1,0.2,0.001,2,L2,0.8,mean,1e-06,COMPLETE
29,0.3443,2025-07-07 20:29:18.972491,2025-07-07 20:29:31.623533,0 days 00:00:12.651042,relu,128,64,1,0,0.3,0.0001,1,L2,0.75,mean,0.0,COMPLETE
