number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_bn_layer,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_pca_frac,params_pooling,params_wd,state
20,0.4323,2025-07-07 21:25:15.560917,2025-07-07 21:25:47.659042,0 days 00:00:32.098125,tanh,256,32,3,1,0.1,0.0001,3,L2,0.85,mean,0.0,COMPLETE
21,0.4327,2025-07-07 21:25:47.660397,2025-07-07 21:26:19.977799,0 days 00:00:32.317402,tanh,256,32,3,1,0.1,0.0001,3,L2,0.85,mean,0.0,COMPLETE
22,0.4297,2025-07-07 21:26:19.984690,2025-07-07 21:26:52.308314,0 days 00:00:32.323624,tanh,256,32,3,1,0.1,0.0001,3,L2,0.85,mean,0.0,COMPLETE
23,0.4296,2025-07-07 21:26:52.309379,2025-07-07 21:27:24.014345,0 days 00:00:31.704966,tanh,256,32,3,2,0.1,0.0001,3,L2,0.85,mean,0.0,COMPLETE
24,0.436,2025-07-07 21:27:24.014345,2025-07-07 21:27:51.532236,0 days 00:00:27.517891,tanh,256,32,2,1,0.1,0.0001,2,L2,0.85,mean,0.0,COMPLETE
25,0.4218,2025-07-07 21:27:51.532236,2025-07-07 21:28:42.962973,0 days 00:00:51.430737,tanh,256,16,1,1,0.1,0.0001,2,L2,0.9,mean,0.0,COMPLETE
26,0.4395,2025-07-07 21:28:42.962973,2025-07-07 21:28:59.592946,0 days 00:00:16.629973,tanh,256,64,2,1,0.1,0.0001,2,L2,0.95,max,0.0,COMPLETE
27,0.4308,2025-07-07 21:28:59.593947,2025-07-07 21:29:15.429422,0 days 00:00:15.835475,tanh,256,64,1,1,0.1,0.0001,2,L2,0.95,max,0.0,COMPLETE
28,0.4365,2025-07-07 21:29:15.430423,2025-07-07 21:29:30.776570,0 days 00:00:15.346147,gelu,512,64,2,2,0.5,0.0001,2,L2,0.95,max,0.0,COMPLETE
29,0.4021,2025-07-07 21:29:30.777570,2025-07-07 21:29:42.788267,0 days 00:00:12.010697,gelu,512,64,0,0,0.5,0.001,1,minmax,0.95,max,1e-05,COMPLETE
