number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
16,0.21875,PRUNED,2025-10-09 01:57:09.911915,2025-10-09 01:57:25.090053,0 days 00:00:15.178138,"[256, 384, 512]","[2, 4, 8]",[0],[],0.0,prelu,16,increasing,3,pow2,,3,0.002,,minmax,3,RMSprop,max,True,1e-05,False
17,0.21875,PRUNED,2025-10-09 01:57:25.090053,2025-10-09 01:57:30.428657,0 days 00:00:05.338604,"[64, 64, 64, 64]","[1, 4, 7, 10]","[1, 2, 3]","[0, 2]",0.1,prelu,64,uniform,2,linear,,3,0.001,,minmax,4,Adam,last,True,1e-07,False
18,0.437384845300564,COMPLETE,2025-10-09 01:57:30.428657,2025-10-09 01:57:53.754530,0 days 00:00:23.325873,"[128, 192]","[3, 4]",[],[],0.0,elu,16,increasing,1,linear,,9,0.0005,,L2,2,AdamW,mean,False,0.0,True
19,0.3605956919174085,COMPLETE,2025-10-09 01:57:53.756541,2025-10-09 01:58:12.664012,0 days 00:00:18.907471,[128],[3],[],[],0.0,elu,32,increasing,2,linear,128.0,5,0.0005,,L2,1,AdamW,mean,False,0.0,True
20,0.2175904889576118,COMPLETE,2025-10-09 01:58:12.664012,2025-10-09 01:58:21.854722,0 days 00:00:09.190710,"[128, 192]","[2, 3]",[1],[],0.0,elu,128,increasing,3,linear,512.0,2,0.001,,L2,2,AdamW,mean,False,0.0,True
21,0.3885246525246525,COMPLETE,2025-10-09 01:58:21.856727,2025-10-09 01:58:39.445534,0 days 00:00:17.588807,[128],[3],[],[],0.0,elu,32,increasing,2,linear,128.0,5,0.0005,,L2,1,AdamW,mean,False,0.0,True
22,0.21875,PRUNED,2025-10-09 01:58:39.445534,2025-10-09 01:58:43.730540,0 days 00:00:04.285006,[64],[3],[],[],0.0,elu,32,increasing,2,linear,128.0,5,0.0005,,L2,1,AdamW,mean,False,0.0,True
23,0.4068062814998077,COMPLETE,2025-10-09 01:58:43.732328,2025-10-09 01:59:04.893243,0 days 00:00:21.160915,"[192, 256]","[3, 5]",[],[],0.0,elu,32,increasing,2,linear,128.0,5,0.0005,,L2,2,AdamW,mean,False,0.0,True
24,0.2176165803108808,PRUNED,2025-10-09 01:59:04.893243,2025-10-09 01:59:11.148330,0 days 00:00:06.255087,"[192, 256]","[3, 5]",[],[],0.0,silu,32,increasing,2,linear,256.0,5,0.0005,,L2,2,AdamW,mean,False,1e-06,True
25,0.2175904889576118,COMPLETE,2025-10-09 01:59:11.148330,2025-10-09 01:59:23.729674,0 days 00:00:12.581344,"[192, 256, 384]","[2, 4, 6]",[],"[0, 1]",0.1,relu,64,increasing,1,linear,128.0,9,0.002,,L2,3,AdamW,mean,False,0.0,True
26,0.4269282667960198,COMPLETE,2025-10-09 01:59:23.736093,2025-10-09 01:59:58.907691,0 days 00:00:35.171598,"[384, 512]","[3, 5]",[],[],0.0,gelu,16,increasing,2,linear,,3,0.0002,,L2,2,AdamW,max,False,0.0,True
