number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
13,0.178030303030303,PRUNED,2025-10-08 23:58:36.714521,2025-10-08 23:58:53.790182,0 days 00:00:17.075661,[128],[2],[0],[],0.0,relu,16,increasing,1,linear,64.0,9,0.002,,minmax,1,RMSprop,mean,True,2e-07,True
14,0.3661053511483437,COMPLETE,2025-10-08 23:58:53.791685,2025-10-09 00:00:06.137235,0 days 00:01:12.345550,"[128, 192, 256]","[3, 4, 5]","[0, 2]",[2],0.1,gelu,16,increasing,3,linear,64.0,3,0.0005,,L2,3,RMSprop,last,True,1e-07,True
15,0.178030303030303,PRUNED,2025-10-09 00:00:06.139293,2025-10-09 00:00:17.636944,0 days 00:00:11.497651,"[128, 192, 256]","[1, 3, 5]","[0, 2]",[2],0.1,gelu,128,increasing,2,linear,512.0,9,0.0005,,L2,3,RMSprop,last,True,1e-07,True
16,0.178030303030303,PRUNED,2025-10-09 00:00:17.637945,2025-10-09 00:00:48.635202,0 days 00:00:30.997257,"[192, 256, 384, 512]","[3, 4, 5, 6]","[0, 2]",[2],0.1,gelu,16,increasing,3,linear,64.0,2,0.0005,,L2,4,RMSprop,attention,True,1e-07,True
17,0.2164048865619546,PRUNED,2025-10-09 00:00:48.637241,2025-10-09 00:01:12.059541,0 days 00:00:23.422300,"[64, 64, 64]","[2, 3, 4]",[2],[2],0.2,leakyrelu,16,uniform,1,linear,64.0,3,0.0005,,L2,3,AdamW,mean,True,1e-07,True
18,0.2164048865619546,PRUNED,2025-10-09 00:01:12.060541,2025-10-09 00:01:39.033786,0 days 00:00:26.973245,"[96, 128]","[2, 4]",[1],[1],0.1,hardswish,16,increasing,2,pow2,64.0,3,0.0001,,L2,2,Adam,max,True,2e-07,True
19,0.2175904889576118,COMPLETE,2025-10-09 00:01:39.034786,2025-10-09 00:03:24.479994,0 days 00:01:45.445208,"[192, 256, 384, 512]","[3, 5, 7, 9]","[0, 3]",[2],0.2,silu,64,increasing,3,linear,,7,0.002,,L2,4,RMSprop,last,True,1e-06,True
20,0.0894854586129754,PRUNED,2025-10-09 00:03:24.482515,2025-10-09 00:04:12.257149,0 days 00:00:47.774634,"[768, 768, 768]","[2, 3, 4]","[1, 2]",[2],0.1,elu,128,uniform,2,linear,128.0,2,0.0005,,L2,3,RMSprop,last,True,2e-06,True
21,0.2164048865619546,PRUNED,2025-10-09 00:04:12.258149,2025-10-09 00:04:39.809257,0 days 00:00:27.551108,[96],[3],[0],[],0.0,gelu,16,increasing,3,linear,64.0,3,0.0002,,minmax,1,RMSprop,last,True,5e-07,True
22,0.2491377921031426,PRUNED,2025-10-09 00:04:39.811255,2025-10-09 00:05:11.702809,0 days 00:00:31.891554,"[96, 128]","[3, 4]",[0],[1],0.3,gelu,16,increasing,3,linear,64.0,3,0.0002,,minmax,2,RMSprop,last,True,5e-07,True
23,0.4000319146604302,COMPLETE,2025-10-09 00:05:11.703811,2025-10-09 00:06:20.017332,0 days 00:01:08.313521,"[192, 256]","[3, 4]",[0],[],0.0,gelu,16,increasing,3,linear,64.0,3,0.0002,,minmax,2,RMSprop,last,True,5e-07,True
24,0.1894642857142857,PRUNED,2025-10-09 00:06:20.020372,2025-10-09 00:06:35.297419,0 days 00:00:15.277047,"[192, 256]","[3, 5]",[0],[],0.0,relu,16,increasing,2,linear,512.0,3,0.0002,,L2,2,RMSprop,last,True,1e-07,True
25,0.178030303030303,PRUNED,2025-10-09 00:06:35.298423,2025-10-09 00:07:54.985623,0 days 00:01:19.687200,"[384, 512, 640]","[3, 4, 5]","[0, 2]",[2],0.1,mish,32,increasing,3,linear,64.0,9,0.0005,,L2,3,RMSprop,max,True,5e-07,True
26,0.2164048865619546,PRUNED,2025-10-09 00:07:54.987623,2025-10-09 00:08:33.779206,0 days 00:00:38.791583,"[192, 256]","[1, 2]",[0],[],0.0,gelu,16,increasing,3,pow2,64.0,7,0.0002,,minmax,2,Adam,attention,False,5e-07,True
27,0.391853989833635,COMPLETE,2025-10-09 00:08:33.780207,2025-10-09 00:09:40.068454,0 days 00:01:06.288247,"[256, 384, 512]","[2, 4, 6]",[0],[2],0.1,gelu,16,increasing,2,linear,64.0,3,0.0001,,L2,3,AdamW,mean,True,1e-07,True
28,0.2175904889576118,COMPLETE,2025-10-09 00:09:40.069737,2025-10-09 00:10:27.558678,0 days 00:00:47.488941,"[64, 64, 64, 64]","[2, 4, 6, 8]",[1],"[1, 2]",0.2,gelu,16,uniform,2,linear,64.0,3,0.0001,,minmax,4,AdamW,mean,True,5e-07,True
29,0.2175904889576118,COMPLETE,2025-10-09 00:10:27.561185,2025-10-09 00:12:52.216712,0 days 00:02:24.655527,"[768, 896]","[1, 3]",[],[],0.0,leakyrelu,96,increasing,2,linear,512.0,7,0.0001,,minmax,2,AdamW,mean,True,2e-07,False
30,0.4005552282070115,COMPLETE,2025-10-09 00:12:52.218712,2025-10-09 00:13:22.880262,0 days 00:00:30.661550,"[256, 256, 256]","[2, 4, 6]",[0],[2],0.2,gelu,32,uniform,1,linear,,2,0.0001,,L2,3,AdamW,mean,True,1e-06,True
31,0.2164048865619546,PRUNED,2025-10-09 00:13:22.882768,2025-10-09 00:13:46.096406,0 days 00:00:23.213638,"[256, 256, 256]","[2, 4, 6]",[0],[2],0.2,gelu,32,uniform,1,linear,,2,0.0001,,L2,3,AdamW,mean,True,1e-06,True
32,0.4188622526057582,COMPLETE,2025-10-09 00:13:46.096406,2025-10-09 00:14:25.420790,0 days 00:00:39.324384,"[512, 512, 512]","[2, 4, 6]",[0],[2],0.2,hardswish,32,uniform,1,linear,,2,0.0001,,L2,3,AdamW,mean,True,1e-06,True
33,0.4140342044064249,COMPLETE,2025-10-09 00:14:25.420790,2025-10-09 00:15:00.481585,0 days 00:00:35.060795,"[512, 512, 512]","[2, 5, 8]",[0],[2],0.2,hardswish,32,uniform,1,linear,,2,0.0001,,L2,3,AdamW,mean,True,1e-06,True
34,0.178030303030303,PRUNED,2025-10-09 00:15:00.483596,2025-10-09 00:15:17.831077,0 days 00:00:17.347481,"[512, 512, 512, 512]","[2, 5, 8, 11]","[0, 3]","[0, 2]",0.2,hardswish,32,uniform,1,linear,,2,0.0001,,L2,4,AdamW,mean,True,1e-06,True
35,0.178030303030303,PRUNED,2025-10-09 00:15:17.837690,2025-10-09 00:15:37.626189,0 days 00:00:19.788499,"[512, 512, 512, 512, 512]","[2, 5, 8, 11, 14]",[1],"[0, 1, 2, 3, 4]",0.2,hardswish,32,uniform,1,linear,,2,0.0001,,L2,5,AdamW,mean,False,1e-06,True
36,0.2176165803108808,PRUNED,2025-10-09 00:15:37.627194,2025-10-09 00:15:43.119479,0 days 00:00:05.492285,"[384, 384, 384, 384]","[1, 2, 4, 8]",[3],"[2, 3]",0.3,hardswish,32,uniform,1,pow2,,2,0.0001,0.0,L2,4,SGD,mean,True,1e-06,False
37,0.4012017524070268,COMPLETE,2025-10-09 00:15:43.125928,2025-10-09 00:16:13.623306,0 days 00:00:30.497378,"[192, 192, 192]","[2, 5, 8]","[0, 1]","[0, 1, 2]",0.2,hardswish,32,uniform,1,linear,,2,0.0001,,L2,3,AdamW,mean,False,1e-06,True
38,0.4580065151132046,COMPLETE,2025-10-09 00:16:13.630528,2025-10-09 00:16:34.084319,0 days 00:00:20.453791,"[128, 128, 128]","[2, 4, 8]",[1],"[0, 1, 2]",0.3,hardswish,32,uniform,1,pow2,,2,0.001,,L2,3,AdamW,max,False,1e-06,True
39,0.2176165803108808,PRUNED,2025-10-09 00:16:34.084319,2025-10-09 00:16:55.975534,0 days 00:00:21.891215,"[640, 640, 640, 640, 640]","[2, 4, 8, 16, 32]",[1],"[0, 1, 2, 4]",0.3,hardswish,32,uniform,1,pow2,256.0,5,0.001,,L2,5,AdamW,max,False,0.0,False
40,0.319047169166266,COMPLETE,2025-10-09 00:16:55.977315,2025-10-09 00:17:10.269977,0 days 00:00:14.292662,"[128, 128, 128, 128]","[2, 4, 8, 16]","[1, 3]","[0, 1, 2, 3]",0.3,hardswish,96,uniform,1,pow2,,2,0.001,0.9,L2,4,SGD,max,False,1e-06,True
41,0.20131955392071,PRUNED,2025-10-09 00:17:10.272135,2025-10-09 00:17:18.083493,0 days 00:00:07.811358,"[128, 128, 128]","[2, 4, 8]",[1],"[0, 1, 2]",0.2,hardswish,32,uniform,1,pow2,,2,0.001,,L2,3,AdamW,max,False,1e-06,True
42,0.2478602552131963,PRUNED,2025-10-09 00:17:18.083493,2025-10-09 00:17:32.509001,0 days 00:00:14.425508,"[128, 128, 128]","[2, 4, 8]",[1],"[0, 1, 2]",0.3,hardswish,32,uniform,1,pow2,,2,1e-05,,L2,3,AdamW,max,False,1e-06,True
43,0.178030303030303,PRUNED,2025-10-09 00:17:32.510504,2025-10-09 00:18:12.143853,0 days 00:00:39.633349,"[896, 768, 640]","[2, 4, 8]",[1],"[0, 1, 2]",0.2,hardswish,32,decreasing,1,pow2,,2,0.001,,L2,3,AdamW,mean,False,1e-05,True
44,0.4683450595325074,COMPLETE,2025-10-09 00:18:12.144859,2025-10-09 00:18:37.257306,0 days 00:00:25.112447,"[192, 192]","[1, 2]",[1],"[0, 1]",0.3,mish,32,uniform,1,pow2,,7,0.0001,,L2,2,AdamW,max,False,1e-06,True
45,0.2176165803108808,PRUNED,2025-10-09 00:18:37.259576,2025-10-09 00:18:43.971175,0 days 00:00:06.711599,"[512, 512]","[1, 2]",[1],"[0, 1]",0.3,mish,64,uniform,1,pow2,128.0,7,0.002,,L2,2,AdamW,max,False,0.0,False
46,0.440461001840872,COMPLETE,2025-10-09 00:18:43.973234,2025-10-09 00:19:31.199222,0 days 00:00:47.225988,"[512, 384]","[1, 2]",[1],"[0, 1]",0.3,mish,32,decreasing,1,pow2,256.0,7,0.0001,,L2,2,Adam,max,False,2e-06,True
47,0.2175904889576118,COMPLETE,2025-10-09 00:19:31.199222,2025-10-09 00:19:53.514783,0 days 00:00:22.315561,[512],[1],[],[0],0.3,mish,32,decreasing,1,pow2,256.0,7,1e-05,,L2,1,Adam,max,False,2e-06,True
48,0.2176165803108808,PRUNED,2025-10-09 00:19:53.521805,2025-10-09 00:20:01.895485,0 days 00:00:08.373680,"[640, 512]","[1, 2]",[1],"[0, 1]",0.3,mish,128,decreasing,1,pow2,256.0,7,0.001,,L2,2,Adam,max,False,2e-06,True
49,0.4351038764074138,COMPLETE,2025-10-09 00:20:01.896491,2025-10-09 00:20:48.598807,0 days 00:00:46.702316,"[512, 384]","[1, 2]",[1],"[0, 1]",0.3,mish,32,decreasing,1,pow2,256.0,7,0.0001,,L2,2,Adam,max,False,2e-06,False
