id,timestamp,target_embedding,top_variant,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
54,20260112_025313,baseline_OUMVLP_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.77624,1.71305,0.40909,0.27824,"[0.28571, 0.0, 0.54902]",1041,0.7148,1.3882,0.52273,0.51027,"[0.52381, 0.46154, 0.54545]",1019,STOPPED,110.845
55,20260112_025313,gaitgl_GREW_BNNeck_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.28891,2.77723,0.34091,0.35826,"[0.27778, 0.42857, 0.36842]",1524,0.33705,3.00126,0.52273,0.48718,"[0.6, 0.46154, 0.4]",1360,STOPPED,189.234
56,20260112_025313,gaitgl_GREW_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13291,2.43689,0.47727,0.40653,"[0.47368, 0.18182, 0.5641]",581,0.15403,2.49081,0.5,0.45833,"[0.58333, 0.375, 0.41667]",570,COMPLETED,71.978
57,20260112_025313,gaitgl_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,128,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14883,3.47899,0.45455,0.39312,"[0.5, 0.22222, 0.45714]",772,0.41406,1.87759,0.47727,0.46742,"[0.47368, 0.42857, 0.5]",319,COMPLETED,92.258
58,20260112_025313,gaitgl_OUMVLP_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.65587,1.8879,0.36364,0.34551,"[0.41026, 0.18182, 0.44444]",1124,0.74048,1.3789,0.56818,0.5101,"[0.59459, 0.25, 0.68571]",759,STOPPED,139.471
59,20260112_025313,gaitpart_GREW_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,8,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.57763,1.83831,0.29545,0.2724,"[0.22222, 0.17391, 0.42105]",1711,0.55108,1.4521,0.47727,0.41146,"[0.58824, 0.13333, 0.51282]",1405,STOPPED,168.153
60,20260112_025313,gaitpart_OUMVLP_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,8,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10742,1.10289,0.18182,0.12422,"[0.08696, 0.28571, 0.0]",127,1.10742,1.10289,0.18182,0.12422,"[0.08696, 0.28571, 0.0]",127,STOPPED,12.397
61,20260112_025313,gaitset_GREW_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.63653,1.78992,0.43182,0.37354,"[0.44444, 0.2, 0.47619]",1062,0.72133,1.27565,0.43182,0.43834,"[0.42105, 0.46154, 0.43243]",509,STOPPED,127.882
62,20260112_025313,gaitset_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.57452,2.07434,0.36364,0.35235,"[0.43243, 0.24, 0.38462]",1002,0.74892,1.74573,0.45455,0.43435,"[0.59459, 0.34483, 0.36364]",684,STOPPED,121.019
63,20260112_025313,gaitset_OUMVLP_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10494,1.09996,0.36364,0.17778,"[0.0, 0.0, 0.53333]",139,1.10494,1.09996,0.36364,0.17778,"[0.0, 0.0, 0.53333]",139,STOPPED,16.823
64,20260112_025313,gln_phase1_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,47,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.16945,2.15058,0.54545,0.50843,"[0.51613, 0.375, 0.63415]",1918,0.36273,1.82014,0.68182,0.59785,"[0.77273, 0.33333, 0.6875]",1238,STOPPED,275.422
65,20260112_025313,gln_phase2_LOW50.csv,50%,Preset_13,Transformer,42,[768],16,1,768,0.0,silu,prenorm,learned,cls,True,2e-05,0.0,48,AdamW,,L2,256,47,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.29063,3.39275,0.38636,0.3368,"[0.42857, 0.18182, 0.4]",1504,0.58088,2.32879,0.47727,0.44482,"[0.53333, 0.36364, 0.4375]",923,STOPPED,215.885
