id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
53,20251224_220532,GREW_concat.csv,Preset_14,Transformer,42,[256],8,1,256,0.1,mish,postnorm,learned,cls,True,5e-05,0.0,40,Adam,0.0,L2,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.21829,2.80905,0.40909,0.3518,"[0.46809, 0.14286, 0.44444]",1143,0.74064,1.12307,0.5,0.47436,"[0.53659, 0.4, 0.48649]",210,STOPPED,139.69
54,20251224_220532,GREW_mean.csv,Preset_14,Transformer,42,[256],8,1,256,0.1,mish,postnorm,learned,cls,True,5e-05,0.0,40,Adam,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.18209,2.65465,0.43182,0.36206,"[0.53061, 0.22222, 0.33333]",743,0.3472,2.13372,0.5,0.44126,"[0.60377, 0.4, 0.32]",447,STOPPED,82.05
55,20251224_220532,OUMVLP_concat.csv,Preset_14,Transformer,42,[256],8,1,256,0.1,mish,postnorm,learned,cls,True,5e-05,0.0,40,Adam,0.0,L2,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.23486,2.74307,0.36364,0.28997,"[0.53659, 0.0, 0.33333]",1268,0.62772,1.72186,0.54545,0.40943,"[0.62222, 0.0, 0.60606]",807,STOPPED,163.53
56,20251224_220532,OUMVLP_mean.csv,Preset_14,Transformer,42,[256],8,1,256,0.1,mish,postnorm,learned,cls,True,5e-05,0.0,40,Adam,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.18944,2.48477,0.40909,0.31481,"[0.5, 0.0, 0.44444]",2384,0.44666,2.01512,0.54545,0.40613,"[0.66667, 0.0, 0.55172]",1373,STOPPED,262.398
57,20251224_220532,GREW_concat.csv,Preset_15,Transformer,42,"[160, 320, 640]",10,3,1024,0.25,gelu,postnorm,sinusoidal,mean,False,0.00015,1e-06,32,AdamW,0.0,nan,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12823,2.21298,0.45455,0.28934,"[0.60714, 0.0, 0.26087]",51,0.20277,1.56122,0.59091,0.53708,"[0.68182, 0.4, 0.52941]",34,COMPLETED,14.605
58,20251224_220532,GREW_mean.csv,Preset_15,Transformer,42,"[160, 320, 640]",10,3,1024,0.25,gelu,postnorm,sinusoidal,mean,False,0.00015,1e-06,32,AdamW,0.0,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13906,2.18547,0.47727,0.46547,"[0.57895, 0.42857, 0.38889]",69,0.22996,3.01741,0.52273,0.50397,"[0.42857, 0.5, 0.58333]",52,COMPLETED,18.567
59,20251224_220532,OUMVLP_concat.csv,Preset_15,Transformer,42,"[160, 320, 640]",10,3,1024,0.25,gelu,postnorm,sinusoidal,mean,False,0.00015,1e-06,32,AdamW,0.0,nan,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10178,2.31336,0.45455,0.34291,"[0.55814, 0.0, 0.47059]",225,0.51362,1.70924,0.56818,0.41667,"[0.625, 0.0, 0.625]",144,COMPLETED,65.016
60,20251224_220532,OUMVLP_mean.csv,Preset_15,Transformer,42,"[160, 320, 640]",10,3,1024,0.25,gelu,postnorm,sinusoidal,mean,False,0.00015,1e-06,32,AdamW,0.0,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.64821,3.05409,0.38636,0.31081,"[0.43243, 0.0, 0.5]",523,0.27941,2.50198,0.45455,0.37897,"[0.375, 0.14286, 0.61905]",279,STOPPED,142.312
61,20251224_220532,GREW_concat.csv,Preset_16,Transformer,42,"[512, 512, 512]",8,3,768,0.2,silu,prenorm,learned,cls,True,0.0002,0.0,32,AdamW,0.0,L2,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13184,3.21275,0.36364,0.24476,"[0.52, 0.0, 0.21429]",311,0.56783,1.89217,0.43182,0.32741,"[0.47059, 0.0, 0.51163]",172,COMPLETED,87.214
62,20251224_220532,GREW_mean.csv,Preset_16,Transformer,42,"[512, 512, 512]",8,3,768,0.2,silu,prenorm,learned,cls,True,0.0002,0.0,32,AdamW,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13551,2.55773,0.38636,0.33583,"[0.45455, 0.2, 0.35294]",650,0.56357,1.59222,0.5,0.4614,"[0.53659, 0.33333, 0.51429]",198,COMPLETED,174.681
