id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
48,20251130_190338,gaitset.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,0.17572,6.18585,0.25,0.21929,"[0.33333, 0.11765, 0.2069]",0.45455,0.3842,"[0.55814, 0.14286, 0.45161]",641,0.30037,4.38502,926,STOPPED,215.97
49,20251130_190338,gaitset_GREW.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,0.09822,9.42616,0.36364,0.31764,"[0.51163, 0.21053, 0.23077]",0.47727,0.43182,"[0.55814, 0.28571, 0.45161]",320,0.65018,1.56818,1111,COMPLETED,259.625
50,20251130_190338,gaitset_OUMVLP.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,1.01068,1.01686,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",204,1.01068,1.01686,204,STOPPED,47.691
51,20251130_190338,gln_phase1.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,0.19693,4.44461,0.47727,0.34101,"[0.57143, 0.0, 0.45161]",0.54545,0.46883,"[0.64286, 0.4, 0.36364]",466,0.38534,3.03023,845,STOPPED,223.549
52,20251130_190338,gln_phase2.csv,gaitgl_GREW.csv,Transformer,42,[768],2,1,128,0.4,hardswish,prenorm,learned,mean,False,0.0002,1e-07,16,RMSprop,0.0,L2,256,0.06768,7.14311,0.5,0.45339,"[0.5641, 0.26667, 0.52941]",0.65909,0.58906,"[0.69767, 0.36364, 0.70588]",751,0.13426,4.95268,1036,COMPLETED,274.362

53,20251130_194348,baseline_CASIAB.csv,gaitgl_GREW_BNNeck.csv,Transformer,42,"[128, 96]",4,2,128,0.0,hardswish,postnorm,sinusoidal,mean,False,0.0005,1e-07,64,AdamW,0.0,L2,256,0.06975,2.76886,0.52273,0.43501,"[0.62222, 0.16667, 0.51613]",0.56818,0.55676,"[0.6087, 0.54545, 0.51613]",247,0.47414,1.56183,297,COMPLETED,30.284
54,20251130_194348,baseline_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,Transformer,42,"[128, 96]",4,2,128,0.0,hardswish,postnorm,sinusoidal,mean,False,0.0005,1e-07,64,AdamW,0.0,L2,256,0.07147,1.84847,0.61364,0.54569,"[0.64865, 0.28571, 0.7027]",0.61364,0.57529,"[0.64865, 0.42857, 0.64865]",378,0.11604,1.62958,388,COMPLETED,39.654
55,20251130_194348,gaitgl.csv,gaitgl_GREW_BNNeck.csv,Transformer,42,"[128, 96]",4,2,128,0.0,hardswish,postnorm,sinusoidal,mean,False,0.0005,1e-07,64,AdamW,0.0,L2,128,0.06365,3.44997,0.43182,0.32174,"[0.56522, 0.0, 0.4]",0.45455,0.37613,"[0.54902, 0.22222, 0.35714]",126,0.36702,2.44815,161,COMPLETED,16.92
56,20251130_194348,gaitgl_GREW.csv,gaitgl_GREW_BNNeck.csv,Transformer,42,"[128, 96]",4,2,128,0.0,hardswish,postnorm,sinusoidal,mean,False,0.0005,1e-07,64,AdamW,0.0,L2,256,0.0571,3.17304,0.36364,0.29352,"[0.53333, 0.125, 0.22222]",0.47727,0.4699,"[0.5641, 0.47059, 0.375]",148,0.47675,1.75252,246,COMPLETED,27.955
57,20251130_194348,gaitgl_GREW_BNNeck.csv,gaitgl_GREW_BNNeck.csv,Transformer,42,"[128, 96]",4,2,128,0.0,hardswish,postnorm,sinusoidal,mean,False,0.0005,1e-07,64,AdamW,0.0,L2,256,0.04043,3.09804,0.43182,0.33216,"[0.51163, 0.0, 0.48485]",0.5,0.45833,"[0.54167, 0.33333, 0.5]",250,0.33022,2.53156,263,COMPLETED,30.065
58,20251130_194348,gaitgl_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,Transformer,42,"[128, 96]",4,2,128,0.0,hardswish,postnorm,sinusoidal,mean,False,0.0005,1e-07,64,AdamW,0.0,L2,256,1.00359,1.01121,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",213,1.00359,1.01121,213,STOPPED,24.333
59,20251130_194348,gaitpart_GREW.csv,gaitgl_GREW_BNNeck.csv,Transformer,42,"[128, 96]",4,2,128,0.0,hardswish,postnorm,sinusoidal,mean,False,0.0005,1e-07,64,AdamW,0.0,L2,256,0.07175,3.46915,0.45455,0.42965,"[0.51163, 0.31579, 0.46154]",0.54545,0.53662,"[0.55814, 0.5, 0.55172]",408,0.42598,1.98428,566,COMPLETED,54.411
60,20251130_194348,gaitpart_OUMVLP.csv,gaitgl_GREW_BNNeck.csv,Transformer,42,"[128, 96]",4,2,128,0.0,hardswish,postnorm,sinusoidal,mean,False,0.0005,1e-07,64,AdamW,0.0,L2,256,1.00873,1.01883,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",178,1.00873,1.01883,178,STOPPED,17.403
61,20251130_194348,gaitset.csv,gaitgl_GREW_BNNeck.csv,Transformer,42,"[128, 96]",4,2,128,0.0,hardswish,postnorm,sinusoidal,mean,False,0.0005,1e-07,64,AdamW,0.0,L2,256,0.01866,4.23375,0.34091,0.29269,"[0.46512, 0.10526, 0.30769]",0.43182,0.39808,"[0.47619, 0.23529, 0.48276]",244,0.11195,3.41222,249,COMPLETED,28.238
62,20251130_194348,gaitset_GREW.csv,gaitgl_GREW_BNNeck.csv,Transformer,42,"[128, 96]",4,2,128,0.0,hardswish,postnorm,sinusoidal,mean,False,0.0005,1e-07,64,AdamW,0.0,L2,256,0.08515,2.94706,0.45455,0.32738,"[0.625, 0.0, 0.35714]",0.54545,0.48137,"[0.66667, 0.36364, 0.41379]",573,0.50716,1.62776,659,COMPLETED,74.579
