id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
397,20251214_021804,gaitpart_GREW.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.10731,1.09703,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",140,1.10731,1.09703,140,STOPPED,16.29855
398,20251214_021804,gaitpart_OUMVLP.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.11809,1.08756,0.36364,0.17778,"[0.0, 0.0, 0.53333]",0.36364,0.17778,"[0.0, 0.0, 0.53333]",174,1.11809,1.08756,174,STOPPED,20.11278
399,20251214_021804,gaitset.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14583,2.56548,0.40909,0.36267,"[0.5, 0.10526, 0.48276]",0.5,0.46904,"[0.57143, 0.35294, 0.48276]",969,0.18283,2.35475,1228,STOPPED,294.96204
400,20251214_021804,gaitset_GREW.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.11796,1.16545,0.15909,0.0915,"[0.0, 0.27451, 0.0]",0.15909,0.0915,"[0.0, 0.27451, 0.0]",120,1.11796,1.16545,120,STOPPED,28.82455
401,20251214_021804,gaitset_OUMVLP.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.11465,1.10667,0.36364,0.17778,"[0.0, 0.0, 0.53333]",0.36364,0.17778,"[0.0, 0.0, 0.53333]",219,1.11465,1.10667,219,STOPPED,52.68781
402,20251214_021804,gln_phase1.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.55201,1.79363,0.36364,0.34096,"[0.41176, 0.22222, 0.38889]",0.47727,0.43285,"[0.4, 0.33333, 0.56522]",903,0.73221,1.49155,1362,STOPPED,501.29812
403,20251214_021804,gln_phase2.csv,best_configs_v3,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,80,AdamW,,0.0001,1e-06,L2,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.16057,2.0555,0.40909,0.34755,"[0.48889, 0.16667, 0.3871]",0.5,0.47059,"[0.41176, 0.33333, 0.66667]",759,0.1888,2.14834,866,STOPPED,319.42398

404,20251214_021804,baseline_CASIAB.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.17399,2.67208,0.38636,0.38008,"[0.34286, 0.35294, 0.44444]",0.54545,0.52701,"[0.57895, 0.46154, 0.54054]",349,0.19365,1.85026,486,STOPPED,178.60295
405,20251214_021804,baseline_OUMVLP.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1536,2.18082,0.47727,0.36746,"[0.52174, 0.0, 0.58065]",0.54545,0.45974,"[0.63636, 0.14286, 0.6]",540,0.17642,2.02417,590,STOPPED,228.35794
406,20251214_021804,gaitgl.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,128,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14677,1.66669,0.52273,0.38333,"[0.6, 0.0, 0.55]",0.45455,0.39436,"[0.62222, 0.3, 0.26087]",25,0.24313,1.70328,47,COMPLETED,23.96803
407,20251214_021804,gaitgl_GREW.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1421,1.51133,0.54545,0.38668,"[0.64151, 0.0, 0.51852]",0.61364,0.51111,"[0.66667, 0.2, 0.66667]",27,0.16532,1.30184,40,COMPLETED,20.68959
408,20251214_021804,gaitgl_GREW_BNNeck.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",1.11088,1.10261,0.15909,0.0915,"[0.0, 0.27451, 0.0]",0.15909,0.0915,"[0.0, 0.27451, 0.0]",320,1.11088,1.10261,320,STOPPED,168.0958
409,20251214_021804,gaitgl_OUMVLP.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14187,1.96805,0.52273,0.44033,"[0.60465, 0.15385, 0.5625]",0.5,0.44425,"[0.62222, 0.21053, 0.5]",98,0.17748,2.05649,132,COMPLETED,67.80866
410,20251214_021804,gaitpart_GREW.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14176,2.21168,0.5,0.43314,"[0.53659, 0.25, 0.51282]",0.56818,0.51769,"[0.65306, 0.4, 0.5]",680,0.23048,1.84678,775,COMPLETED,281.32972
411,20251214_021804,gaitpart_OUMVLP.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.18022,1.5188,0.65909,0.57479,"[0.75, 0.30769, 0.66667]",0.70455,0.64758,"[0.75556, 0.42857, 0.75862]",678,0.26685,1.37606,761,STOPPED,274.9576
412,20251214_021804,gaitset.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15396,2.81959,0.36364,0.28523,"[0.51282, 0.0, 0.34286]",0.5,0.41595,"[0.62222, 0.14286, 0.48276]",287,0.23371,2.02125,583,STOPPED,301.7728
413,20251214_021804,gaitset_GREW.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.16476,2.01471,0.5,0.357,"[0.58824, 0.0, 0.48276]",0.59091,0.55971,"[0.625, 0.46154, 0.59259]",562,0.21006,1.78419,770,STOPPED,387.57984
414,20251214_021804,gaitset_OUMVLP.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.19727,2.19762,0.5,0.38462,"[0.68, 0.15385, 0.32]",0.56818,0.52954,"[0.68421, 0.375, 0.52941]",386,0.26358,1.74597,608,STOPPED,304.27048
415,20251214_021804,gln_phase1.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14854,3.01535,0.31818,0.24762,"[0.4, 0.0, 0.34286]",0.45455,0.41722,"[0.54054, 0.26667, 0.44444]",227,0.25624,2.56539,354,COMPLETED,230.0494
416,20251214_021804,gln_phase2.csv,best_configs_v3,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,32,Adam,,5e-05,1e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14175,2.21838,0.5,0.46465,"[0.54545, 0.36364, 0.48485]",0.56818,0.54035,"[0.6383, 0.5, 0.48276]",613,0.18262,1.85735,634,COMPLETED,416.57701

430,20251214_021804,baseline_CASIAB.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.30652,2.71049,0.36364,0.3207,"[0.44444, 0.11765, 0.4]",0.47727,0.44874,"[0.59459, 0.3, 0.45161]",148,0.65498,1.61975,547,STOPPED,111.44932
431,20251214_021804,baseline_OUMVLP.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14622,2.08823,0.54545,0.48492,"[0.63636, 0.26667, 0.55172]",0.56818,0.50386,"[0.65217, 0.30769, 0.55172]",749,0.14963,1.99784,782,COMPLETED,151.45618
432,20251214_021804,gaitgl.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,128,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14925,1.71751,0.5,0.4862,"[0.54545, 0.46154, 0.45161]",0.59091,0.62299,"[0.52632, 0.72727, 0.61538]",68,0.15887,1.78021,80,COMPLETED,19.26801
433,20251214_021804,gaitgl_GREW.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1456,1.21634,0.56818,0.51804,"[0.61905, 0.36364, 0.57143]",0.61364,0.5417,"[0.71111, 0.33333, 0.58065]",47,0.14851,1.21647,58,COMPLETED,14.62552
434,20251214_021804,gaitgl_GREW_BNNeck.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14792,2.8009,0.34091,0.3012,"[0.27027, 0.13333, 0.5]",0.52273,0.44317,"[0.53659, 0.18182, 0.61111]",427,0.314,2.24395,655,COMPLETED,167.02748
435,20251214_021804,gaitgl_OUMVLP.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.18984,2.66533,0.40909,0.35784,"[0.52381, 0.10526, 0.44444]",0.59091,0.49116,"[0.66667, 0.18182, 0.625]",91,0.21114,1.64481,372,STOPPED,91.37256
436,20251214_021804,gaitpart_GREW.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14507,2.46391,0.47727,0.44497,"[0.57778, 0.4, 0.35714]",0.56818,0.55534,"[0.57143, 0.5, 0.59459]",699,0.19521,2.1733,884,STOPPED,156.94828
437,20251214_021804,gaitpart_OUMVLP.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14958,2.27518,0.5,0.45399,"[0.54054, 0.25, 0.57143]",0.61364,0.58269,"[0.68293, 0.44444, 0.62069]",230,0.67934,1.1407,1150,STOPPED,210.45961
438,20251214_021804,gaitset.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.15522,2.44725,0.38636,0.26529,"[0.52, 0.0, 0.27586]",0.5,0.46193,"[0.61905, 0.35294, 0.41379]",612,0.24031,2.29881,663,STOPPED,155.34053
439,20251214_021804,gaitset_GREW.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.52401,2.37098,0.43182,0.37781,"[0.59091, 0.26667, 0.27586]",0.56818,0.40877,"[0.68085, 0.0, 0.54545]",299,0.31514,1.69659,616,STOPPED,143.15946
440,20251214_021804,gaitset_OUMVLP.csv,best_configs_v3,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,48,AdamW,,7e-05,5e-06,,256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.19687,2.71549,0.40909,0.36157,"[0.52174, 0.26667, 0.2963]",0.5,0.4846,"[0.48276, 0.42105, 0.55]",164,0.69625,1.3724,900,STOPPED,209.11618
