number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
34,0.4149460050251464,COMPLETE,2025-11-24 15:21:26.006480,2025-11-24 15:24:13.684353,0 days 00:02:47.677873,"[512, 640]",gelu,32,128,0.3,0.0002,,L2,prenorm,16,2,RMSprop,cls,sinusoidal,0.0
35,0.18238993710691823,PRUNED,2025-11-24 15:24:13.686357,2025-11-24 15:25:06.853408,0 days 00:00:53.167051,"[512, 384]",gelu,32,128,0.3,0.0002,,minmax,prenorm,16,2,RMSprop,cls,sinusoidal,0.0
36,0.1761006289308176,PRUNED,2025-11-24 15:25:06.853408,2025-11-24 15:25:43.108031,0 days 00:00:36.254623,"[384, 512]",gelu,32,128,0.3,0.0002,,L2,prenorm,16,2,Adam,cls,sinusoidal,0.0
37,0.21758419036095988,COMPLETE,2025-11-24 15:25:43.108436,2025-11-24 15:27:16.896364,0 days 00:01:33.787928,"[512, 640]",gelu,32,128,0.3,0.0002,0.0,minmax,prenorm,16,2,SGD,cls,sinusoidal,0.0
38,0.2966476050565259,COMPLETE,2025-11-24 15:27:16.898377,2025-11-24 15:28:36.566802,0 days 00:01:19.668425,"[96, 96]",gelu,64,128,0.3,0.0002,,L2,prenorm,16,2,RMSprop,mean,sinusoidal,0.0
39,0.1761006289308176,PRUNED,2025-11-24 15:28:36.571331,2025-11-24 15:28:58.218546,0 days 00:00:21.647215,"[640, 512]",gelu,32,128,0.0,2e-05,0.9,L2,prenorm,16,2,SGD,cls,sinusoidal,0.0
40,0.08888888888888889,PRUNED,2025-11-24 15:28:58.220554,2025-11-24 15:29:09.727238,0 days 00:00:11.506684,[640],gelu,48,128,0.2,0.0005,,minmax,prenorm,4,1,Adam,cls,sinusoidal,0.0
41,0.46043193076043815,COMPLETE,2025-11-24 15:29:09.728238,2025-11-24 15:32:04.931107,0 days 00:02:55.202869,[768],hardswish,16,128,0.4,0.0002,,L2,prenorm,2,1,RMSprop,mean,learned,1e-07
42,0.1761006289308176,PRUNED,2025-11-24 15:32:04.934143,2025-11-24 15:32:15.391586,0 days 00:00:10.457443,[640],hardswish,96,128,0.4,0.0002,,L2,prenorm,2,1,RMSprop,mean,sinusoidal,1e-07
43,0.08888888888888889,PRUNED,2025-11-24 15:32:15.393587,2025-11-24 15:32:25.269472,0 days 00:00:09.875885,[768],hardswish,128,128,0.4,0.0002,,L2,prenorm,2,1,RMSprop,mean,learned,1e-07
44,0.37748993630120675,COMPLETE,2025-11-24 15:32:25.270498,2025-11-24 15:34:07.747378,0 days 00:01:42.476880,[384],hardswish,16,128,0.4,0.0001,,L2,prenorm,2,1,RMSprop,mean,sinusoidal,1e-07
45,0.41660574002200396,COMPLETE,2025-11-24 15:34:07.751385,2025-11-24 15:36:25.222362,0 days 00:02:17.470977,[384],hardswish,16,128,0.4,0.0001,,L2,prenorm,2,1,RMSprop,mean,sinusoidal,1e-07
46,0.18238993710691823,PRUNED,2025-11-24 15:36:25.226363,2025-11-24 15:37:40.185979,0 days 00:01:14.959616,[256],hardswish,16,128,0.4,0.0001,,L2,prenorm,2,1,AdamW,mean,sinusoidal,1e-07
47,0.08888888888888889,PRUNED,2025-11-24 15:37:40.186979,2025-11-24 15:37:58.180659,0 days 00:00:17.993680,[384],hardswish,16,256,0.4,0.0001,0.0,L2,prenorm,2,1,SGD,mean,sinusoidal,1e-07
48,0.18238993710691823,PRUNED,2025-11-24 15:37:58.181732,2025-11-24 15:38:58.613666,0 days 00:01:00.431934,[512],mish,16,128,0.4,0.0002,,L2,prenorm,2,1,RMSprop,mean,sinusoidal,1e-07
49,0.21758419036095988,COMPLETE,2025-11-24 15:38:58.615917,2025-11-24 15:40:23.147381,0 days 00:01:24.531464,[256],prelu,16,128,0.4,0.0002,,L2,prenorm,4,1,RMSprop,mean,sinusoidal,1e-06
