number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
10,0.21759048895761182,COMPLETE,2025-10-09 01:32:06.120777,2025-10-09 01:32:18.098456,0 days 00:00:11.977679,elu,64,1.0,,increasing,3,,pow2,2.0,,0.2,False,,,,,,256.0,3,False,,,,,,0.0002,,L2,1,RMSprop,attention,True,2e-06,True,[96],[2],[False],0.2,[False]
11,0.08558558558558559,PRUNED,2025-10-09 01:32:18.100457,2025-10-09 01:33:10.610937,0 days 00:00:52.510480,mish,32,4.0,,increasing,2,,pow2,1.0,,0.0,False,True,False,True,False,False,512.0,9,False,True,True,True,False,False,0.0002,0.9,L2,6,SGD,mean,True,5e-07,True,"[256, 384, 512, 640, 768, 896]","[1, 2, 4, 8, 16, 32]","[False, True, False, True, False, False]",0.0,"[False, True, True, True, False, False]"
12,0.2016303542315103,PRUNED,2025-10-09 01:33:10.611938,2025-10-09 01:35:57.318102,0 days 00:02:46.706164,mish,32,9.0,,decreasing,3,,pow2,2.0,,0.1,False,False,False,True,True,False,64.0,9,False,True,True,True,False,True,0.001,0.9,minmax,6,SGD,max,True,5e-07,True,"[896, 768, 640, 512, 384, 256]","[2, 4, 8, 16, 32, 64]","[False, False, False, True, True, False]",0.1,"[False, True, True, True, False, True]"
13,0.178030303030303,PRUNED,2025-10-09 01:35:57.320207,2025-10-09 01:36:14.868351,0 days 00:00:17.548144,hardswish,32,6.0,,increasing,1,1.0,linear,,1.0,0.0,False,True,False,,,,512.0,9,False,True,False,,,,1e-05,0.6000000000000001,L2,3,SGD,mean,True,5e-07,True,"[512, 640, 768]","[1, 2, 3]","[False, True, False]",0.0,"[False, True, False]"
14,0.0894854586129754,PRUNED,2025-10-09 01:36:14.869357,2025-10-09 01:36:46.066150,0 days 00:00:31.196793,gelu,32,7.0,,decreasing,2,,pow2,1.0,,0.1,False,False,,,,,,5,False,True,,,,,0.002,,L2,2,AdamW,max,True,1e-05,False,"[640, 512]","[1, 2]","[False, False]",0.1,"[False, True]"
15,0.21759048895761182,COMPLETE,2025-10-09 01:36:46.067151,2025-10-09 01:37:58.885287,0 days 00:01:12.818136,silu,16,0.0,,increasing,3,1.0,linear,,2.0,0.2,False,True,False,True,False,,256.0,9,False,False,True,True,False,,0.0001,0.5,minmax,5,SGD,mean,True,0.0,True,"[64, 96, 128, 192, 256]","[1, 3, 5, 7, 9]","[False, True, False, True, False]",0.2,"[False, False, True, True, False]"
16,0.178030303030303,PRUNED,2025-10-09 01:37:58.887353,2025-10-09 01:38:38.010131,0 days 00:00:39.122778,elu,64,8.0,,decreasing,1,1.0,linear,,1.0,0.0,False,False,True,True,True,,64.0,9,False,False,False,False,True,,0.0002,,L2,5,RMSprop,last,True,1e-07,True,"[768, 640, 512, 384, 256]","[1, 2, 3, 4, 5]","[False, False, True, True, True]",0.0,"[False, False, False, False, True]"
17,0.178030303030303,PRUNED,2025-10-09 01:38:38.012132,2025-10-09 01:39:10.508177,0 days 00:00:32.496045,mish,32,6.0,,increasing,2,1.0,linear,,1.0,0.1,False,True,False,,,,64.0,9,False,True,True,,,,0.001,,minmax,3,Adam,attention,False,2e-07,False,"[512, 640, 768]","[1, 2, 3]","[False, True, False]",0.1,"[False, True, True]"
18,0.21759048895761182,COMPLETE,2025-10-09 01:39:10.510178,2025-10-09 01:39:57.348793,0 days 00:00:46.838615,gelu,32,9.0,,decreasing,2,,pow2,1.0,,0.0,False,False,,,,,64.0,5,False,False,,,,,0.001,0.0,L2,2,SGD,max,False,2e-06,False,"[896, 768]","[1, 2]","[False, False]",0.0,"[False, False]"
19,0.178030303030303,PRUNED,2025-10-09 01:39:57.350794,2025-10-09 01:40:09.860682,0 days 00:00:12.509888,leakyrelu,32,2.0,,increasing,1,2.0,linear,,2.0,0.1,False,True,False,True,False,True,256.0,3,False,True,True,True,False,False,0.0002,,minmax,6,AdamW,mean,True,1e-05,True,"[128, 192, 256, 384, 512, 640]","[2, 4, 6, 8, 10, 12]","[False, True, False, True, False, True]",0.1,"[False, True, True, True, False, False]"
20,0.178030303030303,PRUNED,2025-10-09 01:40:09.861682,2025-10-09 01:40:15.596396,0 days 00:00:05.734714,silu,64,7.0,,decreasing,3,1.0,linear,,1.0,0.2,False,,,,,,,2,False,,,,,,1e-05,,L2,1,AdamW,mean,True,5e-07,False,[640],[1],[False],0.2,[False]
21,0.25812018163894385,COMPLETE,2025-10-09 01:40:15.598397,2025-10-09 01:41:07.449367,0 days 00:00:51.850970,leakyrelu,96,,8.0,uniform,3,2.0,linear,,1.0,0.3,False,False,,,,,128.0,5,False,False,,,,,0.0005,,minmax,2,RMSprop,max,False,1e-07,False,"[768, 768]","[2, 3]","[False, False]",0.3,"[False, False]"
22,0.178030303030303,PRUNED,2025-10-09 01:41:07.450367,2025-10-09 01:41:25.730603,0 days 00:00:18.280236,leakyrelu,96,,6.0,uniform,3,2.0,linear,,1.0,0.2,False,False,,,,,128.0,5,False,False,,,,,0.0005,,minmax,2,RMSprop,max,False,1e-07,False,"[512, 512]","[2, 3]","[False, False]",0.2,"[False, False]"
23,0.178030303030303,PRUNED,2025-10-09 01:41:25.732603,2025-10-09 01:41:40.998166,0 days 00:00:15.265563,hardswish,96,,5.0,uniform,3,1.0,linear,,1.0,0.3,False,False,True,,,,128.0,5,False,False,False,,,,0.0005,,minmax,3,RMSprop,max,False,1e-07,False,"[384, 384, 384]","[1, 2, 3]","[False, False, True]",0.3,"[False, False, False]"
24,0.28353488171877145,COMPLETE,2025-10-09 01:41:40.999170,2025-10-09 01:41:52.049496,0 days 00:00:11.050326,leakyrelu,96,,3.0,uniform,3,2.0,linear,,2.0,0.1,False,,,,,,512.0,7,False,,,,,,0.0005,,minmax,1,RMSprop,max,False,1e-05,False,[192],[2],[False],0.1,[False]
25,0.4382365032131888,COMPLETE,2025-10-09 01:41:52.050497,2025-10-09 01:42:06.054568,0 days 00:00:14.004071,mish,96,,2.0,uniform,3,1.0,linear,,2.0,0.1,False,,,,,,512.0,7,False,,,,,,0.0001,,minmax,1,RMSprop,max,False,1e-05,False,[128],[1],[False],0.1,[False]
26,0.1724137931034483,PRUNED,2025-10-09 01:42:06.057816,2025-10-09 01:42:20.010937,0 days 00:00:13.953121,mish,16,7.0,,increasing,2,,pow2,2.0,,0.1,False,,,,,,512.0,7,True,,,,,,0.0001,0.7000000000000001,minmax,1,SGD,attention,False,1e-05,True,[640],[2],[False],0.1,[True]
27,0.178030303030303,PRUNED,2025-10-09 01:42:20.011937,2025-10-09 01:42:54.734090,0 days 00:00:34.722153,mish,32,8.0,,decreasing,3,1.0,linear,,2.0,0.0,False,,,,,,512.0,7,False,,,,,,0.0001,,minmax,1,Adam,last,False,1e-05,False,[768],[1],[False],0.0,[False]
28,0.178030303030303,PRUNED,2025-10-09 01:42:54.735090,2025-10-09 01:43:11.686511,0 days 00:00:16.951421,elu,32,3.0,,increasing,1,1.0,linear,,2.0,0.1,False,True,False,False,False,,512.0,7,False,True,True,False,False,,0.0001,,L2,5,AdamW,max,True,5e-07,True,"[192, 256, 384, 512, 640]","[1, 3, 5, 7, 9]","[False, True, False, False, False]",0.1,"[False, True, True, False, False]"
