number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
10,0.21875,PRUNED,2025-10-09 00:28:11.257583,2025-10-09 00:28:17.573796,0 days 00:00:06.316213,gelu,32,0.0,,increasing,2,1.0,linear,,1.0,0.0,False,,,,,,,9,False,,,,,,0.0002,,L2,1,Adam,last,True,5e-07,True,[64],[1],[False],0.0,[False]
11,0.23289635105322315,COMPLETE,2025-10-09 00:28:17.575801,2025-10-09 00:28:33.232453,0 days 00:00:15.656652,silu,64,3.0,,increasing,1,2.0,linear,,3.0,0.3,True,False,,,,,512.0,3,True,False,,,,,0.0002,,minmax,2,RMSprop,max,True,5e-07,True,"[192, 256]","[2, 5]","[True, False]",0.3,"[True, False]"
12,0.21640488656195464,PRUNED,2025-10-09 00:28:33.237072,2025-10-09 00:29:01.887490,0 days 00:00:28.650418,relu,96,,8.0,uniform,1,1.0,linear,,2.0,0.3,True,False,True,,,,512.0,3,True,False,False,,,,0.0002,,minmax,3,RMSprop,last,True,1e-05,True,"[768, 768, 768]","[1, 3, 5]","[True, False, True]",0.3,"[True, False, False]"
13,0.178030303030303,PRUNED,2025-10-09 00:29:01.888490,2025-10-09 00:29:12.953309,0 days 00:00:11.064819,gelu,16,2.0,,increasing,1,2.0,linear,,1.0,0.1,False,,,,,,512.0,9,True,,,,,,0.0001,,L2,1,AdamW,max,True,1e-07,True,[128],[2],[False],0.1,[True]
14,0.178030303030303,PRUNED,2025-10-09 00:29:12.953309,2025-10-09 00:30:01.423520,0 days 00:00:48.470211,leakyrelu,64,9.0,,decreasing,2,2.0,linear,,3.0,0.3,True,True,,,,,64.0,7,True,False,,,,,0.0002,,L2,2,Adam,max,True,5e-07,True,"[896, 768]","[2, 5]","[True, True]",0.3,"[True, False]"
15,0.21875,PRUNED,2025-10-09 00:30:01.424523,2025-10-09 00:30:06.176322,0 days 00:00:04.751799,silu,128,,0.0,uniform,1,3.0,linear,,2.0,0.3,False,False,True,,,,,2,True,False,True,,,,0.0002,,minmax,3,RMSprop,last,True,5e-07,True,"[64, 64, 64]","[3, 5, 7]","[False, False, True]",0.3,"[True, False, True]"
16,0.2591191847820059,COMPLETE,2025-10-09 00:30:06.176322,2025-10-09 00:31:08.060656,0 days 00:01:01.884334,gelu,64,1.0,,increasing,3,1.0,linear,,2.0,0.1,False,True,True,True,False,False,512.0,3,True,False,False,False,True,False,0.0001,,minmax,6,RMSprop,max,True,5e-07,True,"[96, 128, 192, 256, 384, 512]","[1, 3, 5, 7, 9, 11]","[False, True, True, True, False, False]",0.1,"[True, False, False, False, True, False]"
17,0.178030303030303,PRUNED,2025-10-09 00:31:08.062662,2025-10-09 00:31:32.590647,0 days 00:00:24.527985,leakyrelu,128,,9.0,uniform,2,2.0,linear,,3.0,0.2,True,False,,,,,512.0,3,True,False,,,,,0.001,,L2,2,Adam,last,True,1e-07,True,"[896, 896]","[2, 5]","[True, False]",0.2,"[True, False]"
18,0.4032185194623177,COMPLETE,2025-10-09 00:31:32.590647,2025-10-09 00:32:11.824555,0 days 00:00:39.233908,mish,32,6.0,,increasing,1,2.0,linear,,1.0,0.3,True,,,,,,512.0,3,False,,,,,,0.0002,,minmax,1,AdamW,max,True,2e-06,False,[512],[2],[True],0.3,[False]
19,0.43034476592351356,COMPLETE,2025-10-09 00:32:11.827460,2025-10-09 00:33:02.749413,0 days 00:00:50.921953,mish,32,6.0,,increasing,2,3.0,linear,,1.0,0.2,False,,,,,,,7,False,,,,,,0.0002,,L2,1,AdamW,last,True,2e-06,False,[512],[3],[False],0.2,[False]
