number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
23,0.23202821869488535,PRUNED,2025-10-09 04:23:20.780657,2025-10-09 04:24:00.146453,0 days 00:00:39.365796,relu,96,,7.0,uniform,1,2.0,linear,,3.0,0.1,True,,,,,,512.0,7,False,,,,,,0.0001,,L2,1,AdamW,max,False,2e-06,False,[640],[2],[True],0.1,[False]
24,0.4452634483605447,COMPLETE,2025-10-09 04:24:00.147478,2025-10-09 04:24:24.012565,0 days 00:00:23.865087,mish,96,,3.0,uniform,1,1.0,linear,,3.0,0.0,True,True,False,,,,256.0,7,False,True,True,,,,0.0005,,L2,3,AdamW,max,False,2e-06,False,"[192, 192, 192]","[1, 4, 7]","[True, True, False]",0.0,"[False, True, True]"
25,0.4162447912723067,COMPLETE,2025-10-09 04:24:24.014586,2025-10-09 04:27:25.992453,0 days 00:03:01.977867,relu,16,,9.0,uniform,2,2.0,linear,,2.0,0.1,True,,,,,,512.0,9,False,,,,,,0.002,,L2,1,AdamW,max,False,2e-06,False,[896],[2],[True],0.1,[False]
26,0.178030303030303,PRUNED,2025-10-09 04:27:25.994886,2025-10-09 04:27:54.368408,0 days 00:00:28.373522,relu,96,,7.0,uniform,1,,pow2,1.0,,0.0,False,True,,,,,,5,False,False,,,,,1e-05,,minmax,2,Adam,mean,False,1e-06,True,"[640, 640]","[1, 2]","[False, True]",0.0,"[False, False]"
27,0.4348449250722428,COMPLETE,2025-10-09 04:27:54.369436,2025-10-09 04:28:08.269546,0 days 00:00:13.900110,relu,96,,2.0,uniform,1,1.0,linear,,1.0,0.0,True,,,,,,128.0,7,False,,,,,,0.001,,L2,1,Adam,max,False,2e-06,False,[128],[1],[True],0.0,[False]
28,0.44329522890762435,COMPLETE,2025-10-09 04:28:08.271579,2025-10-09 04:31:30.130454,0 days 00:03:21.858875,relu,16,7.0,,decreasing,2,3.0,linear,,3.0,0.1,True,False,,,,,256.0,7,False,True,,,,,0.0001,,L2,2,AdamW,last,False,1e-07,False,"[640, 512]","[3, 6]","[True, False]",0.1,"[False, True]"
29,0.178030303030303,PRUNED,2025-10-09 04:31:30.132454,2025-10-09 04:31:49.170379,0 days 00:00:19.037925,leakyrelu,96,5.0,,increasing,2,2.0,linear,,2.0,0.0,True,True,,,,,512.0,7,False,True,,,,,0.0005,0.2,L2,2,SGD,max,False,5e-07,False,"[384, 512]","[2, 4]","[True, True]",0.0,"[False, True]"
30,0.21759048895761182,COMPLETE,2025-10-09 04:31:49.171385,2025-10-09 04:32:33.838653,0 days 00:00:44.667268,mish,64,,6.0,uniform,1,1.0,linear,,2.0,0.2,True,False,False,,,,512.0,5,False,False,False,,,,0.0005,,L2,3,Adam,attention,False,0.0,False,"[512, 512, 512]","[1, 3, 5]","[True, False, False]",0.2,"[False, False, False]"
31,0.4276254154464545,COMPLETE,2025-10-09 04:32:33.840684,2025-10-09 04:32:58.067852,0 days 00:00:24.227168,mish,96,,3.0,uniform,1,1.0,linear,,3.0,0.0,True,True,False,,,,256.0,7,False,True,True,,,,0.0005,,L2,3,AdamW,max,False,2e-06,False,"[192, 192, 192]","[1, 4, 7]","[True, True, False]",0.0,"[False, True, True]"
32,0.43829996945814703,COMPLETE,2025-10-09 04:32:58.070380,2025-10-09 04:33:17.818165,0 days 00:00:19.747785,mish,96,,2.0,uniform,1,1.0,linear,,3.0,0.0,True,True,False,True,,,256.0,7,False,True,True,False,,,0.0005,,L2,4,AdamW,max,False,2e-06,False,"[128, 128, 128, 128]","[1, 4, 7, 10]","[True, True, False, True]",0.0,"[False, True, True, False]"
33,0.21875,PRUNED,2025-10-09 04:33:17.819669,2025-10-09 04:33:24.502445,0 days 00:00:06.682776,elu,96,,4.0,uniform,1,1.0,linear,,3.0,0.0,True,True,False,,,,256.0,2,False,True,True,,,,0.0005,,L2,3,AdamW,max,False,2e-06,False,"[256, 256, 256]","[1, 4, 7]","[True, True, False]",0.0,"[False, True, True]"
34,0.178030303030303,PRUNED,2025-10-09 04:33:24.503474,2025-10-09 04:35:35.171714,0 days 00:02:10.668240,mish,32,,8.0,uniform,3,2.0,linear,,3.0,0.1,True,True,False,False,,,256.0,2,False,True,True,True,,,0.0005,,L2,4,AdamW,max,True,1e-05,False,"[768, 768, 768, 768]","[2, 5, 8, 11]","[True, True, False, False]",0.1,"[False, True, True, True]"
35,0.31716974282638916,COMPLETE,2025-10-09 04:35:35.172721,2025-10-09 04:35:51.141980,0 days 00:00:15.969259,hardswish,128,,0.0,uniform,1,1.0,linear,,3.0,0.0,True,True,False,False,False,,256.0,7,True,True,True,True,False,,0.0005,0.5,minmax,5,SGD,max,False,2e-06,True,"[64, 64, 64, 64, 64]","[1, 4, 7, 10, 13]","[True, True, False, False, False]",0.0,"[True, True, True, True, False]"
36,0.21761658031088082,PRUNED,2025-10-09 04:35:51.144993,2025-10-09 04:36:22.957784,0 days 00:00:31.812791,elu,96,8.0,,decreasing,1,,pow2,1.0,,0.3,True,True,,,,,256.0,9,False,True,,,,,0.0002,,L2,2,AdamW,last,True,2e-06,False,"[768, 640]","[1, 2]","[True, True]",0.3,"[False, True]"
37,0.178030303030303,PRUNED,2025-10-09 04:36:22.958804,2025-10-09 04:36:33.225670,0 days 00:00:10.266866,prelu,96,5.0,,increasing,2,2.0,linear,,3.0,0.0,False,,,,,,512.0,7,True,,,,,,0.001,,L2,1,Adam,mean,False,1e-05,True,[384],[2],[False],0.0,[True]
