number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
10,0.21759048895761182,COMPLETE,2025-10-08 23:12:57.003533,2025-10-08 23:14:11.028131,0 days 00:01:14.024598,relu,16,9.0,,increasing,1,1.0,linear,,3.0,0.3,False,,,,,,128.0,7,False,,,,,,1e-05,,L2,1,AdamW,attention,False,1e-06,False,[896],[1],[False],0.3,[False]
11,0.42229554154932186,COMPLETE,2025-10-08 23:14:11.030402,2025-10-08 23:15:57.586463,0 days 00:01:46.556061,hardswish,16,8.0,,decreasing,3,1.0,linear,,2.0,0.2,True,False,,,,,512.0,2,False,True,,,,,0.0001,,L2,2,Adam,max,False,1e-05,False,"[768, 640]","[1, 3]","[True, False]",0.2,"[False, True]"
12,0.26742408578194937,COMPLETE,2025-10-08 23:15:57.588463,2025-10-08 23:21:36.636780,0 days 00:05:39.048317,silu,16,9.0,,decreasing,3,1.0,linear,,3.0,0.2,True,False,,,,,512.0,7,False,True,,,,,0.0001,,L2,2,Adam,mean,False,0.0,False,"[896, 768]","[1, 4]","[True, False]",0.2,"[False, True]"
13,0.42176456328676365,COMPLETE,2025-10-08 23:21:36.638803,2025-10-08 23:22:31.486493,0 days 00:00:54.847690,hardswish,16,4.0,,decreasing,2,1.0,linear,,1.0,0.2,True,,,,,,,5,False,,,,,,0.0001,,L2,1,Adam,attention,False,1e-06,False,[256],[1],[True],0.2,[False]
14,0.3700164430599208,COMPLETE,2025-10-08 23:22:31.489507,2025-10-08 23:23:30.170766,0 days 00:00:58.681259,hardswish,16,4.0,,decreasing,2,2.0,linear,,1.0,0.2,False,False,False,,,,,5,False,True,False,,,,0.0001,,L2,3,Adam,max,False,1e-05,False,"[256, 192, 128]","[2, 3, 4]","[False, False, False]",0.2,"[False, True, False]"
15,0.4169426571874279,COMPLETE,2025-10-08 23:23:30.173180,2025-10-08 23:23:54.151772,0 days 00:00:23.978592,hardswish,96,4.0,,decreasing,2,1.0,linear,,1.0,0.2,True,False,,,,,,5,False,True,,,,,0.0001,,L2,2,Adam,attention,False,2e-06,False,"[256, 192]","[1, 2]","[True, False]",0.2,"[False, True]"
16,0.40551627845689153,COMPLETE,2025-10-08 23:23:54.153296,2025-10-08 23:24:39.320552,0 days 00:00:45.167256,hardswish,16,3.0,,decreasing,3,2.0,linear,,1.0,0.3,True,,,,,,512.0,5,False,,,,,,0.0001,,L2,1,Adam,max,False,1e-07,False,[192],[2],[True],0.3,[False]
17,0.3835660021956892,COMPLETE,2025-10-08 23:24:39.322057,2025-10-08 23:26:46.020390,0 days 00:02:06.698333,hardswish,16,8.0,,decreasing,2,1.0,linear,,2.0,0.2,True,False,False,,,,,2,False,True,True,,,,0.0001,,L2,3,AdamW,max,False,0.0,False,"[768, 640, 512]","[1, 3, 5]","[True, False, False]",0.2,"[False, True, True]"
18,0.21875,PRUNED,2025-10-08 23:26:46.022919,2025-10-08 23:27:00.135814,0 days 00:00:14.112895,gelu,16,4.0,,decreasing,3,,pow2,1.0,,0.2,False,True,,,,,128.0,2,False,False,,,,,0.002,0.0,minmax,2,SGD,mean,False,1e-05,True,"[256, 192]","[1, 2]","[False, True]",0.2,"[False, False]"
19,0.21761658031088082,PRUNED,2025-10-08 23:27:00.136813,2025-10-08 23:27:06.470221,0 days 00:00:06.333408,leakyrelu,64,0.0,,decreasing,2,1.0,linear,,1.0,0.3,True,,,,,,,5,False,,,,,,1e-05,,L2,1,Adam,attention,False,1e-06,False,[64],[1],[True],0.3,[False]
