number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
29,0.21875,PRUNED,2025-10-09 06:14:36.127613,2025-10-09 06:14:55.103067,0 days 00:00:18.975454,"[192, 256]","[1, 2]",[1],"[0, 1]",0.1,silu,16,increasing,2,linear,128.0,7,0.001,,minmax,2,Adam,mean,False,0.0,True
30,0.4703316115140548,COMPLETE,2025-10-09 06:14:55.104073,2025-10-09 06:19:05.586808,0 days 00:04:10.482735,[896],[3],[],[],0.0,mish,64,uniform,2,linear,,9,0.0002,,L2,1,AdamW,last,True,1e-06,True
31,0.4639451092709477,COMPLETE,2025-10-09 06:19:05.588811,2025-10-09 06:22:48.059251,0 days 00:03:42.470440,[896],[3],[],[],0.0,mish,64,uniform,2,linear,,9,0.0002,,L2,1,AdamW,last,True,1e-06,True
32,0.2164048865619546,PRUNED,2025-10-09 06:22:48.061266,2025-10-09 06:25:15.322438,0 days 00:02:27.261172,[896],[3],[],[],0.0,mish,64,uniform,2,linear,,9,0.0002,,L2,1,AdamW,last,True,1e-06,True
33,0.178030303030303,PRUNED,2025-10-09 06:25:15.323442,2025-10-09 06:26:47.260285,0 days 00:01:31.936843,"[896, 896]","[3, 6]",[1],[1],0.0,mish,64,uniform,2,linear,256.0,5,0.0002,,L2,2,AdamW,last,True,1e-06,True
34,0.271062271062271,PRUNED,2025-10-09 06:26:47.261285,2025-10-09 06:27:48.124478,0 days 00:01:00.863193,[640],[2],[],[],0.0,mish,64,uniform,3,pow2,,9,0.0002,,L2,1,AdamW,attention,False,1e-06,True
35,0.21875,PRUNED,2025-10-09 06:27:48.125981,2025-10-09 06:28:27.818368,0 days 00:00:39.692387,[640],[3],[0],[],0.1,elu,64,uniform,2,linear,256.0,9,1e-05,,L2,1,AdamW,last,True,1e-06,True
36,0.1770244821092278,PRUNED,2025-10-09 06:28:27.820375,2025-10-09 06:28:41.313288,0 days 00:00:13.492913,"[640, 640]","[3, 6]",[],[0],0.0,mish,128,uniform,2,linear,,2,0.0005,,minmax,2,AdamW,last,True,1e-06,False
37,0.21875,PRUNED,2025-10-09 06:28:41.314295,2025-10-09 06:30:30.823175,0 days 00:01:49.508880,"[896, 896]","[1, 2]","[0, 1]",[1],0.0,mish,64,uniform,2,pow2,512.0,9,0.0002,,L2,2,AdamW,attention,False,5e-07,True
38,0.4897893604361267,COMPLETE,2025-10-09 06:30:30.824197,2025-10-09 06:31:53.074379,0 days 00:01:22.250182,"[512, 512, 512]","[3, 6, 9]",[1],"[1, 2]",0.1,hardswish,96,uniform,1,linear,128.0,5,0.0002,,minmax,3,AdamW,last,True,1e-06,False
