number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
11,0.0894854586129754,PRUNED,2025-10-09 02:27:56.079495,2025-10-09 02:30:00.747840,0 days 00:02:04.668345,"[896, 896, 896]","[2, 4, 8]",[0],[1],0.1,leakyrelu,16,uniform,2,pow2,64.0,3,0.0001,0.1,L2,3,SGD,last,True,0.0,True
12,0.3992947747794817,COMPLETE,2025-10-09 02:30:00.748877,2025-10-09 02:30:41.606042,0 days 00:00:40.857165,"[128, 128]","[2, 4]",[0],[],0.2,leakyrelu,16,uniform,3,pow2,,3,0.001,0.3,L2,2,SGD,max,False,1e-05,True
13,0.4145037419776375,COMPLETE,2025-10-09 02:30:41.608052,2025-10-09 02:31:13.155594,0 days 00:00:31.547542,[96],[2],[],[],0.2,gelu,16,uniform,3,pow2,,3,0.001,,L2,1,AdamW,max,False,1e-05,True
14,0.2702981029810298,PRUNED,2025-10-09 02:31:13.157610,2025-10-09 02:31:24.298828,0 days 00:00:11.141218,[64],[1],[],[],0.2,gelu,64,uniform,3,linear,,9,0.001,,L2,1,AdamW,max,True,1e-05,True
15,0.4155854911123473,COMPLETE,2025-10-09 02:31:24.298828,2025-10-09 02:31:58.406867,0 days 00:00:34.108039,"[192, 192]","[2, 4]",[1],[],0.2,gelu,16,uniform,3,pow2,,3,0.0001,,L2,2,AdamW,max,False,1e-05,True
16,0.21875,PRUNED,2025-10-09 02:31:58.408898,2025-10-09 02:32:17.856839,0 days 00:00:19.447941,"[384, 256]","[1, 2]",[1],[],0.1,prelu,16,decreasing,2,pow2,128.0,3,0.0001,,L2,2,AdamW,mean,False,0.0,True
17,0.4253469428969462,COMPLETE,2025-10-09 02:32:17.857848,2025-10-09 02:33:18.234510,0 days 00:01:00.376662,"[192, 192, 192, 192, 192]","[1, 3, 5, 7, 9]","[1, 4]",[4],0.3,gelu,16,uniform,3,linear,256.0,3,0.0001,,L2,5,AdamW,max,False,1e-07,True
18,0.2176165803108808,PRUNED,2025-10-09 02:33:18.236511,2025-10-09 02:33:41.306147,0 days 00:00:23.069636,"[384, 384, 384, 384, 384]","[1, 3, 5, 7, 9]","[1, 4]",[4],0.3,hardswish,128,uniform,2,linear,256.0,9,0.0001,,minmax,5,AdamW,attention,True,1e-07,False
19,0.2176165803108808,PRUNED,2025-10-09 02:33:41.307157,2025-10-09 02:34:14.640418,0 days 00:00:33.333261,"[896, 768, 640, 512, 384]","[2, 4, 6, 8, 10]","[1, 4]",[4],0.3,mish,64,decreasing,3,linear,256.0,2,1e-05,,L2,5,RMSprop,max,False,1e-07,True
20,0.21875,PRUNED,2025-10-09 02:34:14.641421,2025-10-09 02:34:29.303268,0 days 00:00:14.661847,"[192, 192, 192, 192, 192]","[1, 3, 5, 7, 9]","[1, 4]",[4],0.3,silu,96,uniform,2,linear,256.0,7,0.0002,,L2,5,AdamW,mean,False,2e-06,True
21,0.4274586892205065,COMPLETE,2025-10-09 02:34:29.304273,2025-10-09 02:35:05.913741,0 days 00:00:36.609468,"[192, 192]","[1, 4]",[1],[],0.2,gelu,16,uniform,3,linear,,3,0.0001,,L2,2,AdamW,max,False,1e-07,True
22,0.4121659549718248,COMPLETE,2025-10-09 02:35:05.915785,2025-10-09 02:35:50.148351,0 days 00:00:44.232566,"[128, 128, 128]","[1, 4, 7]",[1],[],0.2,gelu,16,uniform,3,linear,256.0,3,0.0001,,L2,3,AdamW,max,False,1e-07,True
23,0.4318909143008222,COMPLETE,2025-10-09 02:35:50.151056,2025-10-09 02:37:15.372501,0 days 00:01:25.221445,"[256, 256, 256, 256, 256]","[1, 4, 7, 10, 13]",[1],"[2, 4]",0.2,gelu,16,uniform,3,linear,,3,0.0001,,L2,5,AdamW,max,False,1e-07,True
24,0.21875,PRUNED,2025-10-09 02:37:15.374771,2025-10-09 02:38:08.402098,0 days 00:00:53.027327,"[512, 512, 512]","[2, 5, 8]",[1],[2],0.2,relu,16,uniform,3,linear,,5,0.0001,,L2,3,AdamW,max,False,0.0,True
25,0.4088656231783826,COMPLETE,2025-10-09 02:38:08.403106,2025-10-09 02:39:45.748249,0 days 00:01:37.345143,"[384, 384, 384, 384, 384]","[1, 4, 7, 10, 13]",[1],"[2, 4]",0.1,prelu,16,uniform,2,linear,,3,0.0001,,L2,5,AdamW,max,False,1e-07,True
26,0.2176165803108808,PRUNED,2025-10-09 02:39:45.750249,2025-10-09 02:39:52.737200,0 days 00:00:06.986951,"[256, 256]","[1, 4]",[1],[],0.2,gelu,32,uniform,3,linear,,3,0.0001,,minmax,2,AdamW,mean,True,1e-07,False
27,0.178030303030303,PRUNED,2025-10-09 02:39:52.738219,2025-10-09 02:40:13.245092,0 days 00:00:20.506873,"[128, 128, 128, 128]","[2, 5, 8, 11]",[1],[2],0.1,gelu,16,uniform,2,linear,,3,0.0001,,L2,4,RMSprop,attention,False,0.0,True
28,0.178030303030303,PRUNED,2025-10-09 02:40:13.246099,2025-10-09 02:40:53.328352,0 days 00:00:40.082253,"[640, 512, 384]","[1, 4, 7]",[1],[2],0.2,prelu,16,decreasing,3,linear,128.0,3,0.0002,,L2,3,Adam,max,False,1e-07,True
29,0.3938953541398475,COMPLETE,2025-10-09 02:40:53.330875,2025-10-09 02:42:03.685186,0 days 00:01:10.354311,"[64, 96, 128, 192]","[1, 4, 7, 10]",[1],[2],0.2,gelu,16,increasing,2,linear,64.0,3,0.0001,0.9,L2,4,SGD,last,False,1e-06,True
30,0.2164048865619546,PRUNED,2025-10-09 02:42:03.688187,2025-10-09 02:46:42.467913,0 days 00:04:38.779726,"[640, 640, 640, 640, 640]","[2, 5, 8, 11, 14]",[1],[2],0.1,silu,32,uniform,3,linear,,5,1e-05,,L2,5,AdamW,mean,False,2e-07,True
31,0.2175438596491228,PRUNED,2025-10-09 02:46:42.468914,2025-10-09 02:47:11.949844,0 days 00:00:29.480930,"[192, 192, 192, 192, 192]","[1, 3, 5, 7, 9]",[1],[4],0.3,gelu,16,uniform,3,linear,256.0,3,0.0001,,L2,5,AdamW,max,False,1e-07,True
32,0.4302665258735234,COMPLETE,2025-10-09 02:47:11.951369,2025-10-09 02:48:15.959806,0 days 00:01:04.008437,"[192, 192, 192, 192, 192]","[1, 3, 5, 7, 9]","[1, 4]",[4],0.3,gelu,16,uniform,3,linear,256.0,3,0.0001,,L2,5,AdamW,max,False,1e-07,True
33,0.21875,PRUNED,2025-10-09 02:48:15.963192,2025-10-09 02:48:22.796380,0 days 00:00:06.833188,"[96, 96, 96, 96]","[1, 3, 5, 7]",[1],[2],0.2,gelu,128,uniform,3,linear,256.0,3,0.0001,,L2,4,AdamW,max,False,2e-06,True
34,0.2291325695581014,PRUNED,2025-10-09 02:48:22.797386,2025-10-09 02:48:30.691911,0 days 00:00:07.894525,"[256, 256, 256, 256, 256, 256]","[1, 4, 7, 10, 13, 16]","[1, 5]","[0, 4]",0.3,relu,96,uniform,2,linear,64.0,3,0.0001,,L2,6,AdamW,max,False,1e-07,True
35,0.2176165803108808,PRUNED,2025-10-09 02:48:30.692919,2025-10-09 02:48:45.162706,0 days 00:00:14.469787,"[128, 128, 128, 128, 128]","[1, 3, 5, 7, 9]","[1, 4]","[1, 2, 4]",0.2,elu,16,uniform,3,linear,,9,0.002,,L2,5,Adam,last,False,1e-07,False
36,0.4263726122297614,COMPLETE,2025-10-09 02:48:45.164733,2025-10-09 02:49:04.952853,0 days 00:00:19.788120,"[64, 96, 128, 192]","[1, 3, 5, 7]","[0, 1]",[],0.3,mish,64,increasing,1,linear,256.0,3,0.0005,,L2,4,AdamW,mean,False,2e-07,True
37,0.4136593906001757,COMPLETE,2025-10-09 02:49:04.955870,2025-10-09 02:52:10.516338,0 days 00:03:05.560468,"[768, 640, 512, 384, 256, 192]","[1, 4, 7, 10, 13, 16]",[5],"[0, 1, 4]",0.0,hardswish,96,decreasing,3,linear,512.0,2,0.0001,,minmax,6,AdamW,max,True,2e-06,True
38,0.2176165803108808,PRUNED,2025-10-09 02:52:10.518338,2025-10-09 02:52:19.654651,0 days 00:00:09.136313,"[96, 96, 96, 96]","[2, 5, 8, 11]",[1],[2],0.2,gelu,16,uniform,2,linear,128.0,7,0.002,,L2,4,AdamW,mean,False,1e-06,False
39,0.21875,PRUNED,2025-10-09 02:52:19.655941,2025-10-09 02:52:58.391088,0 days 00:00:38.735147,"[128, 192, 256, 384, 512, 640]","[1, 2, 3, 4, 5, 6]","[0, 5]","[0, 2, 3, 4]",0.3,leakyrelu,128,increasing,1,linear,256.0,5,1e-05,,L2,6,Adam,max,False,5e-07,True
40,0.21875,PRUNED,2025-10-09 02:52:58.393101,2025-10-09 02:53:18.042842,0 days 00:00:19.649741,"[256, 256, 256]","[1, 3, 5]","[1, 2]",[],0.2,prelu,16,uniform,3,linear,512.0,3,0.0005,0.6000000000000001,minmax,3,SGD,attention,False,0.0,True
41,0.21875,PRUNED,2025-10-09 02:53:18.044271,2025-10-09 02:53:25.511554,0 days 00:00:07.467283,"[64, 96, 128, 192]","[1, 3, 5, 7]","[0, 1]",[],0.3,mish,64,increasing,1,linear,256.0,3,0.0005,,L2,4,AdamW,mean,False,2e-07,True
42,0.178030303030303,PRUNED,2025-10-09 02:53:25.512585,2025-10-09 02:53:33.537924,0 days 00:00:08.025339,"[96, 128, 192, 256]","[1, 3, 5, 7]","[0, 1]",[],0.3,mish,64,increasing,1,linear,256.0,3,0.0005,,L2,4,AdamW,mean,False,2e-07,True
43,0.2176165803108808,PRUNED,2025-10-09 02:53:33.538942,2025-10-09 02:53:51.298512,0 days 00:00:17.759570,"[192, 256, 384, 512, 640]","[1, 3, 5, 7, 9]","[0, 1, 4]",[4],0.3,mish,64,increasing,1,linear,256.0,3,0.0005,,L2,5,AdamW,mean,False,2e-07,True
44,0.4222151182018618,COMPLETE,2025-10-09 02:53:51.300017,2025-10-09 02:54:51.470113,0 days 00:01:00.170096,"[256, 384, 512, 640]","[3, 4, 5, 6]","[0, 1]",[1],0.3,elu,64,increasing,1,linear,256.0,3,0.0005,,L2,4,AdamW,mean,False,2e-07,True
45,0.178030303030303,PRUNED,2025-10-09 02:54:51.472115,2025-10-09 02:55:01.758422,0 days 00:00:10.286307,"[96, 128, 192]","[1, 3, 5]","[0, 1]",[0],0.2,mish,32,increasing,1,linear,64.0,3,0.0002,,L2,3,RMSprop,last,False,1e-07,True
46,0.4274998336495941,COMPLETE,2025-10-09 02:55:01.759926,2025-10-09 02:55:28.709974,0 days 00:00:26.950048,"[192, 192, 192, 192]","[1, 2, 4, 8]","[0, 2]",[2],0.3,gelu,64,uniform,2,pow2,,2,0.001,,L2,4,AdamW,mean,True,5e-07,False
47,0.2285008818342151,PRUNED,2025-10-09 02:55:28.712042,2025-10-09 02:55:50.190533,0 days 00:00:21.478491,"[192, 192, 192, 192, 192]","[1, 2, 4, 8, 16]","[0, 2, 3, 4]",[2],0.1,gelu,16,uniform,2,pow2,,2,0.0001,,L2,5,AdamW,mean,True,5e-07,False
48,0.178030303030303,PRUNED,2025-10-09 02:55:50.191544,2025-10-09 02:56:13.062068,0 days 00:00:22.870524,"[192, 192]","[1, 2]",[],[1],0.2,gelu,16,uniform,2,pow2,,2,0.001,0.6000000000000001,minmax,2,SGD,max,True,5e-07,False
49,0.178030303030303,PRUNED,2025-10-09 02:56:13.063069,2025-10-09 02:57:05.009595,0 days 00:00:51.946526,"[128, 128, 128, 128, 128, 128]","[1, 2, 4, 8, 16, 32]",[2],"[2, 4]",0.2,gelu,16,uniform,2,pow2,,2,0.001,,L2,6,AdamW,max,True,5e-07,False
